ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,12,3,6,0,OSI,0.2910155556114016,-0.026728737079854403
2,A549,12,3,6,0,OSI,0.36411041941285355,0.04636612672159757
3,A549,12,3,6,0,OSI,0.21914969002630064,-0.09859460266495534
4,A549,12,3,6,0,OSI,0.5439405854527413,0.22619629276148528
1,A549,12,3,6,1,OSI,0.8704976616716251,0.5527533689803692
2,A549,12,3,6,1,OSI,0.4646752033237084,0.1469309106324524
3,A549,12,3,6,1,OSI,0.6241230657831467,0.3063787730918907
4,A549,12,3,6,1,OSI,0.5220167681078103,0.2042724754165543
5,A549,12,3,6,1,OSI,0.5779779340976076,0.2602336414063516
1,A549,12,3,6,10,OSI,0.6663943882819545,0.34865009559069854
2,A549,12,3,6,10,OSI,0.25768877099591414,-0.06005552169534184
3,A549,12,3,6,10,OSI,0.4610238404657281,0.1432795477744721
4,A549,12,3,6,10,OSI,0.43989670109860946,0.12215240840735347
5,A549,12,3,6,10,OSI,0.21242814713156263,-0.10531614555969335
1,A549,12,3,6,11,OSI,0.35149502207277367,0.033750729381517686
2,A549,12,3,6,11,OSI,0.25040080616779326,-0.06734348652346273
3,A549,12,3,6,11,OSI,0.4361850557597927,0.11844076306853674
4,A549,12,3,6,11,OSI,0.310701760886355,-0.007042531804900998
5,A549,12,3,6,11,OSI,0.5190173961996798,0.2012731035084238
1,A549,12,3,6,12,OSI,0.4538077203040866,0.13606342761283063
2,A549,12,3,6,12,OSI,0.5701333115285864,0.2523890188373304
3,A549,12,3,6,12,OSI,0.1402173435661478,-0.1775269491251082
4,A549,12,3,6,12,OSI,0.2708867357259077,-0.04685755696534827
1,A549,12,3,6,13,OSI,0.17122144414223636,-0.14652284854901962
2,A549,12,3,6,13,OSI,0.5034123681833751,0.1856680754921191
3,A549,12,3,6,13,OSI,0.25780139100857447,-0.059942901682681515
4,A549,12,3,6,13,OSI,0.35462313569268794,0.03687884300143196
1,A549,12,3,6,14,OSI,0.5451171677029479,0.22737287501169196
2,A549,12,3,6,14,OSI,0.3040570204831541,-0.013687272208101897
3,A549,12,3,6,14,OSI,0.12657983717393023,-0.19116445551732575
4,A549,12,3,6,14,OSI,0.44336728380874246,0.12562299111748648
5,A549,12,3,6,14,OSI,0.38852799368788454,0.07078370099662856
6,A549,12,3,6,14,OSI,0.1683980568450128,-0.14934623584624318
7,A549,12,3,6,14,OSI,0.2859922070359363,-0.03175208565531967
1,A549,12,3,6,15,OSI,0.2979877490348362,-0.019756543656419767
2,A549,12,3,6,15,OSI,0.31559659134764195,-0.002147701343614028
3,A549,12,3,6,15,OSI,0.22184607198090672,-0.09589822071034926
4,A549,12,3,6,15,OSI,0.4720528462956558,0.15430855360439982
5,A549,12,3,6,15,OSI,0.48215095535208186,0.16440666266082588
1,A549,12,3,6,16,OSI,0.06475633503833725,-0.2529879576529187
2,A549,12,3,6,16,OSI,0.12570012907883218,-0.1920441636124238
3,A549,12,3,6,16,OSI,0.12432352121604237,-0.1934207714752136
4,A549,12,3,6,16,OSI,0.16745679584488407,-0.1502874968463719
1,A549,12,3,6,17,OSI,0.40241193198317954,0.08466763929192356
2,A549,12,3,6,17,OSI,0.5229406825639995,0.20519638987274352
3,A549,12,3,6,17,OSI,0.4540190391333179,0.13627474644206194
4,A549,12,3,6,17,OSI,0.544937320357766,0.22719302766651
5,A549,12,3,6,17,OSI,0.6253095148858848,0.30756522219462884
1,A549,12,3,6,18,OSI,0.33272528325025885,0.014980990559002871
2,A549,12,3,6,18,OSI,0.5751505402580006,0.25740624756674463
3,A549,12,3,6,18,OSI,0.7227184719346746,0.40497417924341866
4,A549,12,3,6,18,OSI,0.6122381152034866,0.2944938225122306
5,A549,12,3,6,18,OSI,0.4132973936357528,0.09555310094449682
6,A549,12,3,6,18,OSI,0.6834266455317027,0.36568235284044676
7,A549,12,3,6,18,OSI,0.748040304112093,0.430296011420837
1,A549,12,3,6,19,OSI,0.31573591801830847,-0.0020083746729475105
2,A549,12,3,6,19,OSI,0.4642000007949779,0.14645570810372194
1,A549,12,3,6,2,OSI,0.13524020286184046,-0.18250408982941552
2,A549,12,3,6,2,OSI,0.4747567472665281,0.15701245457527213
3,A549,12,3,6,2,OSI,0.30036870852141223,-0.01737558416984375
4,A549,12,3,6,2,OSI,0.2818403414163287,-0.03590395127492729
5,A549,12,3,6,2,OSI,0.44419169315664125,0.12644740046538527
6,A549,12,3,6,2,OSI,0.6448339720097855,0.32708967931852956
1,A549,12,3,6,3,OSI,0.57496178705849,0.257217494367234
2,A549,12,3,6,3,OSI,0.39436295920694125,0.07661866651568527
3,A549,12,3,6,3,OSI,0.7159845853280794,0.3982402926368234
4,A549,12,3,6,3,OSI,0.6071088619315292,0.28936456924027326
5,A549,12,3,6,3,OSI,0.5442483703752761,0.2265040776840201
1,A549,12,3,6,4,OSI,0.5021733607922484,0.1844290681009924
2,A549,12,3,6,4,OSI,0.6776030513986406,0.35985875870738465
3,A549,12,3,6,4,OSI,0.4345815618919115,0.11683726920065551
4,A549,12,3,6,4,OSI,0.5631781673827486,0.24543387469149264
5,A549,12,3,6,4,OSI,0.792121822639062,0.47437752994780596
1,A549,12,3,6,5,OSI,0.5925582175227389,0.27481392483148287
2,A549,12,3,6,5,OSI,0.4222680172884271,0.10452372459717113
3,A549,12,3,6,5,OSI,0.36084594405792414,0.04310165136666816
4,A549,12,3,6,5,OSI,0.5288853318659632,0.21114103917470722
5,A549,12,3,6,5,OSI,0.69575781553763,0.3780135228463741
6,A549,12,3,6,5,OSI,0.6751274882924632,0.3573831956012072
7,A549,12,3,6,5,OSI,0.7502584220294723,0.43251412933821637
8,A549,12,3,6,5,OSI,0.6708431843460454,0.3530988916547894
9,A549,12,3,6,5,OSI,0.6163398645701067,0.2985955718788507
10,A549,12,3,6,5,OSI,0.6747144196308984,0.3569701269396424
1,A549,12,3,6,6,OSI,0.6429833031482508,0.3252390104569948
2,A549,12,3,6,6,OSI,0.5573215629270871,0.23957727023583114
3,A549,12,3,6,6,OSI,0.6652162338055834,0.3474719411143274
4,A549,12,3,6,6,OSI,0.4623860912846012,0.1446417985933452
1,A549,12,3,6,7,OSI,0.6210158219104537,0.3032715292191977
2,A549,12,3,6,7,OSI,0.8060349554543471,0.48829066276309113
3,A549,12,3,6,7,OSI,0.5262609134423151,0.2085166207510591
4,A549,12,3,6,7,OSI,0.6545014421871505,0.33675714949589447
5,A549,12,3,6,7,OSI,0.7929945882295868,0.4752502955383308
6,A549,12,3,6,7,OSI,0.6138681947989226,0.29612390210766665
7,A549,12,3,6,7,OSI,0.7854093809777544,0.4676650882864984
8,A549,12,3,6,7,OSI,0.6131136346202852,0.29536934192902925
1,A549,12,3,6,8,OSI,0.4861434410331313,0.1683991483418753
2,A549,12,3,6,8,OSI,0.43154445526205476,0.11380016257079878
3,A549,12,3,6,8,OSI,0.316152449737453,-0.001591842953802991
4,A549,12,3,6,8,OSI,0.5528262152795824,0.23508192258832644
5,A549,12,3,6,8,OSI,0.4234041013017261,0.10565980861047014
6,A549,12,3,6,8,OSI,0.43908305565078276,0.12133876295952678
1,A549,12,3,6,9,OSI,0.29846114748313546,-0.019283145208120522
2,A549,12,3,6,9,OSI,0.4449982686664831,0.12725397597522714
3,A549,12,3,6,9,OSI,0.2510484763006623,-0.06669581639059369
4,A549,12,3,6,9,OSI,0.25898228189996947,-0.05876201079128651
1,A549,0,1,2,0,control,0.5065056435963584,0.18876135090510243
2,A549,0,1,2,0,control,0.5580164093172288,0.24027211662597286
1,A549,0,1,2,1,control,0.18305615908016185,-0.13468813361109414
2,A549,0,1,2,1,control,0.19094072149579283,-0.12680357119546315
1,A549,0,1,2,10,control,0.2915742868506033,-0.026170005840652655
2,A549,0,1,2,10,control,0.2595049216347835,-0.05823937105647248
3,A549,0,1,2,10,control,0.2858044845360263,-0.031939808155229676
4,A549,0,1,2,10,control,0.22169318433795637,-0.09605110835329961
5,A549,0,1,2,10,control,0.37222550635187607,0.05448121366062009
6,A549,0,1,2,10,control,0.5612562345070319,0.2435119418157759
1,A549,0,1,2,11,control,0.620961665086684,0.30321737239542806
1,A549,0,1,2,12,control,0.21390280893300567,-0.10384148375825031
2,A549,0,1,2,12,control,0.19489291436721706,-0.12285137832403892
3,A549,0,1,2,12,control,0.1782491851929722,-0.13949510749828378
1,A549,0,1,2,13,control,0.34669495556216673,0.02895066287091075
2,A549,0,1,2,13,control,0.21898544971930312,-0.09875884297195286
3,A549,0,1,2,13,control,0.3066688215268686,-0.011075471164387396
4,A549,0,1,2,13,control,0.26821534712656403,-0.04952894556469195
5,A549,0,1,2,13,control,0.34533663135604525,0.027592338664789273
6,A549,0,1,2,13,control,0.22135376794073824,-0.09639052475051774
1,A549,0,1,2,14,control,0.5085208721728518,0.19077657948159582
