ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,40,4,4,0,VIN,0.44970271183367505,0.18995534343340742
2,A549,40,4,4,0,VIN,0.8323434034845534,0.5725960350842858
3,A549,40,4,4,0,VIN,0.5669206215169421,0.3071732531166745
1,A549,40,4,4,1,VIN,0.5686963534577547,0.3089489850574871
2,A549,40,4,4,1,VIN,0.7135341642304607,0.45378679583019305
3,A549,40,4,4,1,VIN,0.49735749793522127,0.23761012953495364
4,A549,40,4,4,1,VIN,0.8888959728076316,0.629148604407364
5,A549,40,4,4,1,VIN,0.6954324522452408,0.4356850838449731
1,A549,40,4,4,10,VIN,0.9087790173521034,0.6490316489518357
2,A549,40,4,4,10,VIN,0.7217619597830749,0.46201459138280726
3,A549,40,4,4,10,VIN,0.7393573142763502,0.4796099458760826
4,A549,40,4,4,10,VIN,0.18476649510525284,-0.0749808732950148
5,A549,40,4,4,10,VIN,0.4768296834639905,0.21708231506372289
6,A549,40,4,4,10,VIN,0.659285781141333,0.39953841274106533
1,A549,40,4,4,11,VIN,0.1747450443332304,-0.08500232406703723
2,A549,40,4,4,11,VIN,0.23849935218090587,-0.02124801621936176
3,A549,40,4,4,11,VIN,0.6548978979435013,0.39515052954323365
4,A549,40,4,4,11,VIN,0.796432028639333,0.5366846602390654
5,A549,40,4,4,11,VIN,0.8547856011863253,0.5950382327860577
6,A549,40,4,4,11,VIN,0.7560199579237913,0.49627258952352366
7,A549,40,4,4,11,VIN,0.18472733145297132,-0.07502003694729631
8,A549,40,4,4,11,VIN,0.5650705215757534,0.3053231531754858
9,A549,40,4,4,11,VIN,0.4823911721905379,0.22264380379027027
10,A549,40,4,4,11,VIN,0.6772227178152381,0.4174753494149705
1,A549,40,4,4,12,VIN,0.25672380623695423,-0.003023562163313398
2,A549,40,4,4,12,VIN,0.7195448006988208,0.45979743229855313
3,A549,40,4,4,12,VIN,0.9158095311741594,0.6560621627738918
4,A549,40,4,4,12,VIN,0.07524825358485658,-0.18449911481541104
5,A549,40,4,4,12,VIN,0.521634792380109,0.2618874239798414
6,A549,40,4,4,12,VIN,0.6220991424180632,0.36235177401779556
7,A549,40,4,4,12,VIN,0.6995366700400197,0.4397893016397521
8,A549,40,4,4,12,VIN,0.6674836892337294,0.40773632083346173
1,A549,40,4,4,13,VIN,0.8257754829887176,0.56602811458845
2,A549,40,4,4,13,VIN,0.964676929120621,0.7049295607203534
3,A549,40,4,4,13,VIN,0.8346392252756342,0.5748918568753665
4,A549,40,4,4,13,VIN,0.48235460640065303,0.2226072380003854
5,A549,40,4,4,13,VIN,0.8358879460986552,0.5761405776983877
1,A549,40,4,4,14,VIN,0.7865128303930687,0.526765461992801
2,A549,40,4,4,14,VIN,0.8470405694230282,0.5872932010227605
3,A549,40,4,4,14,VIN,0.6409015148836378,0.38115414648337015
4,A549,40,4,4,14,VIN,0.9355569587530983,0.6758095903528307
1,A549,40,4,4,15,VIN,0.5280845453232975,0.2683371769230299
2,A549,40,4,4,15,VIN,0.6952812997036052,0.43553393130333756
3,A549,40,4,4,15,VIN,0.8030060087660964,0.5432586403658288
4,A549,40,4,4,15,VIN,0.3333684605453845,0.07362109214511686
5,A549,40,4,4,15,VIN,0.7994295036513829,0.5396821352511152
1,A549,40,4,4,16,VIN,0.18219409866445263,-0.077553269735815
2,A549,40,4,4,16,VIN,0.22200743275322968,-0.03773993564703795
3,A549,40,4,4,16,VIN,0.09702788392827888,-0.16271948447198875
4,A549,40,4,4,16,VIN,0.19771485422620916,-0.06203251417405847
5,A549,40,4,4,16,VIN,0.1871058782382097,-0.07264149016205793
6,A549,40,4,4,16,VIN,0.0359832419145746,-0.22376412648569302
1,A549,40,4,4,17,VIN,0.8000299403529028,0.5402825719526352
2,A549,40,4,4,17,VIN,0.7500404523360398,0.49029308393577214
3,A549,40,4,4,17,VIN,0.39606776541671657,0.13632039701644894
4,A549,40,4,4,17,VIN,0.6975241630308103,0.4377767946305427
5,A549,40,4,4,17,VIN,0.8018686020980927,0.5421212336978252
6,A549,40,4,4,17,VIN,0.9347337922831631,0.6749864238828955
1,A549,40,4,4,2,VIN,0.788458070482298,0.5287107020820303
2,A549,40,4,4,2,VIN,0.7627791460120253,0.5030317776117577
3,A549,40,4,4,2,VIN,0.882936127140769,0.6231887587405014
4,A549,40,4,4,2,VIN,0.7924388823015912,0.5326915139013235
5,A549,40,4,4,2,VIN,0.7809688860481392,0.5212215176478716
6,A549,40,4,4,2,VIN,0.5227134652597781,0.2629660968595105
7,A549,40,4,4,2,VIN,0.2717818845744583,0.012034516174190657
8,A549,40,4,4,2,VIN,0.4187696465911947,0.15902227819092707
1,A549,40,4,4,3,VIN,0.6956766173874886,0.435929248987221
2,A549,40,4,4,3,VIN,0.37348451569111657,0.11373714729084894
3,A549,40,4,4,3,VIN,0.6796470409850724,0.4198996725848048
4,A549,40,4,4,3,VIN,0.6519382417538091,0.39219087335354147
5,A549,40,4,4,3,VIN,0.7262514155533103,0.46650404715304267
6,A549,40,4,4,3,VIN,0.8730295231181324,0.6132821547178648
1,A549,40,4,4,4,VIN,0.6202580760465221,0.3605107076462544
2,A549,40,4,4,4,VIN,0.5740241922198402,0.3142768238195726
3,A549,40,4,4,4,VIN,0.25451315289146786,-0.005234215508799767
1,A549,40,4,4,5,VIN,0.05586852381523362,-0.20387884458503402
2,A549,40,4,4,5,VIN,0.28073804542884623,0.020990677028578597
3,A549,40,4,4,5,VIN,0.6286280377614256,0.368880669361158
4,A549,40,4,4,5,VIN,0.6047983641265446,0.345050995726277
5,A549,40,4,4,5,VIN,0.31585363934656396,0.05610627094629633
6,A549,40,4,4,5,VIN,0.5118002241370812,0.2520528557368135
1,A549,40,4,4,6,VIN,0.6062454427546374,0.3464980743543698
2,A549,40,4,4,6,VIN,0.8062359157077719,0.5464885473075043
3,A549,40,4,4,6,VIN,0.3624800462071397,0.10273267780687206
4,A549,40,4,4,6,VIN,0.9675266129577225,0.7077792445574549
1,A549,40,4,4,7,VIN,0.750615654840902,0.49086828644063435
2,A549,40,4,4,7,VIN,0.7978571274110235,0.538109759010756
3,A549,40,4,4,7,VIN,0.8881884388244288,0.6284410704241612
4,A549,40,4,4,7,VIN,0.6828514491156299,0.42310408071536226
5,A549,40,4,4,7,VIN,0.7942175744362286,0.534470206035961
6,A549,40,4,4,7,VIN,0.41906325596701877,0.15931588756675114
7,A549,40,4,4,7,VIN,0.9379379276382851,0.6781905592380175
8,A549,40,4,4,7,VIN,0.41211495263467757,0.15236758423440994
9,A549,40,4,4,7,VIN,0.7051047780097504,0.4453574096094827
10,A549,40,4,4,7,VIN,0.5907336770326905,0.3309863086324229
1,A549,40,4,4,8,VIN,0.15346644155720365,-0.10628092684306398
2,A549,40,4,4,8,VIN,0.5403135034601625,0.28056613505989486
3,A549,40,4,4,8,VIN,0.7318972701340625,0.47214990173379484
4,A549,40,4,4,8,VIN,0.5545513643184761,0.29480399591820844
1,A549,40,4,4,9,VIN,0.5225702744306403,0.26282290603037267
2,A549,40,4,4,9,VIN,0.5930898188730339,0.3333424504727663
3,A549,40,4,4,9,VIN,0.5933029330228525,0.3335555646225849
4,A549,40,4,4,9,VIN,0.6260510783024735,0.3663037099022059
5,A549,40,4,4,9,VIN,0.8268375132164275,0.5670901448161598
6,A549,40,4,4,9,VIN,0.8650368903993881,0.6052895219991206
7,A549,40,4,4,9,VIN,0.8717970064926852,0.6120496380924176
1,A549,0,1,2,0,control,0.3186362904906683,0.05888892209040064
2,A549,0,1,2,0,control,0.5136636895014294,0.25391632110116175
1,A549,0,1,2,1,control,0.4792706216776571,0.21952325327738947
2,A549,0,1,2,1,control,0.13596382297857443,-0.1237835454216932
1,A549,0,1,2,10,control,0.2511611542018332,-0.008586214198434416
2,A549,0,1,2,10,control,0.4066045595063471,0.14685719110607948
3,A549,0,1,2,10,control,0.19864275557260075,-0.06110461282766688
4,A549,0,1,2,10,control,0.12956567635688118,-0.13018169204338645
5,A549,0,1,2,10,control,0.15747870675067493,-0.1022686616495927
6,A549,0,1,2,10,control,0.1675333853842756,-0.09221398301599204
1,A549,0,1,2,11,control,0.6718191143851376,0.41207174598487
1,A549,0,1,2,12,control,0.12753761762141036,-0.13220975077885727
2,A549,0,1,2,12,control,0.28729747589298743,0.0275501074927198
3,A549,0,1,2,12,control,0.1691804595428887,-0.09056690885737892
1,A549,0,1,2,13,control,0.0937008991083312,-0.16604646929193645
2,A549,0,1,2,13,control,0.18296763259700038,-0.07677973580326725
3,A549,0,1,2,13,control,0.1392551948391338,-0.12049217356113384
4,A549,0,1,2,13,control,0.20271598445084082,-0.057031383949426806
5,A549,0,1,2,13,control,0.5029545362497412,0.24320716784947355
6,A549,0,1,2,13,control,0.5497835360069985,0.29003616760673084
1,A549,0,1,2,14,control,0.7905544391199149,0.5308070707196473
2,A549,0,1,2,14,control,0.13005353899926214,-0.1296938294010055
3,A549,0,1,2,14,control,0.14507108438462973,-0.1146762840156379
4,A549,0,1,2,14,control,0.279932175936262,0.020184807535994387
5,A549,0,1,2,14,control,0.4063684506674442,0.14662108226717657
1,A549,0,1,2,15,control,0.19115446458295554,-0.06859290381731209
2,A549,0,1,2,15,control,0.21892729381258302,-0.04082007458768461
3,A549,0,1,2,15,control,0.0881695329170604,-0.17157783548320724
4,A549,0,1,2,15,control,0.17944011118153583,-0.0803072572187318
5,A549,0,1,2,15,control,0.26503617800870616,0.005288809608438527
1,A549,0,1,2,16,control,0.08862724223029128,-0.17112012616997635
2,A549,0,1,2,16,control,0.08828854033614028,-0.17145882806412735
1,A549,0,1,2,17,control,0.2381403754028991,-0.02160699299736854
2,A549,0,1,2,17,control,0.22106137968636935,-0.03868598871389828
3,A549,0,1,2,17,control,0.06869519693716417,-0.19105217146310347
4,A549,0,1,2,17,control,0.060857725181553524,-0.1988896432187141
1,A549,0,1,2,18,control,0.4440270694021248,0.18427970100185714
1,A549,0,1,2,19,control,0.3194509843315389,0.05970361593127127
2,A549,0,1,2,19,control,0.23353712240693075,-0.026210245993336878
3,A549,0,1,2,19,control,0.2522658133196808,-0.007481555080586844
4,A549,0,1,2,19,control,0.31980596819006113,0.0600585997897935
1,A549,0,1,2,2,control,0.20193221184934879,-0.057815156550918845
2,A549,0,1,2,2,control,0.1332588520462252,-0.12648851635404243
3,A549,0,1,2,2,control,0.21275719717732589,-0.046990171222941746
4,A549,0,1,2,2,control,0.3711779864065586,0.11143061800629095
5,A549,0,1,2,2,control,0.11920607906877152,-0.14054128933149612
1,A549,0,1,2,3,control,0.10847351077664728,-0.15127385762362033
2,A549,0,1,2,3,control,0.2311748174029181,-0.02857255099734954
3,A549,0,1,2,3,control,0.1325571822122163,-0.12719018618805134
4,A549,0,1,2,3,control,0.20017781911519233,-0.059569549285075296
1,A549,0,1,2,4,control,0.13020343709305815,-0.12954393130720948
2,A549,0,1,2,4,control,0.439014823307189,0.17926745490692136
3,A549,0,1,2,4,control,0.07076099989654956,-0.18898636850371808
1,A549,0,1,2,5,control,0.20430840941907044,-0.05543895898119719
2,A549,0,1,2,5,control,0.06513878292560141,-0.19460858547466622
1,A549,0,1,2,6,control,0.20372558958450818,-0.056021778815759454
1,A549,0,1,2,7,control,0.2860300178873102,0.026282649487042564
2,A549,0,1,2,7,control,0.3633190665266914,0.10357169812642375
1,A549,0,1,2,8,control,0.22269330873162968,-0.03705405966863795
2,A549,0,1,2,8,control,0.08812760195281244,-0.1716197664474552
1,A549,0,1,2,9,control,0.7658678497326392,0.5061204813323716
2,A549,0,1,2,9,control,0.18647039021633194,-0.07327697818393569
3,A549,0,1,2,9,control,0.14458049253574073,-0.1151668758645269
1,A549,0,3,2,0,control,0.09662926619726535,-0.16311810220300227
1,A549,0,3,2,1,control,0.19114925897264604,-0.0685981094276216
2,A549,0,3,2,1,control,0.11375511845545731,-0.1459922499448103
3,A549,0,3,2,1,control,0.26573505819067356,0.005987689790405926
4,A549,0,3,2,1,control,0.17356350919014624,-0.0861838592101214
5,A549,0,3,2,1,control,0.1077501084752915,-0.15199725992497615
6,A549,0,3,2,1,control,0.11122423365067965,-0.14852313474958798
1,A549,0,3,2,10,control,0.5104285395838659,0.2506811711835983
2,A549,0,3,2,10,control,0.1409315337703961,-0.11881583462987153
3,A549,0,3,2,10,control,0.19234436399371282,-0.0674030044065548
4,A549,0,3,2,10,control,0.1364329946431584,-0.12331437375710924
1,A549,0,3,2,11,control,0.6455415318608421,0.38579416346057444
2,A549,0,3,2,11,control,0.2442378396693495,-0.015509528730918126
1,A549,0,3,2,12,control,0.19050905441706617,-0.06923831398320146
2,A549,0,3,2,12,control,0.3261399025967711,0.06639253419650348
3,A549,0,3,2,12,control,0.16116179776632944,-0.09858557063393819
1,A549,0,3,2,13,control,0.27713073698861235,0.017383368588344716
2,A549,0,3,2,13,control,0.4577000048312686,0.19795263643100097
3,A549,0,3,2,13,control,0.4747366504206497,0.2149892820203821
1,A549,0,3,2,14,control,0.19308525282621863,-0.066662115574049
2,A549,0,3,2,14,control,0.11656205844555263,-0.143185309954715
1,A549,0,3,2,2,control,0.3194463027428903,0.05969893434262269
2,A549,0,3,2,2,control,0.170897904449457,-0.08884946395081064
3,A549,0,3,2,2,control,0.19422608029851932,-0.06552128810174832
1,A549,0,3,2,4,control,0.15538998604135043,-0.1043573823589172
2,A549,0,3,2,4,control,0.3647015837763695,0.10495421537610189
3,A549,0,3,2,4,control,0.22452104337805964,-0.03522632502220799
4,A549,0,3,2,4,control,0.18811790673809908,-0.07162946166216855
5,A549,0,3,2,4,control,0.08779283756158027,-0.17195453083868736
1,A549,0,3,2,5,control,0.45102905930725656,0.19128169090698893
2,A549,0,3,2,5,control,0.17293287966548704,-0.08681448873478059
3,A549,0,3,2,5,control,0.2419704329838644,-0.01777693541640324
4,A549,0,3,2,5,control,0.21512208403796756,-0.044625284362300066
1,A549,0,3,2,6,control,0.31374440613272275,0.05399703773245512
2,A549,0,3,2,6,control,0.5002762581925075,0.2405288897922399
3,A549,0,3,2,6,control,0.29884420971841585,0.03909684131814822
1,A549,0,3,2,7,control,0.3001600372797085,0.040412668879440894
2,A549,0,3,2,7,control,0.5302014014147678,0.27045403301450016
3,A549,0,3,2,7,control,0.2651793263373869,0.005431957937119258
4,A549,0,3,2,7,control,0.6041294447707045,0.3443820763704369
1,A549,0,3,2,8,control,0.1499916549404913,-0.10975571345977633
2,A549,0,3,2,8,control,0.19701831143552537,-0.06272905696474226
3,A549,0,3,2,8,control,0.5443594996899819,0.28461213128971424
4,A549,0,3,2,8,control,0.15017206067408512,-0.10957530772618251
5,A549,0,3,2,8,control,0.35812955729252527,0.09838218889225764
