ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,9,6,ALM,0.7302478879581836,False,0.4267948038987004
2,0,9,6,ALM,0.6539910975038816,False,0.3505380134443984
3,0,9,6,ALM,0.7474745878630784,False,0.4440215038035952
1,1,9,6,ALM,0.7497194724667287,False,0.4462663884072454
2,1,9,6,ALM,0.7786246794460202,True,0.47517159538653697
3,1,9,6,ALM,0.7880122071386795,False,0.48455912307919624
4,1,9,6,ALM,0.7740820248641267,True,0.47062894080464346
5,1,9,6,ALM,0.7124382263651873,False,0.40898514230570404
6,1,9,6,ALM,0.7406119388068637,False,0.4371588547473805
1,11,9,6,ALM,0.5943106992305982,True,0.29085761517111497
2,11,9,6,ALM,0.623762093335778,False,0.3203090092762948
1,12,9,6,ALM,0.6521287988568235,False,0.3486757147973403
2,12,9,6,ALM,0.5865647797431599,True,0.28311169568367667
3,12,9,6,ALM,0.5829378984179615,False,0.2794848143584783
1,13,9,6,ALM,0.5303046967373762,False,0.226851612677893
2,13,9,6,ALM,0.6372138688484201,False,0.3337607847889369
3,13,9,6,ALM,0.6975017597582747,False,0.39404867569879143
4,13,9,6,ALM,0.4822768808269718,True,0.17882379676748855
1,14,9,6,ALM,0.7649394232671197,False,0.4614863392076365
1,15,9,6,ALM,0.7648512545588464,False,0.46139817049936316
2,15,9,6,ALM,0.5289073994438376,False,0.22545431538435434
3,15,9,6,ALM,0.5262172443181876,True,0.22276416025870438
1,16,9,6,ALM,0.5414798598035787,False,0.23802677574409548
2,16,9,6,ALM,0.4052058789576011,False,0.10175279489811784
1,17,9,6,ALM,0.7309787592864568,False,0.4275256752269736
2,17,9,6,ALM,0.6700282485815113,False,0.3665751645220281
1,19,9,6,ALM,0.6889009054485371,False,0.38544782138905387
1,2,9,6,ALM,0.5978243049494604,True,0.29437122088997714
2,2,9,6,ALM,0.6216437682140878,False,0.3181906841546046
3,2,9,6,ALM,0.7035090567059183,True,0.4000559726464351
1,3,9,6,ALM,0.739350123193375,False,0.4358970391338918
2,3,9,6,ALM,0.8299343571414708,False,0.5264812730819876
1,4,9,6,ALM,0.7667281159463147,False,0.4632750318868315
1,5,9,6,ALM,0.4404011186643423,True,0.13694803460485905
2,5,9,6,ALM,0.23375610468918304,True,-0.0696969793703002
3,5,9,6,ALM,0.43606247089078165,False,0.13260938683129841
1,6,9,6,ALM,0.6750874668910113,False,0.37163438283152805
1,7,9,6,ALM,0.7597133424172732,True,0.45626025835778994
2,7,9,6,ALM,0.8131270644293981,False,0.5096739803699148
3,7,9,6,ALM,0.783252707815464,False,0.47979962375598073
1,8,9,6,ALM,0.6448632372963564,False,0.3414101532368732
2,8,9,6,ALM,0.5988045249468111,False,0.2953514408873279
3,8,9,6,ALM,0.6491004000978926,False,0.34564731603840937
1,9,9,6,ALM,0.6427729051678286,False,0.33931982110834535
2,9,9,6,ALM,0.6102439568628355,False,0.30679087280335227
1,0,0,4,control,0.26519921157422105,False,-0.038253872485262186
2,0,0,4,control,0.3465893996560426,False,0.04313631559655934
3,0,0,4,control,0.2261092979954225,False,-0.07734378606406073
4,0,0,4,control,0.24909852844108632,False,-0.054354555618396916
1,1,0,4,control,0.2703983544703171,False,-0.03305472958916611
2,1,0,4,control,0.25353724805633326,False,-0.04991583600314997
1,13,0,4,control,0.20858846682920856,False,-0.09486461723027467
2,13,0,4,control,0.21488300215735912,False,-0.08857008190212412
1,14,0,4,control,0.26782716760415426,False,-0.035625916455328976
2,14,0,4,control,0.2124833687313425,False,-0.09096971532814074
3,14,0,4,control,0.36728026242682427,False,0.06382717836734103
1,15,0,4,control,0.3682145690582611,True,0.06476148499877787
1,16,0,4,control,0.2819309834533187,False,-0.02152210060616455
2,16,0,4,control,0.3344663880851569,False,0.03101330402567365
1,17,0,4,control,0.4724735146532543,True,0.1690204305937711
2,17,0,4,control,0.41981143370261453,True,0.1163583496431313
3,17,0,4,control,0.3346956351982838,False,0.03124255113880059
1,18,0,4,control,0.3361166644865238,False,0.03266358042704054
2,18,0,4,control,0.41241111567265837,True,0.10895803161317513
1,19,0,4,control,0.3441131879419895,True,0.04066010388250624
1,2,0,4,control,0.17315973931403095,False,-0.1302933447454523
2,2,0,4,control,0.2928384546546434,False,-0.010614629404839815
1,3,0,4,control,0.2885270621984447,True,-0.01492602186103853
2,3,0,4,control,0.2078434773436469,False,-0.09560960671583635
1,5,0,4,control,0.27326839400766784,False,-0.0301846900518154
1,6,0,4,control,0.3086129870102915,False,0.0051599029508082594
2,6,0,4,control,0.21712324198234917,False,-0.08632984207713407
1,7,0,4,control,0.48399009218973504,True,0.1805370081302518
2,7,0,4,control,0.3128475906918521,False,0.009394506632368849
1,8,0,4,control,0.49956184746644394,True,0.1961087634069607
2,8,0,4,control,0.36118609617365144,True,0.0577330121141682
1,9,0,4,control,0.2673582277746046,True,-0.03609485628487863
2,9,0,4,control,0.25857836347250307,False,-0.044874720586980166
3,9,0,4,control,0.18628148354819218,False,-0.11717160051129105
