ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,15,2,DAC,0.46826792353871777,True,0.19029170790335437
2,0,15,2,DAC,0.26032040318888816,True,-0.01765581244647524
1,1,15,2,DAC,0.04557483014164889,True,-0.2324013854937145
2,1,15,2,DAC,0.1224243458504412,True,-0.1555518697849222
1,11,15,2,DAC,0.7004814101220871,False,0.4225051944867237
2,11,15,2,DAC,0.7453224555997559,True,0.46734623996439245
1,12,15,2,DAC,0.7841896978086481,False,0.5062134821732847
2,12,15,2,DAC,0.7927718909471103,False,0.5147956753117469
3,12,15,2,DAC,0.8983297351119225,False,0.620353519476559
1,13,15,2,DAC,0.9037969297595781,False,0.6258207141242147
2,13,15,2,DAC,0.9060053848479059,False,0.6280291692125426
1,14,15,2,DAC,0.841027562347552,False,0.5630513467121887
2,14,15,2,DAC,0.6636919106744259,False,0.3857156950390625
3,14,15,2,DAC,0.8104203825611327,False,0.5324441669257693
1,15,15,2,DAC,0.42139947716618414,False,0.14342326153082074
2,15,15,2,DAC,0.6263710953778672,False,0.34839487974250377
3,15,15,2,DAC,0.7415463142818639,False,0.4635700986465005
4,15,15,2,DAC,0.7109824523866399,False,0.43300623675127653
5,15,15,2,DAC,0.438607440697646,False,0.1606312250622826
1,16,15,2,DAC,0.7337948719875638,False,0.45581865635220037
2,16,15,2,DAC,0.6965538910672795,False,0.4185776754319161
3,16,15,2,DAC,0.8340290313530506,False,0.5560528157176872
4,16,15,2,DAC,0.6408457939714823,True,0.36286957833611894
5,16,15,2,DAC,0.8833846682062889,False,0.6054084525709256
1,17,15,2,DAC,0.6551925005697424,False,0.37721628493437903
1,3,15,2,DAC,0.5913594035094806,True,0.3133831878741172
1,4,15,2,DAC,0.8054056980102622,False,0.5274294823748988
1,5,15,2,DAC,0.7155473025717572,True,0.43757108693639385
2,5,15,2,DAC,0.4002811683054534,False,0.12230495267009
3,5,15,2,DAC,0.7250315109712128,False,0.44705529533584937
4,5,15,2,DAC,0.7615351276994918,False,0.48355891206412843
5,5,15,2,DAC,0.6318334482570647,False,0.35385723262170127
1,6,15,2,DAC,0.9565418411388323,True,0.6785656255034689
2,6,15,2,DAC,0.85895728354378,False,0.5809810679084166
1,7,15,2,DAC,0.36917840551163883,True,0.09120218987627543
2,7,15,2,DAC,0.8198433115133923,False,0.541867095878029
3,7,15,2,DAC,0.7806412975772633,False,0.5026650819418998
1,8,15,2,DAC,0.7067519617071907,True,0.4287757460718273
1,9,15,2,DAC,0.7016957792019899,False,0.4237195635666265
2,9,15,2,DAC,0.7165054458823622,False,0.4385292302469988
1,0,0,4,control,0.17476063994143534,False,-0.10321557569392806
2,0,0,4,control,0.1939770616383667,False,-0.0839991539969967
3,0,0,4,control,0.2228273472451777,False,-0.05514886839018571
4,0,0,4,control,0.1380450622039145,False,-0.1399311534314489
1,1,0,4,control,0.21179335868885998,False,-0.06618285694650342
2,1,0,4,control,0.3208886375120861,False,0.04291242187672267
1,13,0,4,control,0.22584106845855434,False,-0.05213514717680906
2,13,0,4,control,0.1497155589709014,False,-0.12826065666446199
1,14,0,4,control,0.28290832725693926,False,0.004932111621575863
2,14,0,4,control,0.15639893384952824,False,-0.12157728178583516
3,14,0,4,control,0.32031803853499546,False,0.042341822899632064
1,15,0,4,control,0.6722227615884613,True,0.3942465459530979
1,16,0,4,control,0.15036718609932315,False,-0.12760902953604025
2,16,0,4,control,0.19090955874391874,False,-0.08706665689144466
1,17,0,4,control,0.4476932510549661,True,0.1697170354196027
2,17,0,4,control,0.18358126045087436,True,-0.09439495518448904
3,17,0,4,control,0.2574458338783351,False,-0.020530381757028315
1,18,0,4,control,0.14944872071085563,False,-0.12852749492450777
2,18,0,4,control,0.17576741173416238,True,-0.10220880390120102
1,19,0,4,control,0.20643062410005958,True,-0.07154559153530382
1,2,0,4,control,0.1733110123492559,False,-0.10466520328610751
2,2,0,4,control,0.2521806962177651,False,-0.02579551941759828
1,3,0,4,control,0.21722320979304804,True,-0.060753005842315355
2,3,0,4,control,0.19208075866825067,False,-0.08589545696711273
1,5,0,4,control,0.3158081649461334,False,0.03783194931077
1,6,0,4,control,0.21904720868098337,False,-0.058929006954380025
2,6,0,4,control,0.27383843403691743,False,-0.0041377815984459665
1,7,0,4,control,0.4578082526956789,True,0.17983203706031547
2,7,0,4,control,0.3830559034067359,False,0.1050796877713725
1,8,0,4,control,0.8517147114545027,True,0.5737384958191394
2,8,0,4,control,0.38868792233226773,True,0.11071170669690433
1,9,0,4,control,0.31259086201471886,True,0.03461464637935546
2,9,0,4,control,0.25073811554842707,False,-0.027238100086936334
3,9,0,4,control,0.3317654367959565,False,0.05378922116059309
