Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,FRET_Judge,Near_Ed,Ed_diff
A549,4,ALM,0,1,9,1,0.1086720153689384,0.0031255227513611,0.1182237342000007,0.0022710007615387,,,,,,,1.5685899,5.692682,5.6210155,967,54680,55647,0.80172324,0.008737817,0.20418116,0.8561577,0.7424946,0.63477033,2.8424265,0.0,0.21227872,0.21054082,0.630616,0.03410213,0.017680356,0.64227253,2.8424265,0.0,0.21248114,,,
A549,4,ALM,0,1,9,2,0.1268012523651123,0.0050861337222158,0.1461023986339569,0.0030403821729123,,,,,,,1.1398509,3.0234888,2.9964707,1217,83630,84847,0.8396084,-0.22436023,0.35468653,0.94748265,0.8524137,0.47351417,1.9336457,0.0,0.096384965,0.1833068,0.37089893,0.064051114,0.00268309,0.47773725,1.9336457,0.0,0.09650511,,,
A549,4,ALM,1,1,9,1,0.1064846664667129,0.0239970739930868,0.2966169118881225,0.0104482863098382,0.2273791283369064,0.0016449934337288,0.3655145764350891,0.111022338271141,0.2598448395729065,0.2800767123699188,0.59646565,0.5984926,0.59846395,2061,144226,146287,0.6010149,0.23792213,0.5863476,0.97766614,0.84357935,1.180731,8.485772,0.0,2.920834,2.6027508,4.84719,1.5129058,0.22829865,1.1604104,8.485772,0.0,2.930001,ALM,0.24769475054610324,0.07375065325125052
A549,4,ALM,1,1,9,2,0.1467158794403076,0.014411206357181,0.2111727148294448,0.0071309707127511,0.1430689692497253,0.0014917383668944,0.307268351316452,0.0162164736539125,0.1743863970041275,0.1945262104272842,0.8978694,1.4449992,1.4348893,2863,152080,154943,0.8070967,0.3029508,0.4785506,0.96197224,0.8693021,1.533407,6.4054847,0.0,1.635975,1.3079379,3.1362448,0.6264939,0.13073336,1.5376517,6.4054847,0.0,1.6633369,ALM,0.12447190559706835,0.12768557722663315
A549,4,ALM,1,1,9,3,0.0502454377710819,0.0062928958795964,0.1541353613138198,0.0032912837341427,0.1207474470138549,0.0026435086037963,0.3170737624168396,0.0,0.1609455943107605,0.1883047968149185,0.87654895,0.9395472,0.9375024,3621,107930,111551,0.80261844,-0.13698767,0.5532384,0.9469168,0.9230872,0.4877224,3.3039386,0.0,0.54883885,1.1978756,2.607773,0.0,0.13692002,0.46389744,3.3039386,0.0,0.54517126,ALM,0.11399765891043573,0.1285055367533647
A549,4,ALM,10,1,9,1,0.0855564922094345,0.0230203010141849,0.3372065722942352,0.0058725965209305,0.221571460366249,0.0009901656303554,0.3289953470230102,0.1379014402627945,0.2458919882774353,0.2621687650680542,0.7784833,1.4742268,1.4717609,200,56231,56431,0.99455994,0.13497515,0.49164164,0.9950722,0.8992056,1.0039608,6.874967,0.0,3.2177515,2.3327873,2.9291384,1.8967627,0.044024695,0.9992347,6.874967,0.0,3.2227368,ALM,0.22200326222188377,0.08943817840841534
A549,4,ALM,11,1,9,1,0.20009146630764,0.0034781654831022,0.2049919515848159,0.0025587908457964,0.1469457000494003,0.0005070163169875,0.2194978892803192,0.0736751332879066,0.165031298995018,0.1756384819746017,1.2752424,2.6032584,2.5778544,909,46610,47519,0.9798028,-0.15641162,0.7521761,0.9719539,0.94123733,1.5658009,3.8150656,0.0,0.29003328,0.8173674,1.1858757,0.43664303,0.024232138,1.5803968,3.8150656,0.0,0.28407982,control,0.20011674666837076,0.0
A549,4,ALM,11,1,9,2,0.23141710460186,0.005465124733746,0.2380194962024688,0.0040495451539754,0.1661534607410431,0.0008841493399813,0.2594042420387268,0.0776517689228057,0.1903247833251953,0.2044268101453781,0.5452896,0.9069145,0.9029206,1200,107455,108655,0.19015916,0.15845439,0.4827988,0.94877195,0.8424113,3.2098186,9.683933,0.0,1.7794853,1.9510694,4.031315,1.1569176,0.27015007,3.2238758,9.683933,0.0,1.7784489,ALM,0.18567649593312402,0.1084960571925731
A549,4,ALM,11,1,9,3,0.2219336926937103,0.0038152139168232,0.2219678312540054,0.0038082199171185,0.1388659030199051,0.0002982166770379,0.2189918905496597,0.0934215858578682,0.1526378542184829,0.161676675081253,0.6191224,1.8572297,1.8438945,1400,128583,129983,0.92445964,0.3623755,0.38892472,0.98827064,0.8315893,2.3028722,6.309895,0.0,0.65802795,0.9896014,1.4129831,0.71360344,0.016461577,2.317171,6.309895,0.0,0.64603066,ALM,0.09417692693171952,0.12713411262323476
A549,4,ALM,11,1,9,4,0.467795193195343,0.0630411580204963,0.5794728398323059,0.0133769372478127,,,,,,,0.5201024,0.9025838,0.897517,837,62346,63183,0.6085979,-0.037276037,0.41919842,0.86051935,0.8816294,6.8532205,13.737252,0.0,14.258069,6.423278,10.28112,3.2704322,3.406069,6.8589916,13.737252,0.0,14.40124,,,
