ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,28,5,2,0,DAC,0.5179642594894391,0.2658405424098399,,0.13248236,0.28432682,-0.13275371,,,,,,,0.71567318,
2,A549,28,5,2,0,DAC,0.4586662023153043,0.2065424852357051,,0.20139453,0.06785947,0.014259154,,,,,,,0.93214053,
1,A549,28,5,2,1,DAC,0.4074565359819978,0.1553328189023986,0.0388258397579193,0.3542174,0.65607935,0.6285077,DAC,0.0397774330554865,0.0766057836168326,0.0766057836168326,0.5069797940178468,1.0,0.34392065000000005,0.671960325
1,A549,28,5,2,10,DAC,0.6673366433696876,0.4152129262900884,0.1997769176959991,1.1983696,0.062931016,0.13751274,control,0.2425486873449431,0.0,0.0,0.0,0.0,0.9370689839999999,0.46853449199999997
2,A549,28,5,2,10,DAC,0.5026156776147773,0.2504919605351781,0.1358358114957809,0.5065406,0.5834917,0.22903375,control,0.1496036796041772,0.0,0.0,0.06243274330956226,0.47995594173175843,0.41650830000000005,0.44823212086587927
1,A549,28,5,2,11,DAC,0.4306416376560342,0.178517920576435,0.2165071815252304,0.9420496,0.85201967,0.50644,control,0.2158352163143244,0.0,0.0,0.0,0.02586774592524734,0.14798033,0.08692403796262367
2,A549,28,5,2,11,DAC,0.5421866874952481,0.2900629704156489,0.1522105783224105,0.86617327,0.52586174,0.5939616,control,0.2065197866826721,0.0,0.0,0.0,0.08973500380137978,0.47413826000000003,0.2819366319006899
3,A549,28,5,2,11,DAC,0.4583130729750128,0.2061893558954136,0.1915374100208282,0.9584312,0.074402526,0.59942055,control,0.2177516620883335,0.0,0.0,0.0,0.012728455383201442,0.925597474,0.46916296469160074
1,A549,28,5,2,12,DAC,0.2679044959082016,0.0157807788286024,0.2227160930633545,1.1272528,0.6657576,0.38303167,control,0.235782231565364,0.0,0.0,0.0,0.0,0.33424240000000005,0.16712120000000003
2,A549,28,5,2,12,DAC,0.2460824481016204,-0.0060412689779787,0.1629454344511032,0.52608013,0.83266366,0.48078364,control,0.1533851855735576,0.0,0.0,0.0,0.4540296638834532,0.16733633999999997,0.3106830019417266
1,A549,28,5,2,13,DAC,0.658024376408556,0.4059006593289568,0.2226839214563369,1.1512023,0.48080128,0.6574409,control,0.2381108854806631,0.0,0.0,0.0,0.0,0.51919872,0.25959936
1,A549,28,5,2,14,DAC,0.8021625665391229,0.5500388494595236,0.3441464304924011,3.505981,0.3166305,-0.14955002,control,0.3462015891483843,0.0,0.0,0.4921482100422951,0.4679335151435998,0.6833695,0.5756515075717998
2,A549,28,5,2,14,DAC,0.816231319989139,0.5641076029095398,,7.9931355,0.15619364,-0.1746738,,,,,,,0.84380636,
1,A549,28,5,2,15,DAC,0.8822079891963985,0.6300842721167994,0.0797843858599662,0.4108778,0.45766914,0.58380926,DAC,0.0461402070691207,0.0834380493137113,0.0834380493137113,0.31928773984257547,1.0,0.5423308600000001,0.77116543
2,A549,28,5,2,15,DAC,0.945868517352944,0.6937448002733446,0.1481497883796692,0.89521474,-0.2632647,0.32029426,DAC,0.100529630646701,0.1096437229051411,0.1096437229051411,0.006004089552042879,0.8164111632003959,0.7367353,0.7765732316001979
1,A549,28,5,2,16,DAC,0.3767843239683542,0.124660606888755,0.1410445421934127,1.1168196,0.81158876,0.1780482,DAC,0.1254151175917818,0.1093361976040624,0.1093361976040624,0.03856379635405864,0.6457944686472865,0.18841123999999998,0.41710285432364325
2,A549,28,5,2,16,DAC,0.3022835925934519,0.0501598755138527,0.1571631878614425,1.513145,0.34729692,0.471504,DAC,0.1699211386587562,0.0979783319939852,0.0979783319939852,0.0,0.34065797608372667,0.65270308,0.49668052804186336
1,A549,28,5,2,17,DAC,0.3794921414855485,0.1273684244059493,,0.283545,0.70399475,0.5437015,,,,,,,0.29600525,
1,A549,28,5,2,18,DAC,0.3797983876823951,0.1276746706027959,0.1428978145122528,1.5373247,-0.3302607,0.44561678,DAC,0.1726364383533837,0.0969502307557274,0.0969502307557274,0.03007119782278691,0.3220416854063209,0.6697393,0.49589049270316043
2,A549,28,5,2,18,DAC,0.3122869088294167,0.0601631917498175,0.1365332007408142,1.001748,0.094315365,0.37612393,DAC,0.1124929605616988,0.1101751047908576,0.1101751047908576,0.05923696532384164,0.7343897098750176,0.905684635,0.8200371724375088
1,A549,28,5,2,19,DAC,0.1333107241517027,-0.1188129929278964,0.1567121893167495,2.4249775,0.6149727,0.9691514,DAC,0.2723168883496717,0.0427181403413788,0.0427181403413788,0.0,0.0,0.38502729999999996,0.19251364999999998
2,A549,28,5,2,19,DAC,0.2799199210412147,0.0277962039616155,0.1435761451721191,1.9152287,0.34378928,0.33843488,DAC,0.2150737976174983,0.0772450818240641,0.0772450818240641,0.02696275557869048,0.0310880874644786,0.65621072,0.3436494037322393
1,A549,28,5,2,2,DAC,0.6126291727535638,0.3605054556739646,0.1042436882853508,0.42168245,0.71689016,0.44966504,control,0.1319750329825286,0.0,0.0,0.207203275113853,0.6008192152802421,0.28310983999999995,0.441964527640121
1,A549,28,5,2,20,DAC,0.4475756457720353,0.1954519286924361,0.1357136517763137,1.0548235,0.07505898,0.40288576,DAC,0.1184531622574271,0.1099563191844341,0.1099563191844341,0.06299253878245689,0.6935261368840934,0.92494102,0.8092335784420467
2,A549,28,5,2,20,DAC,0.4248452932691196,0.1727215761895204,0.1769760102033615,1.326435,0.6775961,0.5601128,DAC,0.1489542281518475,0.1047360969044391,0.1047360969044391,0.0,0.4844086277617222,0.32240389999999997,0.4034062638808611
3,A549,28,5,2,20,DAC,0.3815534989276702,0.129429781848071,0.1272558271884918,0.9102697,0.45779127,0.43536252,DAC,0.102220252461307,0.109803372117755,0.109803372117755,0.10175042014834546,0.8048201380223864,0.54220873,0.6735144340111932
1,A549,28,5,2,3,DAC,0.9267131323542056,0.6745894152746064,,5.712705,0.2691638,0.08909568,,,,,,,0.7308361999999999,
2,A549,28,5,2,3,DAC,0.8371643488302111,0.5850406317506118,,5.3694167,0.70360327,-0.009853688,,,,,,,0.29639673,
3,A549,28,5,2,3,DAC,0.8993375427799091,0.6472138257003099,0.1583254337310791,0.70455843,-0.018875852,0.22203699,control,0.1839136559823929,0.0,0.0,0.0,0.24472426743239045,0.981124148,0.6129242077161953
4,A549,28,5,2,3,DAC,0.888989215024815,0.6368654979452157,0.1358963996171951,0.5978739,0.10893575,0.44686127,control,0.1664853206494527,0.0,0.0,0.062155098958160696,0.3642141923284436,0.89106425,0.6276392211642218
1,A549,28,5,2,4,DAC,0.5148356416413725,0.2627119245617733,0.1532007306814193,0.79568917,-0.1416043,0.7405943,control,0.1971610573781393,0.0,0.0,0.0,0.1538991273598437,0.8583957,0.5061474136799219
2,A549,28,5,2,4,DAC,0.7415922089533027,0.4894684918737035,0.2755052149295807,2.143851,0.027600057,0.4383533,control,0.3034181096413801,0.0,0.0,0.1776006497364493,0.1746068918360068,0.972399943,0.5735034174180034
1,A549,28,5,2,5,DAC,0.7119900927593923,0.4598663756797931,0.1752995997667312,1.7118163,0.40869474,0.48329902,DAC,0.1922312632765657,0.0886389898215137,0.0886389898215137,0.0,0.18769815151774413,0.5913052599999999,0.38950170575887205
2,A549,28,5,2,5,DAC,0.8463180437872696,0.5941943267076704,0.0954736173152923,0.8157999,0.59362775,0.47663224,DAC,0.0916116088846075,0.108293786114004,0.108293786114004,0.2473920218416313,0.8775537640407569,0.40637225,0.6419630070203785
1,A549,28,5,2,6,DAC,0.2794533058402801,0.0273295887606809,0.1149163693189621,0.3614831,0.2785841,0.59514874,control,0.1181366355278093,0.0,0.0,0.15829584022187443,0.6956962669870034,0.7214159,0.7085560834935016
2,A549,28,5,2,6,DAC,0.2336854011301663,-0.0184383159494328,0.1193355768918991,0.48878938,0.8690145,0.50420004,control,0.1460822179855316,0.0,0.0,0.1380448736684008,0.5040993367432722,0.13098549999999998,0.3175424183716361
3,A549,28,5,2,6,DAC,0.1685340825195925,-0.0835896345600066,0.0679041072726249,0.528131,-0.01974149,0.74538046,DAC,0.0593073505057265,0.0944691343611335,0.0944691343611335,0.37372897627408896,1.0,0.98025851,0.990129255
1,A549,28,5,2,7,DAC,0.5734770356421277,0.3213533185625285,0.1809033751487732,1.5018959,0.1718807,0.21023777,DAC,0.1686579022333732,0.0984455193289525,0.0984455193289525,0.0,0.3493188161875822,0.8281193,0.5887190580937911
2,A549,28,5,2,7,DAC,0.5418983587843224,0.2897746417047231,,3.2992768,0.5619497,0.746666,,,,,,,0.4380503,
3,A549,28,5,2,7,DAC,0.3539332611721171,0.1018095440925179,0.1227816790342331,1.2186602,0.5082837,0.32596624,DAC,0.1368514774341571,0.1075482347297902,0.1075482347297902,0.12225315126739136,0.5673859601727639,0.4917163,0.529551130086382
4,A549,28,5,2,7,DAC,0.5240344350255031,0.2719107179459039,0.1102664172649383,1.2330664,0.8608258,0.47474515,DAC,0.1384692456637357,0.1072242626817933,0.1072242626817933,0.17960419063699407,0.5562944244317565,0.13917420000000003,0.34773431221587825
1,A549,28,5,2,8,DAC,0.6138976088233971,0.3617738917437978,0.2409892976284027,3.063045,0.56184554,0.10054949,control,0.3354367177509424,0.0,0.0,0.019431866013969356,0.3941287799108058,0.43815446,0.4161416199554029
2,A549,28,5,2,8,DAC,0.5920532205537519,0.3399295034741527,,0.20536971,0.4006393,-0.56012285,,,,,,,0.5993607000000001,
3,A549,28,5,2,8,DAC,0.3232116667064743,0.0710879496268751,0.1466812789440155,0.85838693,0.3114586,0.011652447,DAC,0.0963939903680044,0.1091268224832399,0.1091268224832399,0.012733516711563909,0.8447654114322709,0.6885414000000001,0.7666534057161355
4,A549,28,5,2,8,DAC,0.5366610738265042,0.284537356746905,0.1424649655818939,0.68393975,0.17888644,0.38422742,control,0.1807174756711342,0.0,0.0,0.03205472293825906,0.266637510323966,0.82111356,0.5438755351619831
5,A549,28,5,2,8,DAC,0.5524093353827573,0.3002856183031581,0.1134915575385093,0.8397283,0.67363197,0.13077033,DAC,0.0942986884270718,0.1087938443492313,0.1087938443492313,0.16482502339209798,0.8591309527633119,0.32636803000000003,0.592749491381656
6,A549,28,5,2,8,DAC,0.311135911752598,0.0590121946729988,,0.26395717,0.6137732,0.5791592,,,,,,,0.3862268,
1,A549,28,5,2,9,DAC,0.558286280548528,0.3061625634689288,0.1293172389268875,0.5595652,0.4352727,0.4823317,control,0.1596452556181387,0.0,0.0,0.09230402518314004,0.41111017185042753,0.5647272999999999,0.48791873592521373
2,A549,28,5,2,9,DAC,0.5018325734209033,0.249708856341304,,4.8381953,0.8706595,0.32955682,,,,,,,0.12934049999999997,
1,A549,0,1,2,0,control,0.2132825893367876,-0.0388411277428115,0.0719919204711914,0.5512294769287109,-0.106580667,0.16744292,control,0.1581121483288017,0.0,0.0,0.3549966205304999,0.4216212660749134,0.893419333,0.6575202995374567
2,A549,0,1,2,0,control,0.3224501594901946,0.0703264424105954,0.0871041193604469,0.2996302545070648,0.0214366763830184,0.3641222,control,0.1025828369291581,0.0,0.0,0.2857451474542164,0.8023342327420286,0.9785633236169816,0.8904487781795052
1,A549,0,1,2,1,control,0.3581533914929866,0.1060296744133874,0.1803322732448578,0.900122880935669,0.8659645915031433,0.8409896,control,0.2107797906580868,0.0,0.0,0.0,0.06052810908911712,0.1340354084968567,0.09728175879298691
