ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,15,4,4,0,DAC,0.29613795630607787,0.04401423922647868
1,A549,15,4,4,1,DAC,0.8780655551547788,0.6259418380751796
2,A549,15,4,4,1,DAC,0.8335005091675194,0.5813767920879203
1,A549,15,4,4,10,DAC,0.4059714480919042,0.15384773101230503
2,A549,15,4,4,10,DAC,0.41521579151965965,0.16309207444006046
1,A549,15,4,4,11,DAC,0.7781247382382059,0.5260010211586068
1,A549,15,4,4,12,DAC,0.8702074938021814,0.6180837767225822
2,A549,15,4,4,12,DAC,0.8464883276316331,0.5943646105520339
1,A549,15,4,4,13,DAC,0.6603308052865906,0.4082070882069914
1,A549,15,4,4,14,DAC,0.4470809586427437,0.19495724156314453
1,A549,15,4,4,15,DAC,0.6466690179637544,0.39454530088415524
2,A549,15,4,4,15,DAC,0.5607423474291777,0.30861863034957854
1,A549,15,4,4,16,DAC,0.6640992119387469,0.4119754948591477
2,A549,15,4,4,16,DAC,0.6290341681787517,0.3769104510991525
1,A549,15,4,4,17,DAC,0.868158104449859,0.6160343873702598
2,A549,15,4,4,17,DAC,0.9037309272556723,0.651607210176073
3,A549,15,4,4,17,DAC,0.8577728869754908,0.6056491698958917
4,A549,15,4,4,17,DAC,0.8116021519677072,0.5594784348881081
1,A549,15,4,4,18,DAC,0.7585561307355194,0.5064324136559202
2,A549,15,4,4,18,DAC,0.7987031035756583,0.5465793864960591
1,A549,15,4,4,2,DAC,0.4762687724415705,0.22414505536197132
1,A549,15,4,4,3,DAC,0.4922575096543379,0.2401337925747387
2,A549,15,4,4,3,DAC,0.46188187177721085,0.20975815469761167
3,A549,15,4,4,3,DAC,0.5473248195982352,0.295201102518636
4,A549,15,4,4,3,DAC,0.4683904598601444,0.2162667427805452
1,A549,15,4,4,4,DAC,0.30264231077371984,0.05051859369412065
2,A549,15,4,4,4,DAC,0.5680700681510558,0.3159463510714566
3,A549,15,4,4,4,DAC,0.49365699440779914,0.24153327732819996
4,A549,15,4,4,4,DAC,0.3462012593567315,0.09407754227713233
5,A549,15,4,4,4,DAC,0.5325824129645863,0.2804586958849871
6,A549,15,4,4,4,DAC,0.48570439252268616,0.23358067544308697
1,A549,15,4,4,5,DAC,0.8012257879796687,0.5491020709000696
2,A549,15,4,4,5,DAC,0.691183376092012,0.4390596590124128
1,A549,15,4,4,6,DAC,0.7262764609826263,0.47415274390302714
2,A549,15,4,4,6,DAC,0.5474176253960502,0.295293908316451
1,A549,15,4,4,7,DAC,0.49866780673280475,0.24654408965320557
1,A549,15,4,4,8,DAC,0.3796808761598195,0.1275571590802203
2,A549,15,4,4,8,DAC,0.19954304646465756,-0.05258067061494162
3,A549,15,4,4,8,DAC,0.32041020405326737,0.06828648697366818
1,A549,15,4,4,9,DAC,0.6600271796110563,0.4079034625314571
2,A549,15,4,4,9,DAC,0.6234465677018118,0.37132285062221265
3,A549,15,4,4,9,DAC,0.34664534514514206,0.09452162806554287
4,A549,15,4,4,9,DAC,0.6431992293709085,0.39107551229130927
5,A549,15,4,4,9,DAC,0.47472118721458,0.22259747013498082
6,A549,15,4,4,9,DAC,0.5613861369852515,0.30926241990565234
1,A549,0,1,2,0,control,0.21328258933678762,-0.038841127742811565
2,A549,0,1,2,0,control,0.3224501594901946,0.07032644241059544
1,A549,0,1,2,1,control,0.35815339149298664,0.10602967441338745
2,A549,0,1,2,1,control,0.4122127000860513,0.16008898300645213
1,A549,0,1,2,10,control,0.2979681592868956,0.04584444220729639
2,A549,0,1,2,10,control,0.4730129585195216,0.2208892414399224
3,A549,0,1,2,10,control,0.3444304132894856,0.09230669620988641
4,A549,0,1,2,10,control,0.3591477589019386,0.10702404182233943
5,A549,0,1,2,10,control,0.3743507060653267,0.12222698898572754
6,A549,0,1,2,10,control,0.28805184592350563,0.03592812884390645
1,A549,0,1,2,11,control,0.586349940638139,0.33422622355853976
1,A549,0,1,2,12,control,0.24633690269973113,-0.005786814379868055
2,A549,0,1,2,12,control,0.1841307899191371,-0.0679929271604621
3,A549,0,1,2,12,control,0.23182058071638295,-0.020303136363216234
1,A549,0,1,2,13,control,0.31232038170149934,0.06019666462190015
2,A549,0,1,2,13,control,0.2651990357433476,0.013075318663748392
3,A549,0,1,2,13,control,0.49842258825799296,0.24629887117839377
4,A549,0,1,2,13,control,0.22466416843874476,-0.027459548640854425
5,A549,0,1,2,13,control,0.3430038992979599,0.0908801822183607
6,A549,0,1,2,13,control,0.26228813288966185,0.010164415810062666
1,A549,0,1,2,14,control,0.37204489321248696,0.11992117613288777
2,A549,0,1,2,14,control,0.29383321910710836,0.04170950202750917
3,A549,0,1,2,14,control,0.387909730535717,0.1357860134561178
4,A549,0,1,2,14,control,0.32360433405817757,0.07148061697857838
5,A549,0,1,2,14,control,0.36632816467541074,0.11420444759581155
1,A549,0,1,2,15,control,0.2409002776677333,-0.011223439411865876
2,A549,0,1,2,15,control,0.39263777832850166,0.14051406124890248
3,A549,0,1,2,15,control,0.2910225407004591,0.03889882362085989
4,A549,0,1,2,15,control,0.2352832942199954,-0.0168404228596038
5,A549,0,1,2,15,control,0.17467753056674123,-0.07744618651285795
1,A549,0,1,2,16,control,0.20421153768066355,-0.047912179398935634
2,A549,0,1,2,16,control,0.20756032296687277,-0.04456339411272642
1,A549,0,1,2,17,control,0.45194399378687355,0.19982027670727437
2,A549,0,1,2,17,control,0.3788810738985363,0.12675735681893713
3,A549,0,1,2,17,control,0.24844616284187532,-0.003677554237723868
4,A549,0,1,2,17,control,0.20389158991547401,-0.04823212716412517
1,A549,0,1,2,18,control,0.2301518402440382,-0.021971876835560983
1,A549,0,1,2,19,control,0.4613402336157927,0.2092165165361935
2,A549,0,1,2,19,control,0.5115508880349122,0.25942717095531304
3,A549,0,1,2,19,control,0.3183723132936854,0.06624859621408624
4,A549,0,1,2,19,control,0.36408100018305517,0.11195728310345598
1,A549,0,1,2,2,control,0.2942059655156151,0.042082248436015934
2,A549,0,1,2,2,control,0.29739449196289275,0.04527077488329356
3,A549,0,1,2,2,control,0.20300272024251448,-0.04912099683708471
4,A549,0,1,2,2,control,0.19615798523495492,-0.05596573184464426
5,A549,0,1,2,2,control,0.24011942343319714,-0.012004293646402042
1,A549,0,1,2,3,control,0.32792920931028907,0.07580549223068989
2,A549,0,1,2,3,control,0.3689417236747069,0.11681800659510772
3,A549,0,1,2,3,control,0.31073021718926463,0.05860650010966545
4,A549,0,1,2,3,control,0.2733814991846974,0.02125778210509821
1,A549,0,1,2,4,control,0.22578392522976315,-0.026339791849836036
2,A549,0,1,2,4,control,0.39430176687622154,0.14217804979662235
3,A549,0,1,2,4,control,0.19905136324167488,-0.0530723538379243
1,A549,0,1,2,5,control,0.40100355934925547,0.14887984226965628
2,A549,0,1,2,5,control,0.4414425528375947,0.18931883575799552
1,A549,0,1,2,6,control,0.2421217595018133,-0.01000195757778588
1,A549,0,1,2,7,control,0.5656874064023103,0.3135636893227111
2,A549,0,1,2,7,control,0.40224738243425273,0.15012366535465355
1,A549,0,1,2,8,control,0.33922233016989967,0.08709861309030048
2,A549,0,1,2,8,control,0.16986867635476216,-0.08225504072483703
1,A549,0,1,2,9,control,0.28825879169941826,0.036135074619819074
