ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,32,1,2,0,AFA,0.1629517896062663,-0.0796865225355244,,,,0.05423024,,,,,,,,
2,A549,32,1,2,0,AFA,0.4883252780846708,0.24568696594288,0.1145717948675155,0.7650565505027771,0.0354038104414939,0.4103616,AFA,0.0664189845795604,0.1264417287394611,0.1264417287394611,0.15987484857942688,1.0,0.9645961895585061,0.982298094779253
3,A549,32,1,2,0,AFA,0.276604281317949,0.0339659691761583,0.1337591707706451,0.9112529754638672,0.2064227759838104,0.3547217,AFA,0.0791111418961616,0.133032314238039,0.133032314238039,0.07194892492679208,0.9632578679084325,0.7935772240161896,0.878417545962311
4,A549,32,1,2,0,AFA,0.6978851931670987,0.4552468810253079,0.0807821825146675,0.3922125399112701,0.090047039091587,0.004827589,control,0.1253501300052262,0.0,0.0,0.31471534844705323,0.646240028231054,0.909952960908413,0.7780964945697335
5,A549,32,1,2,0,AFA,0.2879156347852608,0.04527732264347,,,,0.09860223,,,,,,,,
1,A549,32,1,2,1,AFA,0.2299991293079895,-0.0126391828338012,0.1662202775478363,2.0327110290527344,0.4768304526805877,0.34132493,AFA,0.1764714025448579,0.1217600665787074,0.1217600665787074,0.0,0.2957488941291059,0.5231695473194122,0.40945922072425905
2,A549,32,1,2,1,AFA,0.669068736246776,0.4264304241049852,0.1511803567409515,1.892960548400879,0.8183233141899109,0.4019908,AFA,0.164338854939976,0.1268051867803497,0.1268051867803497,0.0,0.3789305161492602,0.1816766858100891,0.28030360097967466
3,A549,32,1,2,1,AFA,0.2027390260848206,-0.03989928605697,0.193861722946167,1.9995774030685425,0.1559271663427353,0.1643668,AFA,0.1735948808134085,0.1230159477022928,0.1230159477022928,0.0,0.3154705347268239,0.8440728336572647,0.5797716841920443
4,A549,32,1,2,1,AFA,0.3232203931651282,0.0805820810233375,0.1041243746876716,1.2490822076797483,0.1876604259014129,0.4512537,AFA,0.1084400517007054,0.1386723531964347,0.1386723531964347,0.20775002826724026,0.7621767455361539,0.812339574098587,0.7872581598173705
5,A549,32,1,2,1,AFA,0.3138466859344236,0.0712083737926329,0.1281694322824478,1.3175839185714722,0.5003324151039124,0.4386998,AFA,0.1143870814678526,0.1385728132563304,0.1385728132563304,0.09756383558642363,0.7214034802382377,0.49966758489608765,0.6105355325671626
1,A549,32,1,2,10,AFA,0.0852632872843323,-0.1573750248574584,0.2176929116249084,2.0825815200805664,0.2733375430107116,0.1417805,AFA,0.180800948344284,0.1198041173079668,0.1198041173079668,0.0,0.2660652156523864,0.7266624569892883,0.49636383632083736
