ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,62,5,6,0,GEF,0.4650157251499342,0.06330998105123065
2,A549,62,5,6,0,GEF,0.6496311208231745,0.24792537672447096
3,A549,62,5,6,0,GEF,0.5256250589178073,0.12391931481910373
4,A549,62,5,6,0,GEF,0.5623610951016497,0.1606553510029461
5,A549,62,5,6,0,GEF,0.5290765973380636,0.12737085323935998
6,A549,62,5,6,0,GEF,0.5554201947244625,0.1537144506257589
1,A549,62,5,6,1,GEF,0.4134015069856346,0.011695762886931027
2,A549,62,5,6,1,GEF,0.5074822544138853,0.1057765103151817
3,A549,62,5,6,1,GEF,0.3816878737807925,-0.02001787031791108
4,A549,62,5,6,1,GEF,0.49229645046984577,0.0905907063711422
1,A549,62,5,6,10,GEF,0.6094456077141027,0.20773986361539915
2,A549,62,5,6,10,GEF,0.6331590565011439,0.23145331240244033
3,A549,62,5,6,10,GEF,0.5833040105057694,0.18159826640706583
1,A549,62,5,6,11,GEF,0.4219681286187706,0.02026238452006701
2,A549,62,5,6,11,GEF,0.5554542840862525,0.15374853998754895
3,A549,62,5,6,11,GEF,0.5790462244465268,0.17734048034782318
4,A549,62,5,6,11,GEF,0.3329038207222752,-0.06880192337642838
5,A549,62,5,6,11,GEF,0.4957784912942337,0.0940727471955301
6,A549,62,5,6,11,GEF,0.5030117081304666,0.10130596403176301
1,A549,62,5,6,12,GEF,0.46353032720762927,0.06182458310892569
2,A549,62,5,6,12,GEF,0.5892312171718352,0.18752547307313167
3,A549,62,5,6,12,GEF,0.45525291875361973,0.05354717465491615
4,A549,62,5,6,12,GEF,0.4023222174446593,0.0006164733459557148
1,A549,62,5,6,13,GEF,0.49627683982492565,0.09457109572622208
2,A549,62,5,6,13,GEF,0.5375848388102973,0.1358790947115937
1,A549,62,5,6,14,GEF,0.4781099259766465,0.0764041818779429
2,A549,62,5,6,14,GEF,0.44946467798992085,0.04775893389121727
3,A549,62,5,6,14,GEF,0.348284301117775,-0.0534214429809286
4,A549,62,5,6,14,GEF,0.4716385655668093,0.0699328214681057
5,A549,62,5,6,14,GEF,0.3949521274778924,-0.006753616620811198
1,A549,62,5,6,15,GEF,0.5518475618943525,0.1501418177956489
2,A549,62,5,6,15,GEF,0.5335604515105912,0.1318547074118876
3,A549,62,5,6,15,GEF,0.4932663862475562,0.09156064214885262
4,A549,62,5,6,15,GEF,0.7395604066970527,0.3378546625983491
5,A549,62,5,6,15,GEF,0.5355680241274406,0.13386228002873707
6,A549,62,5,6,15,GEF,0.47551396365248555,0.07380821955378197
7,A549,62,5,6,15,GEF,0.7561520997299762,0.35444635563127264
1,A549,62,5,6,16,GEF,0.5263326591890849,0.12462691509038132
2,A549,62,5,6,16,GEF,0.4916506220089819,0.08994487791027833
3,A549,62,5,6,16,GEF,0.5125938025614125,0.11088805846270894
4,A549,62,5,6,16,GEF,0.4478699549729871,0.04616421087428352
5,A549,62,5,6,16,GEF,0.5918358884160125,0.19013014431730896
6,A549,62,5,6,16,GEF,0.49613066456398736,0.09442492046528378
1,A549,62,5,6,17,GEF,0.4010804712315242,-0.0006252728671793939
2,A549,62,5,6,17,GEF,0.7001492533294142,0.29844350923071067
3,A549,62,5,6,17,GEF,0.5188005668808204,0.11709482278211686
4,A549,62,5,6,17,GEF,0.6737535669971029,0.2720478228983993
5,A549,62,5,6,17,GEF,0.5873194277784851,0.18561368367978154
1,A549,62,5,6,18,GEF,0.4622578862827023,0.060552142183998736
2,A549,62,5,6,18,GEF,0.45122534221885136,0.04951959812014778
1,A549,62,5,6,19,GEF,0.6797101096757141,0.2780043655770105
2,A549,62,5,6,19,GEF,0.731991803401535,0.33028605930283145
3,A549,62,5,6,19,GEF,0.8199300958812019,0.41822435178249834
1,A549,62,5,6,2,GEF,0.5854175186955851,0.18371177459688154
2,A549,62,5,6,2,GEF,0.49833339932134163,0.09662765522263805
3,A549,62,5,6,2,GEF,0.5095458103494124,0.1078400662507088
1,A549,62,5,6,3,GEF,0.37804503455801963,-0.023660709540683944
2,A549,62,5,6,3,GEF,0.4143646889058868,0.012658944807183214
3,A549,62,5,6,3,GEF,0.3649784269196388,-0.0367273171790648
4,A549,62,5,6,3,GEF,0.4496348878916092,0.04792914379290564
5,A549,62,5,6,3,GEF,0.5424802376289909,0.14077449353028731
1,A549,62,5,6,4,GEF,0.587599004028166,0.18589325992946243
2,A549,62,5,6,4,GEF,0.5698000604655507,0.16809431636684707
3,A549,62,5,6,4,GEF,0.5192644399459345,0.11755869584723094
1,A549,62,5,6,6,GEF,0.3672394265582812,-0.0344663175404224
2,A549,62,5,6,6,GEF,0.5391199908877478,0.13741424678904418
3,A549,62,5,6,6,GEF,0.5051496324769121,0.10344388837820856
4,A549,62,5,6,6,GEF,0.44987777569653087,0.04817203159782729
5,A549,62,5,6,6,GEF,0.4153812147211828,0.013675470622479202
1,A549,62,5,6,7,GEF,0.32129728606618047,-0.08040845803252311
2,A549,62,5,6,7,GEF,0.6173703997377115,0.21566465563900789
3,A549,62,5,6,7,GEF,0.46151696042585766,0.05981121632715408
4,A549,62,5,6,7,GEF,0.4620085743559333,0.06030283025722971
5,A549,62,5,6,7,GEF,0.4774193556146777,0.07571361151597411
1,A549,62,5,6,8,GEF,0.3010266426042979,-0.10067910149440568
2,A549,62,5,6,8,GEF,0.515437692049318,0.11373194795061442
3,A549,62,5,6,8,GEF,0.4296625136175801,0.027956769518876545
4,A549,62,5,6,8,GEF,0.48830846947613926,0.08660272537743569
5,A549,62,5,6,8,GEF,0.45913827509168303,0.05743253099297946
1,A549,62,5,6,9,GEF,0.3565472443518424,-0.0451584997468612
2,A549,62,5,6,9,GEF,0.3306021654929935,-0.0711035786057101
3,A549,62,5,6,9,GEF,0.5476433494429327,0.14593760534422912
1,A549,0,1,2,0,control,0.37256587334476615,-0.029139870753937425
2,A549,0,1,2,0,control,0.38758621638380036,-0.014119527714903213
1,A549,0,1,2,1,control,0.7904327406940821,0.3887269965953785
2,A549,0,1,2,1,control,0.6068928751326799,0.2051871310339763
1,A549,0,1,2,10,control,0.32880117579455137,-0.0729045683041522
2,A549,0,1,2,10,control,0.5552076595970378,0.1535019154983342
3,A549,0,1,2,10,control,0.37698821711789376,-0.024717526980809812
4,A549,0,1,2,10,control,0.3207270451376968,-0.08097869896100679
5,A549,0,1,2,10,control,0.584507333493895,0.18280158939519148
