Key,Hour,Treatment,Concentration,BestModel,R2,RMSE,N,Edmax_nl,Kd_nl,R2_nl,RMSE_nl,a_l,R2_l,RMSE_l
2.0h-OSI-9.0um,2.0,OSI,9.0,linear,0.68962288897833,0.06729172986453912,2679,0.3408555149946349,0.9999999999999999,0.34498536455291906,0.09775575888935405,0.06653632916403383,0.68962288897833,0.06729172986453912
2.0h-OSI-16.0um,2.0,OSI,16.0,linear,0.7166026773909548,0.04281312732698775,1571,0.26639863905066813,0.9999999999999999,0.48699500173109334,0.05760230723524938,0.07122736131355203,0.7166026773909548,0.04281312732698775
2.0h-VIN-20.0um,2.0,VIN,20.0,nonlinear,0.3394700600201731,0.07762851445076828,2798,0.38455550642973985,0.9999999999999999,0.3394700600201731,0.07762851445076828,0.07338335840444705,0.029069592754067508,0.09411721608914317
2.0h-VIN-130.0um,2.0,VIN,130.0,nonlinear,0.496431184649639,0.08592536010800188,2382,0.39642324883332464,0.9999999999999999,0.496431184649639,0.08592536010800188,0.07019735969652653,0.4877625769555727,0.0866617788179896
2.0h-control-0.0um,2.0,control,0.0,nonlinear,0.5467423736061007,0.054494810453265395,1425,0.3982951145131579,0.9999999999999999,0.5467423736061007,0.054494810453265395,0.08637208449630251,-0.7102169294634184,0.10585422256239296
4.0h-OSI-9.0um,4.0,OSI,9.0,linear,0.647142530939885,0.0798371999634241,2553,0.3728637091441561,0.9999999999999999,0.4904313418852839,0.09594160815283252,0.06161603796035105,0.647142530939885,0.0798371999634241
4.0h-OSI-16.0um,4.0,OSI,16.0,linear,0.6411336752002534,0.06929020955797212,3052,0.3114088451614211,0.9999999999999999,0.3649321634841244,0.09217551660857524,0.059951696788343604,0.6411336752002534,0.06929020955797212
4.0h-VIN-20.0um,4.0,VIN,20.0,nonlinear,0.4423405255650332,0.07899986309485967,2738,0.39879147458674996,0.9999999999999998,0.4423405255650332,0.07899986309485967,0.07170162360071745,0.016636804703266894,0.10490562390528675
4.0h-VIN-130.0um,4.0,VIN,130.0,linear,0.4298700205735648,0.096256920764155,2172,0.43042370397494745,0.9999999999999999,0.40794391109974604,0.09809038776747843,0.08724143957864297,0.4298700205735648,0.096256920764155
6.0h-OSI-9.0um,6.0,OSI,9.0,linear,0.6549532019169918,0.059367896473125924,1724,0.3021996084781282,0.9999999999999999,0.5473205989680636,0.0679998612745481,0.05977136291713518,0.6549532019169918,0.059367896473125924
6.0h-OSI-16.0um,6.0,OSI,16.0,linear,0.5273577819829021,0.07863230554633568,3317,0.3155122404083385,0.9999999999999999,0.357448082115454,0.09168301061553057,0.05591866357178568,0.5273577819829021,0.07863230554633568
6.0h-VIN-20.0um,6.0,VIN,20.0,nonlinear,0.42931824825485765,0.07483838917164755,2327,0.41348487173952175,0.9999999999999984,0.42931824825485765,0.07483838917164755,0.07734832526873026,0.06639941326964505,0.09572116954408867
6.0h-VIN-130.0um,6.0,VIN,130.0,nonlinear,0.4312121060097345,0.08025524556109506,2599,0.4109161217383655,0.9999999999999999,0.4312121060097345,0.08025524556109506,0.07648074831219104,0.19602957983502833,0.09541535949889578
