ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,0,20,4,VIN,0.675788099718078,True,0.3657718323142763,0.2909117043018341,3.282639265060425,0.4782478511333465,0.5469716,VIN,0.3149668492673469,0.0260850877826052,0.0260850877826052,0.14976501422038346,0.1700990129997181,0.5217521488666534,0.34592558093318576
2,0,20,4,VIN,0.6655281824975835,False,0.3555119150937819,0.2539158165454864,2.826990127563477,0.3231032490730285,0.2846352,VIN,0.3035429360123854,0.0251389762131822,0.0251389762131822,0.0,0.09383481776800848,0.6768967509269714,0.38536578434748997
3,0,20,4,VIN,0.74180850592045,False,0.4317922385166484,0.1268485337495803,0.8491725325584412,0.8149247169494629,0.7117122,VIN,0.1886999063753575,0.015627846656943,0.015627846656943,0.3115558544875543,0.2728386537270115,0.1850752830505371,0.2289569683887743
4,0,20,4,VIN,0.6829499859943873,False,0.3729337185905856,0.1043482795357704,0.6770939230918884,0.7917109727859497,0.551392,VIN,0.1658993602556209,0.0137395392099589,0.0137395392099589,0.4296807111531501,0.42505140796076646,0.2082890272140503,0.3166702175874084
5,0,20,4,VIN,0.6952472661038965,False,0.3852309987000949,0.0917721167206764,0.6358456611633301,0.8656987547874451,0.74889624,VIN,0.1597212006685239,0.0132278731868861,0.0132278731868861,0.49570473985165203,0.46629580105158314,0.13430124521255493,0.30029852313206906
6,0,20,4,VIN,0.7283063529923848,True,0.4182900855885831,0.2331618219614029,1.91119647026062,0.8403435945510864,0.86075467,VIN,0.2697658675607149,0.0223416094501391,0.0223416094501391,0.0,0.0,0.15965640544891357,0.07982820272445679
1,1,20,4,VIN,0.7466398019278296,False,0.436623534524028,0.2007223516702652,1.451851487159729,0.8488836288452148,0.7450198,VIN,0.2433219081857418,0.0201515599156551,0.0201515599156551,0.0,0.0,0.15111637115478516,0.07555818557739258
2,1,20,4,VIN,0.6796365798270696,False,0.369620312423268,0.0589753463864326,0.4206486344337463,0.7238979339599609,0.6079083,VIN,0.1216706941368025,0.0100765866138346,0.0100765866138346,0.6678856298101847,0.7203148218578143,0.27610206604003906,0.49820844394892666
3,1,20,4,VIN,0.7361617651322764,False,0.4261454977284747,0.2062050253152847,1.488014817237854,0.7564005851745605,0.7259304,VIN,0.2457578924177874,0.0203533045204533,0.0203533045204533,0.0,0.0,0.24359941482543945,0.12179970741271973
4,1,20,4,VIN,0.7490397238787585,True,0.4390234564749569,0.2044195532798767,1.9079291820526123,0.5534664392471313,0.5876482,VIN,0.2696072740970645,0.0223284749744612,0.0223284749744612,0.0,0.0,0.44653356075286865,0.22326678037643433
