ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,16,2,1,OSI,0.9143691503151301,0.5918520180286568
2,A549,16,2,1,OSI,0.9763513305581899,0.6538341982717166
1,A549,16,2,10,OSI,0.9599847324294292,0.637467600142956
2,A549,16,2,10,OSI,0.701663788766288,0.37914665647981477
1,A549,16,2,11,OSI,0.7258823236752427,0.40336519138876953
2,A549,16,2,11,OSI,0.45392020233779046,0.13140307005131724
3,A549,16,2,11,OSI,0.6072346008112265,0.28471746852475327
4,A549,16,2,11,OSI,0.34078166877448274,0.01826453648800952
1,A549,16,2,12,OSI,0.7754011697944512,0.45288403750797795
2,A549,16,2,12,OSI,0.7100598769786094,0.3875427446921362
1,A549,16,2,13,OSI,0.8617045237025376,0.5391873914160643
2,A549,16,2,13,OSI,0.8365932422611031,0.5140761099746298
3,A549,16,2,13,OSI,0.861318868279166,0.5388017359926929
1,A549,16,2,14,OSI,0.7569662964043842,0.43444916411791096
1,A549,16,2,15,OSI,0.825460260670295,0.5029431283838217
2,A549,16,2,15,OSI,0.6858677159122337,0.3633505836257605
3,A549,16,2,15,OSI,0.5889755515650422,0.266458419278569
1,A549,16,2,16,OSI,0.6098645698713833,0.28734743758491005
2,A549,16,2,16,OSI,0.6758335454077292,0.353316413121256
1,A549,16,2,17,OSI,0.5287671764960409,0.20625004420956766
2,A549,16,2,17,OSI,0.602235879050131,0.27971874676365777
3,A549,16,2,17,OSI,0.2474852641831275,-0.07503186810334572
1,A549,16,2,18,OSI,0.4172549422006894,0.09473780991421621
2,A549,16,2,18,OSI,0.43072841913487225,0.10821128684839904
3,A549,16,2,18,OSI,0.45208077797267326,0.12956364568620005
1,A549,16,2,19,OSI,0.6791700961908214,0.35665296390434814
2,A549,16,2,19,OSI,0.6605272568942843,0.33801012460781105
3,A549,16,2,19,OSI,0.8995501032589355,0.5770329709724622
1,A549,16,2,2,OSI,0.8118703844180934,0.48935325213162023
2,A549,16,2,2,OSI,0.7639176577758311,0.4414005254893579
3,A549,16,2,2,OSI,0.8735338369005483,0.551016704614075
4,A549,16,2,2,OSI,0.8566341266701591,0.5341169943836859
5,A549,16,2,2,OSI,0.8700147418483368,0.5474976095618636
1,A549,16,2,3,OSI,0.7268312159656393,0.40431408367916605
2,A549,16,2,3,OSI,0.7439219331470464,0.42140480086057314
3,A549,16,2,3,OSI,0.7000347982804012,0.37751766599392794
4,A549,16,2,3,OSI,0.4232138504772327,0.10069671819075948
5,A549,16,2,3,OSI,0.8622527483427254,0.5397356160562521
6,A549,16,2,3,OSI,0.5632742775451625,0.24075714525868924
1,A549,16,2,4,OSI,0.8119478466225454,0.48943071433607216
2,A549,16,2,4,OSI,0.8187998970138164,0.4962827647273432
1,A549,16,2,5,OSI,0.4427295599287254,0.1202124276422522
2,A549,16,2,5,OSI,0.7056583267971973,0.3831411945107241
3,A549,16,2,5,OSI,0.5612530465858544,0.23873591429938118
1,A549,16,2,6,OSI,0.5460736773252762,0.223556545038803
2,A549,16,2,6,OSI,0.7565934802326901,0.4340763479462169
1,A549,16,2,7,OSI,0.6881583899103232,0.36564125762384997
2,A549,16,2,7,OSI,0.8361119593645856,0.5135948270781123
3,A549,16,2,7,OSI,0.8866465419452089,0.5641294096587357
4,A549,16,2,7,OSI,0.7477185486858255,0.4252014163993523
5,A549,16,2,7,OSI,0.7440826079068638,0.42156547562039054
1,A549,16,2,8,OSI,0.828746081663232,0.5062289493767589
2,A549,16,2,8,OSI,0.9590516830047416,0.6365345507182685
3,A549,16,2,8,OSI,0.7637940528589464,0.4412769205724732
4,A549,16,2,8,OSI,0.9151082344950844,0.5925911022086112
1,A549,16,2,9,OSI,0.6351129714165678,0.31259583913009453
2,A549,16,2,9,OSI,0.6952249248503519,0.3727077925638787
3,A549,16,2,9,OSI,0.5866110332467548,0.26409390096028157
4,A549,16,2,9,OSI,0.5245135875073258,0.20199645522085258
1,A549,0,2,0,control,0.5065056435963584,0.1839885113098852
2,A549,0,2,0,control,0.5580164093172288,0.23549927703075563
1,A549,0,2,1,control,0.18305615908016185,-0.13946097320631137
2,A549,0,2,1,control,0.19094072149579283,-0.1315764107906804
1,A549,0,2,10,control,0.2915742868506033,-0.030942845435869892
2,A549,0,2,10,control,0.2595049216347835,-0.06301221065168972
3,A549,0,2,10,control,0.2858044845360263,-0.036712647750446914
4,A549,0,2,10,control,0.22169318433795637,-0.10082394794851685
5,A549,0,2,10,control,0.37222550635187607,0.04970837406540285
6,A549,0,2,10,control,0.5612562345070319,0.23873910222055866
1,A549,0,2,11,control,0.620961665086684,0.2984445328002108
1,A549,0,2,12,control,0.21390280893300567,-0.10861432335346755
2,A549,0,2,12,control,0.19489291436721706,-0.12762421791925616
3,A549,0,2,12,control,0.1782491851929722,-0.14426794709350102
1,A549,0,2,13,control,0.34669495556216673,0.02417782327569351
2,A549,0,2,13,control,0.21898544971930312,-0.1035316825671701
3,A549,0,2,13,control,0.3066688215268686,-0.015848310759604634
4,A549,0,2,13,control,0.26821534712656403,-0.05430178515990919
5,A549,0,2,13,control,0.34533663135604525,0.022819499069572036
6,A549,0,2,13,control,0.22135376794073824,-0.10116336434573497
1,A549,0,2,14,control,0.5085208721728518,0.18600373988637858
2,A549,0,2,14,control,0.7649198551811316,0.4424027228946584
3,A549,0,2,14,control,0.41895625913252843,0.09643912684605521
4,A549,0,2,14,control,0.2532826692325014,-0.0692344630539718
5,A549,0,2,14,control,0.34884411303558177,0.026326980749108553
1,A549,0,2,15,control,0.1604227939993722,-0.16209433828710101
2,A549,0,2,15,control,0.18869403088505135,-0.13382310140142187
3,A549,0,2,15,control,0.1969756716238725,-0.12554146066260072
4,A549,0,2,15,control,0.17715729978509423,-0.145359832501379
5,A549,0,2,15,control,0.15218545891060845,-0.17033167337586477
1,A549,0,2,16,control,0.1298841059303615,-0.1926330263561117
2,A549,0,2,16,control,0.22964946085032628,-0.09286767143614694
1,A549,0,2,17,control,0.2406722137202074,-0.08184491856626583
2,A549,0,2,17,control,0.29180193669239995,-0.030715195594073263
3,A549,0,2,17,control,0.24614771387498874,-0.07636941841148448
