ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,20,2,0,VIN,0.8767963665252282,0.6292383629376908
2,A549,20,2,0,VIN,0.8016022492312762,0.5540442456437388
3,A549,20,2,0,VIN,0.9188659109095607,0.6713079073220233
4,A549,20,2,0,VIN,0.9039037669735587,0.6563457633860212
1,A549,20,2,1,VIN,0.48702956152202015,0.23947155793448274
1,A549,20,2,10,VIN,0.37657855706639337,0.12902055347885596
2,A549,20,2,10,VIN,0.48876903494101687,0.24121103135347946
3,A549,20,2,10,VIN,0.10486425681574403,-0.14269374677179336
1,A549,20,2,11,VIN,0.159552205151016,-0.0880057984365214
2,A549,20,2,11,VIN,0.2871181079343955,0.03956010434685811
3,A549,20,2,11,VIN,0.6575799163003759,0.4100219127128385
1,A549,20,2,12,VIN,0.6830273476653296,0.43546934407779214
2,A549,20,2,12,VIN,0.8445535146774649,0.5969955110899274
3,A549,20,2,12,VIN,0.6179094212913496,0.3703514177038122
4,A549,20,2,12,VIN,0.6713311776812807,0.42377317409374327
5,A549,20,2,12,VIN,0.6994759962808154,0.4519179926932779
6,A549,20,2,12,VIN,0.9081464680388145,0.6605884644512771
1,A549,20,2,13,VIN,0.15100531708869996,-0.09655268649883744
2,A549,20,2,13,VIN,0.23044105372063423,-0.01711694986690318
1,A549,20,2,14,VIN,0.3928348395273826,0.14527683593984517
2,A549,20,2,14,VIN,0.7965366810855194,0.548978677497982
3,A549,20,2,14,VIN,0.8287086290672633,0.5811506254797258
1,A549,20,2,15,VIN,0.6378024177697125,0.39024441418217504
2,A549,20,2,15,VIN,0.5429987157522854,0.295440712164748
3,A549,20,2,15,VIN,0.8842089067848814,0.636650903197344
4,A549,20,2,15,VIN,0.3417018537192626,0.09414385013172519
5,A549,20,2,15,VIN,0.48468537187501015,0.23712736828747275
6,A549,20,2,15,VIN,0.34232450333314485,0.09476649974560744
1,A549,20,2,16,VIN,0.8773112223107671,0.6297532187232296
2,A549,20,2,16,VIN,0.8698848701278468,0.6223268665403093
3,A549,20,2,16,VIN,0.6121406464791062,0.3645826428915687
1,A549,20,2,17,VIN,0.7194711817273547,0.47191317813981726
2,A549,20,2,17,VIN,0.7673309410045439,0.5197729374170065
3,A549,20,2,17,VIN,0.4930426888118132,0.24548468522427577
4,A549,20,2,17,VIN,0.7306623232300667,0.4831043196425293
5,A549,20,2,17,VIN,0.23862253691995194,-0.008935466667585462
6,A549,20,2,17,VIN,0.18269213500572007,-0.06486586858181734
1,A549,20,2,18,VIN,0.5643567084585992,0.31679870487106176
