Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
H1975,2.0,AFA,0,1,10.0,1,0.07060854882001877,0.0010969669092446566,0.07157730311155319,0.0010426767403259873,0.05078704655170441,0.0004149361338932067,0.1072671115398407,0.0,0.06704330444335938,0.07730571925640106,0.2610276937484741,0.6128785,0.6023665,543.0,17632.0,18175.0,0.33493167,0.19868552684783936,0.14489067,0.8863146305084229,0.7751098,0.33924806,1.3724321,0.03486553,0.055977564,0.18940293788909912,0.4104560315608978,0.06393671780824661,0.006884236820042133,0.34386244,1.3724321,0.03486553,0.056776628
H1975,2.0,AFA,0,1,10.0,2,0.1359957456588745,0.0023558151442557573,0.13617581129074097,0.0023344112560153008,0.11053942143917084,0.0004833594139199704,0.17665398120880127,0.03732283413410187,0.12815159559249878,0.1391400545835495,0.8190420269966125,1.5367467,1.5259721,999.0,65544.0,66543.0,0.73636734,0.029122237116098404,0.0983869,0.983838677406311,0.8743909,2.568284,6.8502283,0.58125436,1.1135844,1.7272228002548218,2.4979419708251953,1.1489346027374268,0.055759359151124954,2.581103,6.8502283,0.58125436,1.1187612
H1975,2.0,AFA,1,1,10.0,1,0.046465516090393066,0.0005503444699570537,0.0482766330242157,0.0004843608767259866,0.028345366939902306,0.00014954173821024597,0.07494194805622101,0.0,0.03807634860277176,0.04383774474263191,0.7792780995368958,1.8461925,1.8370416,1000.0,115591.0,116591.0,0.9932805,0.11952801793813705,0.6075294,0.9780930876731873,0.90254843,0.58687395,1.57055,0.0,0.053111505,0.26905614137649536,0.41048434376716614,0.1591331958770752,0.002629459835588932,0.5896234,1.57055,0.0,0.052666843
H1975,2.0,AFA,1,1,10.0,2,0.03093826025724411,0.00021110953821334988,0.03140958026051521,0.00019952160073444247,0.019925056025385857,9.417019464308396e-05,0.049607809633016586,0.0,0.02782706916332245,0.0325963981449604,0.7376096844673157,1.3003402,1.2955605,600.0,70039.0,70639.0,0.939774,-0.2170359194278717,0.4749412,0.9889242649078369,0.9178399,0.16303395,0.44810364,0.04511095,0.0039168573,0.1001182273030281,0.16371560096740723,0.07111683487892151,0.0002137679111910984,0.16357289,0.44810364,0.04511095,0.0039143804
H1975,2.0,AFA,10,1,10.0,1,0.03613676503300667,0.0004197511007077992,0.03804570063948631,0.0003692977479659021,0.045566946268081665,0.0005447369767352939,0.12212801724672318,0.0,0.06428490579128265,0.07861310243606567,0.7737582325935364,1.0737201,1.0706204,721.0,69054.0,69775.0,0.62705773,-0.7612117528915405,0.38315696,0.9198783040046692,0.9149665,0.38211882,1.1829069,0.0,0.027882257,0.28200891613960266,0.4756148159503937,0.09418796747922897,0.010643714107573032,0.38316405,1.1829069,0.0,0.027956512
H1975,2.0,AFA,10,1,10.0,2,0.046583712100982666,0.0010859952308237553,0.049652062356472015,0.001005177036859095,0.03026726096868515,0.0003251251473557204,0.1009058728814125,0.0,0.044711336493492126,0.054257769137620926,0.5735273361206055,1.133824,1.1279575,1400.0,132311.0,133711.0,0.77637136,-0.274904727935791,0.36268324,0.9697524309158325,0.87499493,0.30935037,3.5247629,0.0,0.07145271,0.18080797791481018,0.37104806303977966,0.0926235094666481,0.001954191131517291,0.31071043,3.5247629,0.0,0.07201139
H1975,2.0,AFA,10,1,10.0,3,0.2873835861682892,0.01531889196485281,0.29245084524154663,0.01410707738250494,0.0955134704709053,0.0019198275404050946,0.2068794071674347,0.0,0.1303497701883316,0.15596292912960052,0.12052424997091293,0.527576,0.5263706,221.0,74402.0,74623.0,0.7102131,0.7244011759757996,0.45854214,0.9488935470581055,0.8844469,5.2981224,24.21231,0.0,5.5155,1.7260994911193848,2.493882894515991,0.9547118544578552,0.17435237765312195,5.308733,24.21231,0.0,5.4933534
H1975,2.0,AFA,11,1,10.0,1,0.05016198381781578,0.0004081005754414946,0.05037010833621025,0.0003993105492554605,0.03898672014474869,0.000125552382087335,0.07435057312250137,0.0040723467245697975,0.047965340316295624,0.05306616798043251,0.7120559811592102,1.0987712,1.0927978,800.0,50991.0,51791.0,0.6073439,0.4087604284286499,0.20625398,0.9793316721916199,0.8947016,0.42924154,1.1767786,0.10668859,0.040922143,0.3261789083480835,0.4931630492210388,0.21463707089424133,0.0036798769142478704,0.43085843,1.1767786,0.10668859,0.041337173
H1975,2.0,AFA,11,1,10.0,2,0.08136099576950073,0.001224652980454266,0.08148764073848724,0.0012162388302385807,0.04419828951358795,0.00013102129742037505,0.07825108617544174,0.007343860808759928,0.053220849484205246,0.05905284360051155,0.5106881856918335,1.5837164,1.574451,600.0,68886.0,69486.0,0.41421673,0.14298903942108154,0.16691543,0.9949386715888977,0.8449083,0.8224066,3.243886,0.26168996,0.1668343,0.37817105650901794,0.4871525168418884,0.295891672372818,0.0010518917115405202,0.82627577,3.243886,0.26168996,0.16654442
H1975,2.0,AFA,11,1,10.0,3,0.10194838792085648,0.002703238744288683,0.10364086180925369,0.0025727064348757267,0.06281035393476486,0.0003835142415482551,0.1291515827178955,0.015729468315839767,0.07842690497636795,0.08858570456504822,0.6897139549255371,1.727798,1.7154689,400.0,33279.0,33679.0,0.33830222,0.31386029720306396,0.14252186,0.9921866655349731,0.8377177,1.1517234,3.8666816,0.0,0.3473227,0.5413100719451904,0.7262268662452698,0.39919376373291016,0.00358592695556581,1.15906,3.8666816,0.0,0.34692192
