ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,10,2,AFA,0.3470938169535559,True,-0.0303969592977979
2,0,10,2,AFA,0.5353899413739995,False,0.15789916512264573
1,1,10,2,AFA,0.34881305168922594,False,-0.02867772456212786
2,1,10,2,AFA,0.611199319736987,False,0.23370854348563325
1,10,10,2,AFA,0.534502343269301,False,0.15701156701794722
2,10,10,2,AFA,0.5048224084850975,True,0.12733163223374372
3,10,10,2,AFA,0.7577211423299918,True,0.38023036607863797
1,11,10,2,AFA,0.5596967435827908,False,0.18220596733143696
2,11,10,2,AFA,0.6341657214236647,False,0.2566749451723109
3,11,10,2,AFA,0.7274912391952332,False,0.3500004629438794
1,12,10,2,AFA,0.47534960804885956,False,0.09785883179750576
2,12,10,2,AFA,0.606804826036347,False,0.2293140497849932
1,13,10,2,AFA,0.6299563748818177,False,0.25246559863046386
2,13,10,2,AFA,0.5518067614950979,False,0.1743159852437441
3,13,10,2,AFA,0.709747142978166,False,0.3322563667268122
1,14,10,2,AFA,0.6042298753732114,True,0.22673909912185758
1,15,10,2,AFA,0.7177782601220081,False,0.3402874838706543
1,16,10,2,AFA,0.622769150766804,False,0.24527837451545015
2,16,10,2,AFA,0.48438365239058356,False,0.10689287613922976
3,16,10,2,AFA,0.7786290699475131,True,0.40113829369615933
1,2,10,2,AFA,0.8252410201505388,False,0.447750243899185
2,2,10,2,AFA,0.6963648244926361,False,0.31887404824128235
3,2,10,2,AFA,0.7366158468287465,False,0.3591250705773927
1,3,10,2,AFA,0.3088610169958881,False,-0.06862975925546572
2,3,10,2,AFA,0.6936700555614107,False,0.3161792793100569
1,4,10,2,AFA,0.7100109895607866,False,0.33252021330943277
2,4,10,2,AFA,0.4860414560189864,True,0.10855067976763261
1,5,10,2,AFA,0.6675964759883855,False,0.29010569973703165
2,5,10,2,AFA,0.5641808771087512,False,0.1866901008573974
3,5,10,2,AFA,0.659544083627526,False,0.28205330737617224
1,6,10,2,AFA,0.48727572348726095,False,0.10978494723590715
2,6,10,2,AFA,0.6461865181460374,False,0.26869574189468365
3,6,10,2,AFA,0.7379999936441807,False,0.3605092173928269
1,7,10,2,AFA,0.3877789272013965,False,0.010288150950042707
2,7,10,2,AFA,0.5499238176547981,False,0.17243304140344434
1,8,10,2,AFA,0.4107278523626118,False,0.03323707611125798
2,8,10,2,AFA,0.6489310116957192,False,0.2714402354443654
3,8,10,2,AFA,0.6897179314871954,False,0.3122271552358416
1,9,10,2,AFA,0.28972660709584125,False,-0.08776416915551255
2,9,10,2,AFA,0.49846358692059206,True,0.12097281066923826
3,9,10,2,AFA,0.5313017936503106,False,0.1538110173989568
1,0,0,2,control,0.3864872510376683,True,0.00899647478631449
1,1,0,2,control,0.20266864442794547,True,-0.17482213182340833
2,1,0,2,control,0.3183562584362787,False,-0.059134517815075116
1,10,0,2,control,0.24762157979199592,False,-0.12986919645935788
1,11,0,2,control,0.37274460979711427,False,-0.004746166454239531
2,11,0,2,control,0.36442924425586004,False,-0.013061531995493758
1,12,0,2,control,0.5289658454907459,False,0.15147506923939208
1,13,0,2,control,0.4164638671746336,False,0.038973090923279774
2,13,0,2,control,0.32310184666949987,False,-0.05438892958185393
1,15,0,2,control,0.43405746145108165,False,0.05656668519972785
2,15,0,2,control,0.44766081505983235,True,0.07017003880847855
1,2,0,2,control,0.33695647720510585,True,-0.040534299046247946
1,4,0,2,control,0.30910383301136346,False,-0.06838694323999034
1,5,0,2,control,0.2647119993557781,False,-0.1127787768955757
2,5,0,2,control,0.4394326007236125,False,0.06194182447225871
3,5,0,2,control,0.45156531832733826,False,0.07407454207598446
1,6,0,2,control,0.4857611398589607,True,0.10827036360760689
2,6,0,2,control,0.31087048914936394,False,-0.06662028710198986
3,6,0,2,control,0.46492594774053353,True,0.08743517148917973
1,8,0,2,control,0.5000166924993875,False,0.12252591624803372
2,8,0,2,control,0.4677402885670217,True,0.09024951231566791
1,9,0,2,control,0.23115486749866404,False,-0.14633590875268976
