ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,3,4,ALM,0.28313721237733247,True,-0.05921902469746071
1,1,3,4,ALM,0.6740354675097938,False,0.33167923043500064
2,1,3,4,ALM,0.5630930551510855,False,0.22073681807629236
3,1,3,4,ALM,0.6062025104829332,False,0.26384627340814
1,10,3,4,ALM,0.7760147047213066,False,0.43365846764651345
2,10,3,4,ALM,0.42158508932114536,True,0.07922885224635218
1,11,3,4,ALM,0.7382600995368944,True,0.39590386246210124
2,11,3,4,ALM,0.7484172313749434,False,0.40606099430015025
3,11,3,4,ALM,0.7235484135971901,False,0.38119217652239695
4,11,3,4,ALM,0.5902195658444465,False,0.24786332876965328
1,12,3,4,ALM,0.5449392162679862,False,0.20258297919319307
2,12,3,4,ALM,0.6921334420357537,False,0.3497772049609605
1,13,3,4,ALM,0.7795909207691504,False,0.4372346836943572
2,13,3,4,ALM,0.4273688100163861,False,0.08501257294159292
3,13,3,4,ALM,0.6788133705048791,False,0.33645713343008593
1,14,3,4,ALM,0.6153409838486137,True,0.2729847467738205
2,14,3,4,ALM,0.7740949507842197,False,0.43173871370942657
3,14,3,4,ALM,0.7634861735767066,False,0.4211299365019134
1,15,3,4,ALM,0.6564484849303724,False,0.31409224785557927
2,15,3,4,ALM,0.7135324588123885,True,0.3711762217375953
3,15,3,4,ALM,0.6554297188584282,False,0.313073481783635
1,2,3,4,ALM,0.6290535818341787,False,0.2866973447593855
2,2,3,4,ALM,0.577747113339871,False,0.23539087626507788
1,3,3,4,ALM,0.7167215632975936,False,0.37436532622280044
2,3,3,4,ALM,0.6701690926635943,False,0.3278128555888011
1,4,3,4,ALM,0.6436348198180519,False,0.30127858274325875
1,5,3,4,ALM,0.4237565249431908,True,0.08140028786839765
2,5,3,4,ALM,0.63140668855084,False,0.28905045147604685
3,5,3,4,ALM,0.774391119575413,False,0.4320348825006198
1,6,3,4,ALM,0.6608740890388572,False,0.31851785196406407
2,6,3,4,ALM,0.7046074983282111,False,0.36225126125341794
3,6,3,4,ALM,0.7356591184815553,False,0.3933028814067621
1,7,3,4,ALM,0.7142485070854447,False,0.37189227001065156
1,8,3,4,ALM,0.6299087923753672,False,0.28755255530057405
2,8,3,4,ALM,0.7167670688797105,False,0.37441083180491735
3,8,3,4,ALM,0.7471220169599679,False,0.40476577988517476
4,8,3,4,ALM,0.6291455122887533,False,0.2867892752139601
5,8,3,4,ALM,0.7213638895796154,False,0.3790076525048222
6,8,3,4,ALM,0.6741271946256968,False,0.33177095755090363
1,9,3,4,ALM,0.5564751687104688,True,0.21411893163567558
2,9,3,4,ALM,0.793178696701822,False,0.45082245962702877
1,0,0,2,control,0.2162825608710146,True,-0.12607367620377857
1,1,0,2,control,0.7102519156547875,True,0.36789567857999433
2,1,0,2,control,0.22618040631197323,False,-0.11617583076281995
1,10,0,2,control,0.2344919490188789,False,-0.10786428805591428
1,11,0,2,control,0.4127118648897114,False,0.07035562781491822
2,11,0,2,control,0.2564457799833927,False,-0.0859104570914005
1,12,0,2,control,0.27825212933046634,False,-0.06410410774432684
1,13,0,2,control,0.37650755207533493,False,0.03415131500054175
2,13,0,2,control,0.35800635385776164,False,0.01565011678296846
1,15,0,2,control,0.20942399499595887,False,-0.1329322420788343
2,15,0,2,control,0.5254167672147906,True,0.1830605301399974
1,2,0,2,control,0.5714062416857607,True,0.22905000461096753
1,4,0,2,control,0.25243274893347933,False,-0.08992348814131385
1,5,0,2,control,0.20151131027018226,False,-0.14084492680461091
2,5,0,2,control,0.34332627239484526,False,0.0009700353200520762
3,5,0,2,control,0.38692981472738813,False,0.04457357765259495
1,6,0,2,control,0.33082251331272766,True,-0.011533723762065518
2,6,0,2,control,0.2692307254126651,False,-0.0731255116621281
3,6,0,2,control,0.28864078306558316,True,-0.05371545400921002
1,8,0,2,control,0.5087701080305858,False,0.16641387095579258
2,8,0,2,control,0.42025866843296056,True,0.07790243135816738
1,9,0,2,control,0.1545367551752004,False,-0.18781948189959277
