ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,11,2,DAC,0.38331132174619137,True,-0.08979331331157464
1,10,11,2,DAC,0.5673807633320448,False,0.09427612827427878
1,11,11,2,DAC,0.6147202548192684,False,0.1416156197615024
1,12,11,2,DAC,0.6178339899308065,False,0.1447293548730405
2,12,11,2,DAC,0.5116367320937341,False,0.03853209703596805
3,12,11,2,DAC,0.5579328263793438,True,0.08482819132157782
1,13,11,2,DAC,0.6265953359050028,False,0.15349070084723682
2,13,11,2,DAC,0.49307087103726766,False,0.019966235979501645
3,13,11,2,DAC,0.6274725071930998,False,0.15436787213533376
4,13,11,2,DAC,0.5608817291674753,True,0.08777709410970924
5,13,11,2,DAC,0.5831944635845008,False,0.11008982852673477
6,13,11,2,DAC,0.6809753827753907,False,0.2078707477176247
1,14,11,2,DAC,0.556014087778488,True,0.08290945272072203
2,14,11,2,DAC,0.6124333277461259,False,0.1393286926883599
3,14,11,2,DAC,0.4119868250702126,False,-0.061117809987553395
4,14,11,2,DAC,0.560305326676457,False,0.08720069161869104
1,15,11,2,DAC,0.5279846017611258,False,0.05487996670335982
1,16,11,2,DAC,0.5499986487376849,False,0.07689401367991888
1,17,11,2,DAC,0.6368138410620652,False,0.16370920600429917
1,2,11,2,DAC,0.6449473709181177,False,0.1718427358603517
1,3,11,2,DAC,0.5195504094131858,False,0.046445774355419744
1,4,11,2,DAC,0.5534021211464595,True,0.08029748608869347
2,4,11,2,DAC,0.5463534461872566,False,0.07324881112949055
3,4,11,2,DAC,0.4888151683298888,False,0.015710533272122795
4,4,11,2,DAC,0.5740292768730001,False,0.10092464181523408
1,5,11,2,DAC,0.5370808029508138,False,0.06397616789304783
2,5,11,2,DAC,0.6042740393041465,False,0.13116940424638046
1,6,11,2,DAC,0.5900192484116517,False,0.11691461335388564
1,7,11,2,DAC,0.3542389212989282,False,-0.11886571375883781
1,8,11,2,DAC,0.5444680431327968,True,0.07136340807503083
2,8,11,2,DAC,0.5747765876323182,True,0.1016719525745522
1,9,11,2,DAC,0.5526548270176326,False,0.07955019195986657
2,9,11,2,DAC,0.4584140664094044,False,-0.014690568648361602
3,9,11,2,DAC,0.6011841979451897,False,0.12807956288742373
1,0,0,2,control,0.534478404403109,True,0.061373769345343
1,1,0,2,control,0.5769077105700042,True,0.10380307551223822
2,1,0,2,control,0.5542691950085106,False,0.08116455995074456
1,10,0,2,control,0.49389229403954304,False,0.020787658981777035
1,11,0,2,control,0.49610637312716593,False,0.023001738069399924
2,11,0,2,control,0.4563527531630075,False,-0.016751881894758514
1,12,0,2,control,0.4900522204065962,False,0.016947585348830174
1,13,0,2,control,0.43698449260390343,False,-0.03612014245386258
2,13,0,2,control,0.4043729298010623,False,-0.06873170525670369
1,15,0,2,control,0.5352839673126011,False,0.062179332254835074
2,15,0,2,control,0.5986523895698858,True,0.12554775451211975
1,2,0,2,control,0.4217563039791704,True,-0.0513483310785956
1,4,0,2,control,0.4464887179243352,False,-0.02661591713343081
1,5,0,2,control,0.36225224859710353,False,-0.11085238646066248
2,5,0,2,control,0.39468999594318815,False,-0.07841463911457786
3,5,0,2,control,0.5287816520146004,False,0.05567701695683436
1,6,0,2,control,0.4055823275234506,True,-0.06752230753431543
2,6,0,2,control,0.35476562769236464,False,-0.11833900736540137
3,6,0,2,control,0.5793262891866122,True,0.10622165412884621
1,8,0,2,control,0.4685958305771747,False,-0.004508804480591322
2,8,0,2,control,0.5134677034844107,True,0.04036306842664472
1,9,0,2,control,0.35524254434305025,False,-0.11786209071471576
