Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
H1975,2.0,control,0,1,0.0,1,0.109763316810131,0.4360150396823883,-0.1483051925897598,0.7970923,False,0.1117352744708073,0.0
H1975,2.0,control,0,1,0.0,2,0.1123567372560501,0.5749599933624268,0.4296046495437622,0.77317536,False,0.1343432712253558,0.0
H1975,2.0,control,0,1,0.0,3,0.2239713817834854,1.2820463180541992,0.0485613867640495,0.6527049,False,0.20674122225802258,0.0
H1975,2.0,control,0,1,0.0,4,0.1386391371488571,1.0471683740615845,0.9903518557548524,0.96838063,True,0.11123120877848813,0.07700829635323311
H1975,2.0,control,1,1,0.0,1,0.2260804027318954,1.925522327423096,0.5481303930282593,0.6215776,False,0.24221049685710397,0.0
H1975,2.0,control,1,1,0.0,2,0.1895101964473724,0.5087724328041077,0.5986912250518799,0.87970114,False,0.12409310456709577,0.0
H1975,2.0,control,10,1,0.0,1,0.1833215206861496,1.4153176546096802,0.6134706139564514,0.7015428,False,0.21563908825919234,0.0
H1975,2.0,control,10,1,0.0,2,0.2934730052947998,1.7479865550994873,0.3059645891189575,0.8544498,False,0.23408376983610202,0.0
H1975,2.0,control,10,1,0.0,3,0.1089347675442695,0.8528454303741455,0.5649943947792053,0.9134033,True,0.1021855882060158,0.06720097433865925
H1975,2.0,control,11,1,0.0,1,0.2164930403232574,1.2121050357818604,0.6451662182807922,0.8845359,False,0.20164261911282536,0.0
H1975,2.0,control,11,1,0.0,2,0.0595869608223438,0.2690334022045135,0.8566307425498962,0.8664809,True,0.05237656680745455,0.025638946290368336
H1975,2.0,control,11,1,0.0,3,0.1846352219581604,1.304576396942139,0.9202096462249756,0.97948855,False,0.20831772585700079,0.0
H1975,2.0,control,12,1,0.0,1,0.1022008508443832,0.5773980617523193,0.7171952128410339,0.8493369,True,0.08451667437595153,0.05018774290272088
H1975,2.0,control,13,1,0.0,1,0.1274742484092712,1.063459038734436,0.7817902565002441,0.7725777,True,0.11189714402731737,0.07776154020529899
H1975,2.0,control,13,1,0.0,2,0.2134395390748977,1.3811641931533811,0.9485992789268494,0.8168817,False,0.21345374860829872,0.0
H1975,2.0,control,14,1,0.0,1,0.1694124191999435,0.8590306639671326,0.7843226194381714,0.98387873,False,0.17004737493963887,0.0
H1975,2.0,control,14,1,0.0,2,0.0984928458929061,0.777534544467926,0.6907233595848083,0.5858637,True,0.09802477642429346,0.06294689822175155
H1975,2.0,control,14,1,0.0,3,0.0874299705028534,0.5501134395599365,0.4892859160900116,0.6404006,True,0.08233053165199747,0.04826748820358681
H1975,2.0,control,15,1,0.0,1,0.1478549093008041,1.2847825288772583,0.8368476033210754,0.6911888,True,0.1198420777285385,0.08709226488443869
H1975,2.0,control,15,1,0.0,2,,,,0.5346634,False,,
H1975,2.0,control,15,1,0.0,3,0.1482508182525634,2.324211597442627,0.5166210532188416,0.82214254,True,0.1414191167334742,0.11587794236977042
H1975,2.0,control,16,1,0.0,1,0.25885871052742,1.6114659309387207,0.7463110089302063,0.65551555,False,0.22708297878206735,0.0
H1975,2.0,control,17,1,0.0,1,0.2873923182487488,1.8005928993225098,0.9028135538101196,0.9297105,False,0.23659925264788653,0.0
H1975,2.0,control,17,1,0.0,2,0.297545462846756,2.113762617111206,0.8068643808364868,0.7631286,False,0.24981501120936056,0.0
H1975,2.0,control,17,1,0.0,3,0.233150377869606,1.1873526573181152,0.929689347743988,0.92303365,False,0.19976009649436224,0.0
H1975,2.0,control,18,1,0.0,1,0.2114837616682052,0.9885851144790648,0.9445029497146606,0.98799527,False,0.18294380234441093,0.0
H1975,2.0,control,18,1,0.0,2,0.1758176535367965,1.6546711921691897,0.6426893472671509,0.38403144,True,0.12973639106878426,0.09964003811554004
H1975,2.0,control,19,1,0.0,1,0.2471412718296051,1.6701204776763916,0.9193794131278992,0.5428137,False,0.2301785035257124,0.0
H1975,2.0,control,19,1,0.0,2,0.1668508052825927,1.172613263130188,0.8241908550262451,0.9067771,False,0.1986187271130782,0.0
H1975,2.0,control,19,1,0.0,3,0.0909327715635299,0.5716997981071472,0.8603166341781616,0.92768055,True,0.08406807619113485,0.049790518151630075
H1975,2.0,control,19,1,0.0,4,0.1291409432888031,0.9483638405799866,0.8034178018569946,0.7627628,True,0.10690416322367154,0.07221941013803988
H1975,2.0,control,2,1,0.0,1,0.1696306765079498,1.0626866817474363,0.8115429282188416,0.8651426,False,0.1895919057138415,0.0
H1975,2.0,control,2,1,0.0,2,0.1059424579143524,1.0212587118148804,0.5658029317855835,0.5857639,True,0.11014556349433322,0.07578966773117665
H1975,2.0,control,3,1,0.0,1,0.0714268386363983,0.2703419029712677,0.6486339569091797,0.76588964,False,0.0783142082149176,0.0
H1975,2.0,control,3,1,0.0,2,0.2198099941015243,2.119266986846924,0.8640767335891724,0.6907025,False,0.25002356465421105,0.0
H1975,2.0,control,4,1,0.0,1,0.0943027958273887,0.6469519734382629,0.6611465215682983,0.6117093,True,0.08967832881979393,0.05487860426930885
H1975,2.0,control,4,1,0.0,2,0.2535904943943023,1.6402758359909058,0.9657347202301024,0.9235911,False,0.2286206234274427,0.0
H1975,2.0,control,4,1,0.0,3,0.0668998882174491,0.4940812885761261,0.7422895431518555,0.6645241,True,0.07751840337390106,0.04417639033393825
H1975,2.0,control,5,1,0.0,1,0.1089212596416473,1.4884265661239624,-0.5557532906532288,0.39421123,True,0.12570991909395682,0.09440546778956843
H1975,2.0,control,6,1,0.0,1,0.1155718266963958,2.0561113357543945,0.6166142225265503,0.2727162,True,0.13743113621228709,0.11015440254258291
H1975,2.0,control,6,1,0.0,2,0.1374159753322601,0.645538330078125,0.9179928302764891,0.8537672,False,0.1443649783943176,0.0
