Key,Hour,Treatment,Concentration,Edmax,Kd,R2,RMSE,N
2.0h-GEF-60.0um,2.0,GEF,60.0,0.3864059478687024,0.692079576161326,0.4560336054281866,0.059952664280047245,753
2.0h-OSI-3.0um,2.0,OSI,3.0,0.21949124553241028,0.9999999999999968,0.7069907402878923,0.026604448353701873,742
2.0h-VIN-80.0um,2.0,VIN,80.0,0.29104049169347646,0.9999999999999999,0.5714152428686763,0.04109982476386437,512
2.0h-control-0.0um,2.0,control,0.0,0.31341942011344437,0.9999999999998785,0.4697389464414157,0.04965948757109732,853
4.0h-GEF-60.0um,4.0,GEF,60.0,0.3213424240466932,0.9999999999999999,0.5855452086400383,0.044586927788237016,675
4.0h-OSI-3.0um,4.0,OSI,3.0,0.2270924289925492,0.9999999999999999,0.41925916858003653,0.046903154934161244,607
4.0h-VIN-80.0um,4.0,VIN,80.0,0.2217874550215535,0.9999999999999977,0.5431554282427853,0.04199114314020484,583
6.0h-GEF-60.0um,6.0,GEF,60.0,0.3565719861690903,0.9999999999999976,0.5803206849995914,0.05009059982931076,542
6.0h-OSI-3.0um,6.0,OSI,3.0,0.2373048227961041,0.9999999999999999,0.5769480382209277,0.038195914470942144,512
6.0h-VIN-80.0um,6.0,VIN,80.0,0.20901871654024712,0.9999999999999999,0.6634006005698604,0.03000788731436308,491
