ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
1,0,60,2,GEF,0.6998650932433439,False,0.312408287807062,0.1718927025794983,0.9582142233848572,0.532418429851532,0.62168545,False,0.1800736763090729,0.0,0.0,0.0,0.37831455,0.189157275
1,1,60,2,GEF,0.5547091818181541,False,0.1672523763818722,0.1537320017814636,0.6716563701629639,0.7843625545501709,0.8807927,False,0.1478590628024078,0.0,0.0,0.0,0.11920730000000002,0.05960365000000001
2,1,60,2,GEF,0.5373493005776827,False,0.1498924951414008,0.2416303902864456,1.7878013849258425,0.8816988468170166,0.93673396,False,0.2359963350366909,0.0,0.2649173894357889,0.0,0.06326604000000002,0.16409171471789447
1,10,60,2,GEF,0.6252002475878901,False,0.2377434421516082,0.2075710743665695,0.8345198631286621,0.7105695605278015,0.2060759,False,0.1674025535529507,0.0,0.061742413562634144,0.0,0.7939241,0.42783325678131706
2,10,60,2,GEF,0.5472104511323761,False,0.1597536456960942,0.2530434727668762,1.343801736831665,0.4879134893417358,0.5212055,False,0.2109901325623813,0.0,0.33300016488127576,0.0,0.4787945,0.40589733244063786
1,11,60,2,GEF,0.6618403825570509,False,0.274383577120769,,,,0.6048117,False,,,,,0.39518830000000005,
2,11,60,2,GEF,0.6378725038842437,False,0.2504156984479618,0.2564319670200348,1.7057268619537354,-0.1031384468078613,0.6232708,False,0.2319921844386477,0.0,0.3532136430307313,0.0,0.3767292,0.36497142151536566
3,11,60,2,GEF,0.6235399457998169,False,0.236083140363535,,,,0.5098553,False,,,,,0.4901447,
4,11,60,2,GEF,0.5367714153141805,True,0.1493146098778986,0.19336798787117,1.1600837707519531,-0.1458816826343536,0.79649454,False,0.1976362368058094,0.0,0.0,0.0,0.20350546000000003,0.10175273000000001
5,11,60,2,GEF,0.5913015169474211,False,0.2038447115111392,0.1602311730384826,1.0805068016052246,-0.5606907606124878,0.56131667,False,0.1911200207006927,0.0,0.0,0.0,0.43868333000000004,0.21934166500000002
1,12,60,2,GEF,0.6806901163497401,False,0.2932333109134582,0.3315942883491516,1.6041910648345947,0.6263889074325562,0.7425423,False,0.2266893239250963,0.0,0.8015815097999466,0.0,0.2574577,0.5295196048999733
2,12,60,2,GEF,0.6224168857591982,False,0.2349600803229163,,,,0.23390213,False,,,,,0.76609787,
3,12,60,2,GEF,0.6093455574144361,False,0.2218887519781542,,,,0.49815598,False,,,,,0.5018440200000001,
1,13,60,2,GEF,0.576894966669343,False,0.1894381612330611,0.2122750878334045,0.9883512258529664,0.6340507864952087,0.6716317,False,0.1829220342889196,0.0,0.0898033947308865,0.0,0.32836829999999995,0.20908584736544322
2,13,60,2,GEF,0.6762519779097742,True,0.2887951724734923,,,,0.3204127,False,,,,,0.6795873,
3,13,60,2,GEF,0.8126619449845507,True,0.4252051395482688,0.2335382848978042,1.1068756580352783,0.2903419137001037,0.6227086,False,0.1933337834169243,0.0,0.21664533015638404,0.0,0.37729140000000005,0.296968365078192
4,13,60,2,GEF,0.5355069603722482,False,0.1480501549359663,0.2258476018905639,1.4164620637893677,0.081557348370552,0.5503994,False,0.215711244668612,0.0,0.17076788687126315,0.0,0.4496006,0.31018424343563156
1,14,60,2,GEF,0.5345139278868357,False,0.1470571224505538,0.295063704252243,1.5167254209518433,0.300168365240097,0.1992496,False,0.221778248140864,0.0,0.5836646097664281,0.0,0.8007504,0.692207504883214
2,14,60,2,GEF,0.6523687579440439,False,0.264911952507762,0.2964105010032654,1.7157163619995115,0.6185728311538696,0.5340834,False,0.2324924760371325,0.0,0.59169869354071,0.0,0.4659166,0.5288076467703551
3,14,60,2,GEF,0.5897680720315707,False,0.2023112665952888,,,,0.19145948,False,,,,,0.80854052,
4,14,60,2,GEF,0.6514454327448541,False,0.2639886273085722,0.2120907306671142,1.8194150924682613,0.2031723260879516,0.7295777,False,0.23747647369021,0.0,0.08870364384624767,0.0,0.2704223,0.17956297192312384
1,16,60,2,GEF,0.5146105350556225,True,0.1271537296193406,0.2338363379240036,0.7041351199150085,0.9277840852737428,0.90063995,False,0.1520546822259296,0.0,0.21842331408740137,0.0,0.09936005000000003,0.1588916820437007
2,16,60,2,GEF,0.5992521081719062,False,0.2117953027356243,0.3118284940719604,1.8404661417007449,0.3687797486782074,0.66237545,False,0.2384437998406635,0.0,0.6836720724868357,0.0,0.33762455,0.5106483112434179
3,16,60,2,GEF,0.652672156867256,False,0.2652153514309741,0.1683381646871566,0.5935119390487671,0.0660949498414993,0.33997202,False,0.1370635438729914,0.0,0.0,0.0,0.66002798,0.33001399
1,17,60,2,GEF,0.6560940027273935,False,0.2686371972911116,0.1333086043596267,0.6396140456199646,0.5474262237548828,0.5482799,False,0.1435569361075744,0.0,0.0,0.0,0.45172009999999996,0.22586004999999998
2,17,60,2,GEF,0.6205403221491709,False,0.233083516712889,0.2593939006328583,1.0894296169281006,0.9133190512657166,0.92882496,False,0.1918753787069233,0.0,0.37088254723711633,0.0,0.07117503999999997,0.22102879361855815
3,17,60,2,GEF,0.4130687566820012,True,0.0256119512457193,,,,0.6737064,False,,,,,0.32629359999999996,
4,17,60,2,GEF,0.6437290973685693,False,0.2562722919322874,0.1053088158369064,0.6291923522949219,0.0916494280099868,0.9585687,True,0.0884131054768652,0.0537081028128583,0.14828545541677904,0.0537081028128583,0.04143129999999995,0.0948583777083895
5,17,60,2,GEF,0.6596172517071123,False,0.2721604462708304,,,,0.44949934,False,,,,,0.55050066,
1,18,60,2,GEF,0.5760245048569493,True,0.1885676994206674,0.35910165309906,1.192151665687561,0.733383059501648,0.9472216,False,0.2001284034494128,0.0,0.9656719507983587,0.0,0.0527784,0.5092251753991793
2,18,60,2,GEF,0.7078489392408637,False,0.3203921338045818,0.2794946134090423,1.0715930461883545,0.9133936166763306,0.95056206,False,0.1903589325726378,0.0,0.4907898831020482,0.0,0.049437940000000014,0.2701139115510241
3,18,60,2,GEF,0.6215840721672953,False,0.2341272667310134,0.1005802527070045,0.7599688768386841,0.352415382862091,0.91865474,True,0.09699105968242,0.0619143336782772,0.17649288336667085,0.0619143336782772,0.08134525999999997,0.1289190716833354
1,19,60,2,GEF,0.586892415626042,False,0.1994356101897601,0.1828855574131012,1.1888538599014282,0.8257550597190857,0.9222305,False,0.1998754820769202,0.0,0.0,0.0,0.07776950000000005,0.03888475000000002
1,3,60,2,GEF,0.4945714332044197,True,0.1071146277681378,0.2543569505214691,1.2050762176513672,0.5713707208633423,0.96988606,False,0.201112344573759,0.0,0.34083548992794244,0.0,0.030113940000000006,0.18547471496397122
2,3,60,2,GEF,0.6418127929000151,False,0.2543559874637333,0.2345450967550277,1.0915871858596802,-0.1050128787755966,0.8450216,False,0.1920570594006841,0.0,0.22265129267428688,0.0,0.15497839999999996,0.1888148463371434
3,3,60,2,GEF,0.7516879506921468,True,0.3642311452558649,,,,0.35514578,False,,,,,0.64485422,
1,4,60,2,GEF,0.6120912680586917,False,0.2246344626224098,0.2982946038246155,1.5039916038513184,-0.0434531792998313,0.14513856,False,0.2210346509812614,0.0,0.6029379840235514,0.0,0.85486144,0.7288997120117757
2,4,60,2,GEF,0.6879098932883387,False,0.3004530878520569,0.2530464231967926,1.161668062210083,0.5155458450317383,0.92320895,False,0.1977610967968144,0.0,0.3330177651621648,0.0,0.07679104999999997,0.2049044075810824
3,4,60,2,GEF,0.5156515733219517,False,0.1281947678856698,0.1548129469156265,0.711674153804779,-0.7163748741149902,-0.3055921,False,0.1530058089724644,0.0,0.0,0.0,0.6944079000000001,0.34720395000000004
4,4,60,2,GEF,0.5690529227588386,False,0.1815961173225567,0.0731106773018837,0.2974386215209961,0.0091091096401214,-0.097023726,False,0.0843642318828222,0.0,0.34035789854521203,0.0,0.902976274,0.621667086272606
