ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,3,6,OSI,0.6965070781519482,False,0.3080011690151676
2,0,3,6,OSI,0.6375276860180271,False,0.2490217768812465
1,1,3,6,OSI,0.5311229511975446,True,0.14261704206076398
1,10,3,6,OSI,0.6891504605833065,False,0.3006445514465259
1,11,3,6,OSI,0.633284775368056,False,0.24477886623127543
2,11,3,6,OSI,0.6792031039009961,False,0.2906971947642155
3,11,3,6,OSI,0.7131799696425174,False,0.3246740605057368
1,12,3,6,OSI,0.5014369477626687,True,0.11293103862588805
1,13,3,6,OSI,0.5684104811755085,False,0.1799045720387279
2,13,3,6,OSI,0.6321153511266393,False,0.24360944198985868
3,13,3,6,OSI,0.6224137852019045,True,0.23390787606512387
1,14,3,6,OSI,0.6131512458705638,False,0.22464533673378317
2,14,3,6,OSI,0.6034254446851683,False,0.21491953554838772
1,15,3,6,OSI,0.5530942668137591,False,0.16458835767697844
2,15,3,6,OSI,0.5739364249820058,True,0.18543051584522519
3,15,3,6,OSI,0.5875402266933917,False,0.19903431755661105
4,15,3,6,OSI,0.7035003424748634,False,0.31499443333808275
1,16,3,6,OSI,0.7153862464586755,False,0.3268803373218949
2,16,3,6,OSI,0.551870084825746,True,0.16336417568896533
3,16,3,6,OSI,0.5431797991362985,False,0.15467388999951792
1,17,3,6,OSI,0.568197540554485,True,0.1796916314177044
2,17,3,6,OSI,0.5800473071795655,True,0.19154139804278492
3,17,3,6,OSI,0.604543767358455,True,0.21603785822167443
1,18,3,6,OSI,0.7623841419576378,True,0.3738782328208572
2,18,3,6,OSI,0.642881959959826,False,0.2543760508230454
3,18,3,6,OSI,0.6382177607582198,False,0.24971185162143916
4,18,3,6,OSI,0.6653622694986197,False,0.276856360361839
5,18,3,6,OSI,0.6248505590454555,False,0.23634464990867488
1,19,3,6,OSI,0.5705484246032577,True,0.1820425154664771
2,19,3,6,OSI,0.6846357545498043,False,0.2961298454130237
3,19,3,6,OSI,0.6533042729928316,False,0.26479836385605093
1,2,3,6,OSI,0.6801495012669151,False,0.29164359213013447
2,2,3,6,OSI,0.6642503621974057,False,0.2757444530606251
1,3,3,6,OSI,0.673639280513474,False,0.28513337137669337
2,3,3,6,OSI,0.6140450792878894,False,0.2255391701511088
1,4,3,6,OSI,0.5553429433479241,True,0.1668370342111435
2,4,3,6,OSI,0.48955283161646257,True,0.10104692247968194
1,5,3,6,OSI,0.6237084016857555,False,0.23520249254897485
