ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,80,2,VIN,0.7576951527586215,False,0.4998215383245779
2,0,80,2,VIN,0.7186695278670413,False,0.46079591343299764
1,1,80,2,VIN,0.5215804622172591,True,0.2637068477832154
2,1,80,2,VIN,0.805538636575956,False,0.5476650221419124
3,1,80,2,VIN,0.7010924149336489,False,0.44321880049960527
1,10,80,2,VIN,0.745259871515674,False,0.4873862570816303
2,10,80,2,VIN,0.6663167168639761,False,0.4084431024299324
1,11,80,2,VIN,0.5332529831683341,True,0.2753793687342905
2,11,80,2,VIN,0.7957779638260967,False,0.537904349392053
3,11,80,2,VIN,0.7034548534255757,False,0.445581238991532
1,12,80,2,VIN,0.7359508553144896,True,0.4780772408804459
2,12,80,2,VIN,0.7292294607770581,False,0.4713558463430144
3,12,80,2,VIN,0.7148553388585466,False,0.4569817244245029
4,12,80,2,VIN,0.6936763939911924,False,0.43580277955714875
1,13,80,2,VIN,0.6900578128486037,True,0.43218419841456
2,13,80,2,VIN,0.7596732105966383,False,0.5017995961625946
1,14,80,2,VIN,0.7188029232735685,False,0.4609293088395249
2,14,80,2,VIN,0.6499138661260584,False,0.39204025169201473
1,15,80,2,VIN,0.8182198930228891,True,0.5603462785888454
2,15,80,2,VIN,0.7803033907235688,False,0.5224297762895251
1,16,80,2,VIN,0.8377291902938924,True,0.5798555758598487
2,16,80,2,VIN,0.7778599099451109,True,0.5199862955110672
3,16,80,2,VIN,0.732117737022981,True,0.47424412258893733
1,17,80,2,VIN,0.6426580304881886,True,0.38478441605414493
2,17,80,2,VIN,0.7092017484011862,False,0.45132813396714255
1,18,80,2,VIN,0.6249480941402255,False,0.3670744797061818
2,18,80,2,VIN,0.6733295259389644,False,0.4154559115049208
1,19,80,2,VIN,0.7632355437934639,False,0.5053619293594203
2,19,80,2,VIN,0.7834941609931491,True,0.5256205465591054
1,2,80,2,VIN,0.6837702791871406,False,0.42589666475309695
2,2,80,2,VIN,0.7418440301228129,False,0.4839704156887692
3,2,80,2,VIN,0.7107818404697058,False,0.45290822603566216
1,20,80,2,VIN,0.6961031204021073,False,0.43822950596806365
2,20,80,2,VIN,0.7631061721968289,False,0.5052325577627852
1,3,80,2,VIN,0.7037702312610227,False,0.445896616826979
1,4,80,2,VIN,0.7533162085247957,True,0.4954425940907521
2,4,80,2,VIN,0.6781937062804676,True,0.42032009184642394
1,5,80,2,VIN,0.7644494339767688,False,0.5065758195427251
2,5,80,2,VIN,0.721611383668762,True,0.4637377692347183
3,5,80,2,VIN,0.7544844177998,False,0.49661080336575636
1,6,80,2,VIN,0.7556308189646603,False,0.49775720453061667
1,7,80,2,VIN,0.7466940680895641,True,0.4888204536555204
1,8,80,2,VIN,0.42233063123410475,True,0.16445701680006108
2,8,80,2,VIN,0.6946175513541801,False,0.43674393692013647
1,9,80,2,VIN,0.6652962054093996,False,0.40742259097535594
2,9,80,2,VIN,0.5348174341638445,False,0.27694381972980087
3,9,80,2,VIN,0.6449688006954223,False,0.3870951862613786
1,0,0,2,control,0.3479909226940737,False,0.09011730826003006
2,0,0,2,control,0.294911364695097,False,0.037037750261053326
3,0,0,2,control,0.20945418961220685,False,-0.04841942482183681
4,0,0,2,control,0.3389215902782462,True,0.08104797584420254
1,1,0,2,control,0.09092626855573818,False,-0.16694734587830548
2,1,0,2,control,0.1730666956887433,False,-0.08480691874530036
1,10,0,2,control,0.605911098962355,True,0.3480374845283113
2,10,0,2,control,0.49827568773419467,False,0.240402073300151
3,10,0,2,control,0.36629921970782336,False,0.1084256052737797
1,11,0,2,control,0.21662402665166508,False,-0.04124958778237858
2,11,0,2,control,0.14520230436739254,True,-0.11267131006665113
3,11,0,2,control,0.3688496548897846,True,0.11097604045574094
1,12,0,2,control,0.6707006021403192,True,0.41282698770627557
1,13,0,2,control,0.20706484676052725,False,-0.050808767673516414
2,13,0,2,control,0.35218398056387706,False,0.0943103661298334
1,14,0,2,control,0.15490850236300915,False,-0.10296511207103451
2,14,0,2,control,0.21046394627846504,False,-0.04740966815557862
3,14,0,2,control,0.21126256871484328,True,-0.046611045719200384
1,15,0,2,control,0.2170969028907029,False,-0.040776711543340755
2,15,0,2,control,0.30539475306331076,False,0.0475211386292671
3,15,0,2,control,0.2296410207573531,False,-0.028232593676690565
1,16,0,2,control,0.1369354432041266,False,-0.12093817122991707
1,17,0,2,control,0.16673688340492035,False,-0.09113673102912331
2,17,0,2,control,0.22422735717156644,False,-0.03364625726247722
3,17,0,2,control,0.2198913566589984,False,-0.03798225777504527
1,18,0,2,control,0.13039645225343677,False,-0.1274771621806069
2,18,0,2,control,0.18134572206142524,False,-0.07652789237261842
1,19,0,2,control,0.17110595180007226,False,-0.0867676626339714
2,19,0,2,control,0.1575018606567839,False,-0.10037175377725976
3,19,0,2,control,0.13625803121316443,False,-0.12161558322087923
4,19,0,2,control,0.3484911464674124,True,0.09061753203336875
1,2,0,2,control,0.30655321908586697,False,0.048679604651823305
2,2,0,2,control,0.20568736446030678,False,-0.05218624997373689
1,3,0,2,control,0.16636265262436117,True,-0.09151096180968249
2,3,0,2,control,0.2418441366395699,False,-0.01602947779447375
1,4,0,2,control,0.16144845173315917,False,-0.0964251627008845
2,4,0,2,control,0.5051548475602033,True,0.24728123312615968
3,4,0,2,control,0.11768590177321056,True,-0.1401877126608331
1,5,0,2,control,0.26126917486649537,False,0.0033955604324517052
1,6,0,2,control,0.302135895066621,False,0.04426228063257731
2,6,0,2,control,0.3232769219497797,False,0.06540330751573603
3,6,0,2,control,0.5009434345637709,True,0.24306982012972722
4,6,0,2,control,0.2798343026977658,False,0.02196068826372216
1,7,0,2,control,0.2279425642972444,False,-0.029931050136799253
2,7,0,2,control,0.2497665257659379,False,-0.00810708866810575
3,7,0,2,control,0.3404769220374229,True,0.08260330760337925
4,7,0,2,control,0.21768773138336045,False,-0.04018588305068321
1,8,0,2,control,0.1624541956591444,False,-0.09541941877489926
2,8,0,2,control,0.162861679007169,False,-0.09501193542687467
3,8,0,2,control,0.12060647035570629,False,-0.13726714407833737
4,8,0,2,control,0.172535211566663,True,-0.08533840286738067
