Label,Predicted_Probability
gefitinib,0.40731162438742563
control,0.2687225393596209
gefitinib,0.3659306471091123
control,0.3019231191611595
gefitinib,0.9408742436890221
gefitinib,0.741039600746507
gefitinib,0.389325595072736
control,0.4567519465967461
control,0.0887814882491056
control,0.5942814800207094
control,0.45019480721185123
control,0.12872971132100813
gefitinib,0.5678353247386949
control,0.235643524943172
control,0.15238327330870222
control,0.6266928780195677
gefitinib,0.8394199306509409
control,0.13574794114058739
control,0.2880041803531708
control,0.15830236870799713
control,0.08496229802237087
gefitinib,0.6098882460250221
gefitinib,0.7495596338221497
control,0.1418146778319249
control,0.14911784568301117
control,0.3155729322296941
gefitinib,0.4210028332338494
gefitinib,0.5973788022342036
control,0.5484587742995126
control,0.2685950698800845
control,0.16446046725795335
gefitinib,0.7412289200910233
control,0.03800673653321103
control,0.0803517829423682
gefitinib,0.5673063776917092
control,0.13305158809387702
control,0.1576398526094794
gefitinib,0.6786938625582499
gefitinib,0.8394608667336417
gefitinib,0.6290062437213382
control,0.09576338744495781
control,0.2761944673221619
control,0.12061672316557168
control,0.18391792627781828
gefitinib,0.762518733817101
control,0.13539729261315786
control,0.22703458390120698
control,0.6480388035595618
control,0.4358601759009103
gefitinib,0.673408115913754
gefitinib,0.473107165845423
control,0.4769342915509209
gefitinib,0.9546809598369578
control,0.1439181572807115
control,0.13547609015088244
gefitinib,0.6735215906713552
gefitinib,0.35430666785796844
gefitinib,0.774697647485878
gefitinib,0.5953170358448119
control,0.17329959346018894
gefitinib,0.40225989046802607
control,0.14125112413556656
control,0.6707166695227823
control,0.687525984849201
control,0.14632919640849124
gefitinib,0.07788645811845658
gefitinib,0.6848461205175905
gefitinib,0.4193217582733175
control,0.4199691606364776
control,0.3587419869414048
gefitinib,0.6450372780260569
control,0.06572571697300789
control,0.19506649009619065
gefitinib,0.45778409349042504
control,0.22767065873102696
control,0.14822457964440522
control,0.20447914214007162
control,0.17932185137868284
control,0.4842957893553825
control,0.15878242728999864
gefitinib,0.39905441772719114
control,0.12060307471471818
control,0.6308140480095463
gefitinib,0.6732997086651238
gefitinib,0.6409950543029101
control,0.16939067027069493
control,0.3486147289091801
gefitinib,0.13721448053466076
control,0.12225834172983592
control,0.5190597742989477
gefitinib,0.6261151853026994
gefitinib,0.619096081718248
