Label,Predicted_Probability
osimertinib,0.5063450339517136
osimertinib,0.6037162653089058
control,0.6984781085995139
osimertinib,0.612147589613945
osimertinib,0.5953005902594326
control,0.6231397702232098
control,0.4802763986483548
control,0.5740123098587957
osimertinib,0.5687456698260612
osimertinib,0.5730951907955824
osimertinib,0.5228768777681487
control,0.5775283465995779
control,0.5870713987885101
osimertinib,0.5210241740287975
osimertinib,0.5426661685867905
osimertinib,0.5731661480008872
osimertinib,0.594810587193707
osimertinib,0.5449398076172436
osimertinib,0.6280750746619238
osimertinib,0.5759627528087857
control,0.5672487827672485
control,0.5502515542817946
osimertinib,0.5798346061802151
osimertinib,0.6261679211681224
control,0.5747019296459731
osimertinib,0.4924194696618864
osimertinib,0.4884484118833221
control,0.6277791939159518
osimertinib,0.6027528996047455
control,0.6087296796185774
osimertinib,0.5745040044117432
control,0.542123400687854
control,0.5786719444012697
osimertinib,0.6093114402067438
control,0.6148327770632992
control,0.47531958225295784
control,0.47980784875247673
control,0.49373961040439374
osimertinib,0.6112480187633511
control,0.5143702576128815
osimertinib,0.4188106543387682
osimertinib,0.5754977312958057
osimertinib,0.5713731436132873
osimertinib,0.5690893424513208
osimertinib,0.6001016631284263
osimertinib,0.49695408931466484
osimertinib,0.6368612663809813
control,0.5731204796564089
osimertinib,0.519276021449413
control,0.5822003330622743
control,0.5154067144027119
osimertinib,0.6231805256252638
control,0.5504341476663959
control,0.5675578738240266
control,0.4858486183188206
osimertinib,0.5388702838262138
control,0.5244573659162526
osimertinib,0.5272181131353901
osimertinib,0.6299092090912404
osimertinib,0.6120842810044567
osimertinib,0.6105875514293231
osimertinib,0.5346117109797691
control,0.5965549898558236
osimertinib,0.4993299354853071
osimertinib,0.5961809383066158
control,0.40293870922775854
osimertinib,0.5507561416410963
osimertinib,0.6016527114366401
control,0.6245179247162422
osimertinib,0.5271088389448476
osimertinib,0.6241440290314181
control,0.4515206829689557
osimertinib,0.5221909769268323
control,0.4779916232170297
control,0.5701725651864707
osimertinib,0.5822844142246886
osimertinib,0.6870969378292848
osimertinib,0.5358400381097341
osimertinib,0.5145635627625404
control,0.5802606101637082
control,0.5513158238648075
osimertinib,0.5738431591932073
control,0.5444190994128412
control,0.6507573691730688
osimertinib,0.5951750436711356
osimertinib,0.572770494789099
osimertinib,0.5240289247553692
control,0.4819322522213628
osimertinib,0.6354760858115173
control,0.6154932574163714
control,0.5599219387502774
control,0.5219789867119594
osimertinib,0.5611924847367423
osimertinib,0.5999628702025732
control,0.49179116441576937
osimertinib,0.5546147379959142
osimertinib,0.5963200717289391
osimertinib,0.668610451000039
osimertinib,0.6599159939770705
control,0.5284405927490846
control,0.5593174990709067
osimertinib,0.6202196214504638
osimertinib,0.6623635496135183
control,0.49827676752437383
control,0.5309200684480463
control,0.6099014754926879
control,0.5743208836404626
osimertinib,0.5654915911964838
osimertinib,0.4678829558234433
osimertinib,0.6101648795050555
control,0.4721071311532253
osimertinib,0.531402433017617
control,0.5070072324054298
osimertinib,0.5990960738834443
control,0.5832389019986601
control,0.5664073338690033
control,0.6168537845962115
osimertinib,0.5483141090225754
osimertinib,0.564546396048969
osimertinib,0.49598024605303853
control,0.5013453879008314
osimertinib,0.47517352980919175
osimertinib,0.6647494959597117
control,0.6005172370567357
