Label,Predicted_Probability
control,0.2915105441834059
control,0.27410131779712266
control,0.2092762415538481
control,0.20503849905339228
control,0.24573455013521928
Osi,0.46017454390220924
Osi,0.23961009124027993
Osi,0.20383642160322504
control,0.29643319309461214
control,0.35987019294636174
Osi,0.278839561533882
Osi,0.2583840130183489
control,0.21989566199725963
Osi,0.31833741654336095
control,0.2811599227886325
control,0.2824169539618985
Osi,0.2935429652256869
control,0.30121434505540995
control,0.34892963029133195
Osi,0.39290537513478474
Osi,0.302329820104454
control,0.29549880820197527
control,0.2299606636410642
control,0.2066314603871139
control,0.28337679884854816
control,0.28835044817126876
Osi,0.38791686561781064
Osi,0.3721978666956007
control,0.2114312494814062
control,0.2968919769353656
control,0.28908710324606834
control,0.2737020261721134
Osi,0.2646004206415979
Osi,0.2872608453667021
control,0.34263431507565273
Osi,0.2112449042002993
control,0.24712524229875407
Osi,0.47463099265767517
control,0.34216109720813204
control,0.2625993910015687
control,0.3749489107733301
control,0.2994677402401525
control,0.29120498406316625
Osi,0.3732390042162372
control,0.31647734159521784
Osi,0.2445173110891604
control,0.2903480130939646
control,0.2582479736047558
control,0.3572384268363881
control,0.34825589764886694
Osi,0.37808924681386313
control,0.2725993179803301
Osi,0.4644928406349974
control,0.4967337754313016
control,0.3347508924157851
control,0.36883210403729005
control,0.2987825320652274
control,0.2296220525568251
control,0.3071059467682681
control,0.24671994620928456
Osi,0.2750839539058696
control,0.2625212415680266
control,0.2995998261080902
control,0.19129975098141722
control,0.27966464255392803
control,0.40480946121262845
control,0.5269238518537205
control,0.3296208417626887
control,0.3299397952753787
control,0.26094878259149246
Osi,0.3534251321314309
control,0.27811456687242686
control,0.241171520049173
Osi,0.2953878581902939
Osi,0.2509671567363071
control,0.26316834678833095
Osi,0.35257518995541276
control,0.3798719351132455
Osi,0.28642284439068044
control,0.20492136803257477
Osi,0.37864587982467224
control,0.27720799723540435
control,0.27974216904779403
control,0.23913866840607909
control,0.26187295885353545
Osi,0.28685113847223676
Osi,0.3517262341761128
control,0.35663245822254
control,0.2580450013526062
control,0.22181446454646253
control,0.2608008260186378
control,0.23824259428974068
control,0.2510601261046598
control,0.24515199540507204
control,0.2578072274049289
control,0.3042642922379094
control,0.23603300550384937
control,0.28984293338003336
control,0.32651189283089543
control,0.2982546014457027
control,0.2504563452150928
control,0.23611737903391122
Osi,0.3090488752430066
control,0.3027403689215403
control,0.3043207224996466
control,0.2701999309201623
control,0.2383734627321469
Osi,0.24250055021735079
Osi,0.2573229893207241
