ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_cell,Metadata_cell,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_dish,Metadata_hour,Metadata_hour,Metadata_hour,Metadata_site,Metadata_site,Metadata_treatment,Metadata_treatment,Metadata_treatment
1,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
1,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,0,0,Alm,Alm,Alm
2,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,1,1,Alm,Alm,Alm
2,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,1,1,Alm,Alm,Alm
2,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,1,1,Alm,Alm,Alm
2,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,1,1,Alm,Alm,Alm
3,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,10,10,Alm,Alm,Alm
3,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,10,10,Alm,Alm,Alm
3,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,10,10,Alm,Alm,Alm
3,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,10,10,Alm,Alm,Alm
4,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
4,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
4,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
4,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
4,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
4,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,11,11,Alm,Alm,Alm
5,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
5,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,12,12,Alm,Alm,Alm
6,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
6,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
6,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
6,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
6,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
6,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,13,13,Alm,Alm,Alm
7,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,11,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
7,12,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,14,14,Alm,Alm,Alm
8,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,11,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
8,12,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
9,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
