Label,Predicted_Probability
control,0.33452372284822235
control,0.35964817683894096
control,0.40690259864740036
control,0.3860842013917118
control,0.4163796032050602
Alm,0.45702475046784413
control,0.5044076135644352
control,0.2880269815076304
control,0.5282509189200612
Alm,0.4354742324932207
control,0.4020031381869371
Alm,0.3626575602152176
control,0.30894216324357715
Alm,0.43136129825381164
control,0.2775749344950985
Alm,0.477062438389099
control,0.3375417094894715
Alm,0.45100379098282534
control,0.3383580088276696
control,0.40493354011352006
control,0.3655297319859619
Alm,0.28237926316630546
Alm,0.4689794158650905
Alm,0.4450171780759108
control,0.3448940844095697
control,0.3751548504283561
control,0.39049143079051596
control,0.5326519605009136
Alm,0.4504070856834467
Alm,0.39024746586132336
control,0.3311276563923123
control,0.4097063346654979
control,0.39445808904482027
Alm,0.5306233273573576
Alm,0.32561709334379335
control,0.2244342646862715
control,0.33023566915445096
Alm,0.5727936704677854
control,0.39127546080396314
control,0.32771736328328577
control,0.48517142912298433
control,0.3010550948255716
Alm,0.2984860507350233
Alm,0.522127552234738
control,0.35520703934845355
control,0.43701631447214845
control,0.31945490547910793
control,0.27273197720099074
Alm,0.4100754741456103
Alm,0.40827438888328177
Alm,0.4413821137421949
control,0.3208819255408083
Alm,0.5290695776437769
control,0.31336990612715976
Alm,0.46264717812289796
Alm,0.4082019185707799
control,0.3962261283005379
control,0.3669622923592069
control,0.2339464016265353
control,0.37425534117938036
control,0.41870908998879797
control,0.4234435298353046
control,0.3063410173426711
control,0.3355432818337068
Alm,0.34877298392757883
control,0.23687088604541434
Alm,0.5007567160530513
control,0.31574148754216474
Alm,0.3329765367891251
Alm,0.37214853646034735
control,0.46254982602125533
control,0.30875285997884533
control,0.4433843789614441
control,0.4484813908371619
Alm,0.3589430100771003
control,0.26704372650017333
control,0.37528506766494446
control,0.3825297072113278
Alm,0.3428252178785548
Alm,0.5099779599800811
control,0.3599700340426798
control,0.22673892339688922
control,0.2467767361387625
control,0.324753107019915
Alm,0.5996847613583565
control,0.40184080615871753
Alm,0.37641680378100945
control,0.3290236190414587
control,0.5184627829449674
control,0.30471146522238507
Alm,0.37993016847652805
control,0.3351528126980633
Alm,0.47915271157265416
control,0.20581154660981787
Alm,0.46972626776841536
control,0.32516501504039425
Alm,0.36728594264085834
control,0.29472882259915106
Alm,0.33261101986908
control,0.36495365596172924
control,0.46408183652015567
control,0.3316502914434377
control,0.3349701377338601
Alm,0.4372255679579875
control,0.28068614963321414
Alm,0.4213645659956923
control,0.39772359045193184
control,0.5403725627623575
Alm,0.6042432962114321
control,0.37643895434250574
Alm,0.39433975116182085
control,0.3692797653301624
control,0.46150161086518426
control,0.326254453264008
Alm,0.43869504434350065
control,0.33246093464678717
control,0.5190034394469146
Alm,0.2980683307684534
Alm,0.32050508446639203
control,0.4314482555537051
Alm,0.6740290052443032
Alm,0.4441256980546787
Alm,0.4900626250093221
Alm,0.39357846104044025
Alm,0.3802845154193854
control,0.3710362706336567
Alm,0.4400166592658918
Alm,0.5800760077287058
