Label,Predicted_Probability
Gef,0.41594386358880087
Gef,0.4628992922569413
control,0.45931162838292156
control,0.2605663759918876
Gef,0.3804707158661066
control,0.3741943370114401
control,0.422747516719452
Gef,0.4620772261666654
Gef,0.41582902632733687
control,0.4529024221681629
control,0.453463979765311
control,0.44570563189398893
control,0.44597262442798247
Gef,0.4569797568234047
control,0.39617709522323513
control,0.37791690541818823
control,0.4341865558679192
Gef,0.5055638795010715
control,0.45898241614259894
control,0.46408401213512135
control,0.4345798279863665
Gef,0.5405210543802829
control,0.4625866651079044
control,0.4678675404568371
control,0.42011061179645787
Gef,0.5156876838995179
control,0.4265826824002693
control,0.4355125853203048
control,0.49496381160314123
control,0.42128311459384227
Gef,0.5157903874014054
Gef,0.40239379126435465
Gef,0.3345245150575754
Gef,0.49458186018612393
control,0.4145978784307224
control,0.38568260940432414
control,0.40290789826416307
control,0.3728160732665108
Gef,0.5127791774848223
control,0.36822979971909814
Gef,0.5826021103308978
control,0.42950068113272905
control,0.4369547179906627
control,0.46446226320562395
control,0.4305373081881562
control,0.4872293255303923
control,0.3765813418544406
Gef,0.45987407838968214
Gef,0.4518029814341145
Gef,0.5000615955907808
Gef,0.39236912749647607
Gef,0.5357231493827946
Gef,0.5411326721866265
Gef,0.4962868172767144
control,0.4507154867296938
Gef,0.4281118336230664
Gef,0.4938766490812734
control,0.428957719139765
control,0.44441940773621774
Gef,0.49929493957732135
Gef,0.534850359436694
control,0.4316971278326764
Gef,0.44481450080277635
Gef,0.4523261038418557
Gef,0.4829212985674194
Gef,0.42985726819995645
Gef,0.43161639155831244
Gef,0.310020530549301
control,0.44841778872619614
control,0.46260197268801156
Gef,0.47544633790434065
control,0.3838209733822164
control,0.4000461642460872
control,0.4211807619442343
control,0.31382756220093827
control,0.46247962665841563
control,0.44098558733569326
control,0.47521794450607213
control,0.41739893829331454
Gef,0.44348287427534555
Gef,0.4970162534171463
Gef,0.4511398812499691
Gef,0.48337975233867675
control,0.43055388494517377
Gef,0.44378392517466814
Gef,0.4446020910200129
Gef,0.541866670679656
control,0.5177575772803836
control,0.47038263870025326
control,0.48211329626153904
control,0.44347274163180855
Gef,0.43388019052545185
control,0.40766665676944774
Gef,0.49773810070549906
Gef,0.42119214112009534
Gef,0.45274445152832643
control,0.4515902716787766
control,0.47615637590492244
Gef,0.2910234678390363
Gef,0.4467873957644941
control,0.45183722694943934
control,0.4882956504156931
Gef,0.44356081530334335
Gef,0.41180482471868685
Gef,0.5254326043312945
Gef,0.45728000193349605
control,0.460738695808375
Gef,0.4446523540140962
control,0.4414084872627021
control,0.47741834602544514
control,0.42903739520596496
Gef,0.4305903855219281
control,0.45000521316229014
control,0.45378884403033676
Gef,0.5092068758645546
control,0.4643893067286016
control,0.4547969284692493
control,0.46694829895214796
control,0.29674491729961466
Gef,0.4535821714954853
Gef,0.4778383830633156
control,0.4535586756030675
control,0.40613563068603176
Gef,0.49797497394847856
control,0.45920403607931687
Gef,0.52924660071951
Gef,0.5124096206259224
control,0.4962555056771153
control,0.4245900169096057
Gef,0.5667683987576717
Gef,0.47822021547593385
Gef,0.5276808882973228
control,0.48236441061992197
Gef,0.37049207484858176
control,0.42131433423803655
control,0.3796471904570713
control,0.48943260798257143
control,0.4892931771381129
control,0.40467745655250054
Gef,0.42494503779774695
control,0.35191702235029537
Gef,0.4942564101625724
