Label,Predicted_Probability
Vin,0.3253403576490648
Vin,0.24899827299871208
Vin,0.32011887302578856
control,0.22156589850457803
control,0.22110407167699506
Vin,0.5642418161586098
control,0.212065776036499
Vin,0.26965755012086523
Vin,0.24320361204162433
control,0.18121604093252727
control,0.20820039355233794
control,0.15189876942523198
control,0.23945158067667655
control,0.19611854657418942
control,0.16828986519993167
control,0.23184915894585795
control,0.26249101262215263
control,0.35220246401993716
control,0.13935374968669495
Vin,0.4919952960097696
Vin,0.2988621441568863
control,0.21892556374677818
control,0.17208826609442104
control,0.36654791489218147
Vin,0.1845484469155768
control,0.3551303861019891
control,0.3788931263448586
Vin,0.22064888682477884
control,0.17602698699999092
Vin,0.3426969324828925
Vin,0.487214348444755
control,0.2103929785534114
control,0.20451552395270206
Vin,0.39492011668258425
control,0.1600216284823373
control,0.1947823828156261
control,0.19985933274737788
control,0.14861092319930164
control,0.1958864733558332
Vin,0.2959407216556616
control,0.19514953940248997
Vin,0.21315427676645057
control,0.38459160177002333
control,0.25075087005837543
control,0.16276793782708782
control,0.25613497314313627
control,0.2651768399983955
Vin,0.2822023787408708
control,0.2478952362366707
control,0.15707205295992785
control,0.17416749772646448
control,0.16383397753248
control,0.2198370846785574
control,0.19119656727797574
control,0.4213958710084468
Vin,0.3551712728300883
control,0.11056521457580488
control,0.24159567541005617
control,0.17580926193852858
control,0.2427264241539077
control,0.2181730387686883
control,0.15163362714628845
control,0.20926428608666886
control,0.15470426942462237
control,0.20274386625895957
Vin,0.3342101164441297
control,0.22380265247448738
control,0.28274332033014754
Vin,0.477777877346847
Vin,0.35869633107005433
control,0.26854105045423926
Vin,0.38513407170300984
control,0.18093259971501247
Vin,0.2825739335693669
control,0.31077924780078836
Vin,0.3883014980055986
control,0.20560550687691612
control,0.18169004472652917
control,0.20274695224934627
control,0.18464777072272925
Vin,0.3444021148938751
Vin,0.22498260425864824
control,0.17386374622539463
control,0.1910534691437191
control,0.18481461903010912
control,0.24831322647766152
control,0.1609126884871882
control,0.14330265520367277
control,0.19719178455785874
control,0.3656147885319791
control,0.17629131992105299
control,0.18939795615610658
control,0.1864680736506011
control,0.2770623229797883
Vin,0.18151596457951186
control,0.22221046845251627
control,0.21777414280757457
control,0.227539296747364
Vin,0.2749818902848033
Vin,0.3864146028146391
control,0.19868522149511808
control,0.2305406879292788
control,0.18962547660534573
Vin,0.26971434877352024
control,0.2285794158560513
control,0.16806955790591752
control,0.1886364689675564
