Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value
H1975,2.0,Afa,0,6,22.0,1,0.04374730587005615,0.004443387966603041,0.11092368513345718,0.003815003437921405,0.0949523076415062,0.0013711366336792707,0.20078220963478088,0.0,0.12495605647563934,0.1433739960193634,0.041631877422332764,0.004125682171434164,0.10337605327367783,0.0038616054225713015,0.0,0.0,0.0,0.0,0.0,0.0,0.041631877422332764,0.004125682171434164,0.10337605327367783,0.0038616054225713015,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,0,6,22.0,2,0.12475753575563431,0.005577652249485254,0.13557271659374237,0.004594933241605759,0.06803344935178757,0.0008269528043456376,0.1728108525276184,0.0,0.09089863300323486,0.1060715839266777,0.1576065719127655,0.004703192040324211,0.15797768533229828,0.004655638709664345,0.06353253871202469,0.000533456273842603,0.12814684212207794,0.009248443879187107,0.08180082589387894,0.09354699403047562,0.1576065719127655,0.004703192040324211,0.15797768533229828,0.004655638709664345,0.06353253871202469,0.000533456273842603,0.12814684212207794,0.009248443879187107,0.08180082589387894,0.09354699403047562
H1975,2.0,Afa,0,6,22.0,3,0.0704764723777771,0.007912706583738327,0.14192673563957214,0.00579404179006815,0.07742339372634888,0.0019334547687321901,0.18012094497680664,0.0,0.11152506619691849,0.13453125953674316,0.11158151924610138,0.009141679853200912,0.1544923037290573,0.006027901545166969,0.0,0.0,0.0,0.0,0.0,0.0,0.11158151924610138,0.009141679853200912,0.1544923037290573,0.006027901545166969,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,0,6,22.0,4,0.09959258139133453,0.0048917196691036224,0.11155765503644943,0.004144615959376097,0.052308015525341034,0.0013946392573416233,0.17018282413482666,0.0,0.08264980465173721,0.10307212918996811,0.10629204660654068,0.0054162065498530865,0.11795681715011597,0.004634655546396971,0.08252517879009247,0.0022552027367055416,0.2466912567615509,0.0,0.12076858431100845,0.14542947709560394,0.10811073333024979,0.005312259774655104,0.11795681715011597,0.004634655546396971,0.08252517879009247,0.0022552027367055416,0.2466912567615509,0.0,0.12076858431100845,0.14542947709560394
H1975,2.0,Afa,0,6,22.0,5,0.08703529089689255,0.0026212434750050306,0.08819998800754547,0.0025535947643220425,0.046058520674705505,0.0004021335334982723,0.12603987753391266,0.0,0.06197240948677063,0.07271388173103333,0.11334829777479172,0.0027998529840260744,0.11537675559520721,0.002615921897813678,0.06131817772984505,0.0004939831560477614,0.12819409370422363,0.002341547980904579,0.07895736396312714,0.08949741721153259,0.1152181476354599,0.0026306004729121923,0.11537675559520721,0.002615921897813678,0.06143631041049957,0.0004931334988214076,0.12819409370422363,0.002341547980904579,0.07908404618501663,0.08943447470664978
H1975,2.0,Afa,1,6,22.0,1,0.047479260712862015,0.006513806525617838,0.14249089360237122,0.00601041316986084,0.10531537234783173,0.004962016362696886,0.34426116943359375,0.0,0.1622919738292694,0.20149827003479004,0.07808364927768707,0.009408834390342236,0.15814927220344543,0.006394169293344021,0.0,0.0,0.0,0.0,0.0,0.0,0.07808364927768707,0.009408834390342236,0.15814927220344543,0.006394169293344021,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,1,6,22.0,2,0.12697507441043854,0.0065696570090949535,0.13566312193870544,0.005840528756380081,0.052159540355205536,0.0010003852657973766,0.16554707288742065,0.0,0.07780510932207108,0.09388961642980576,0.15639911592006683,0.00745679484680295,0.16328836977481842,0.0066603245213627815,0.0503196083009243,0.0007569858571514487,0.10640557110309601,0.0,0.07246372103691101,0.08844926953315735,0.15683750808238983,0.007408939301967621,0.16328836977481842,0.0066603245213627815,0.0503196083009243,0.0007569858571514487,0.10640557110309601,0.0,0.07246372103691101,0.08844926953315735
H1975,2.0,Afa,1,6,22.0,3,0.09941466897726059,0.0040752398781478405,0.10436761379241943,0.0037613457534462214,0.058755941689014435,0.0006427748594433069,0.1435668170452118,0.0,0.07902541756629944,0.09102415293455124,0.12068645656108856,0.004017488099634647,0.12200253456830978,0.003900734940543771,0.0,0.0,0.0,0.0,0.0,0.0,0.12068645656108856,0.004017488099634647,0.12200253456830978,0.003900734940543771,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,10,6,22.0,1,0.09359655529260635,0.005601811688393354,0.10777553170919418,0.0049222842790186405,0.0393725223839283,0.0007079084170982242,0.19340719282627106,0.0,0.06099873036146164,0.07408809661865234,0.12145713716745377,0.007531608454883099,0.13920176029205322,0.006161877419799566,0.06429150700569153,0.0011815701145678759,0.17240817844867706,0.0,0.09206850081682205,0.1083759143948555,0.12287899106740952,0.0074450611136853695,0.13920176029205322,0.006161877419799566,0.06429150700569153,0.0011815701145678759,0.17240817844867706,0.0,0.09206850081682205,0.1083759143948555
H1975,2.0,Afa,10,6,22.0,2,0.038395956158638,0.005089043639600277,0.1273808777332306,0.005548229441046715,0.1346401423215866,0.008729315362870693,0.4245525598526001,0.0,0.21182158589363098,0.2574462890625,0.06318186968564987,0.006674231495708227,0.12666864693164825,0.005338889081031084,0.048139676451683044,0.0021356153301894665,0.15951979160308838,0.0,0.08742368966341019,0.11466753482818604,0.06318186968564987,0.006674231495708227,0.12666864693164825,0.005338889081031084,0.048139676451683044,0.0021356153301894665,0.15951979160308838,0.0,0.08742368966341019,0.11466753482818604
