Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,Afa,0,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,0,6,22.0,2,-0.23373916518108126
H1975,2.0,Afa,0,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,0,6,22.0,4,0.11131058639198649
H1975,2.0,Afa,0,6,22.0,5,-0.26067128933555417
H1975,2.0,Afa,1,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,1,6,22.0,2,-0.2676421025015558
H1975,2.0,Afa,1,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,10,6,22.0,1,-0.1351179160515233
H1975,2.0,Afa,10,6,22.0,2,-0.09327485189463712
H1975,2.0,Afa,10,6,22.0,3,0.1277170700607094
H1975,2.0,Afa,10,6,22.0,4,-0.855883001475572
H1975,2.0,Afa,10,6,22.0,5,-0.855883001475572
H1975,2.0,Afa,10,6,22.0,6,0.6630598631419788
H1975,2.0,Afa,10,6,22.0,7,0.29887114643843665
H1975,2.0,Afa,11,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,11,6,22.0,2,-0.0386848323286378
H1975,2.0,Afa,12,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,12,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,12,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,12,6,22.0,4,-0.13106520182040213
H1975,2.0,Afa,13,6,22.0,1,-0.5446328984822583
H1975,2.0,Afa,13,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,13,6,22.0,3,-0.3554977363929969
H1975,2.0,Afa,14,6,22.0,1,0.1819379853668737
H1975,2.0,Afa,14,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,14,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,14,6,22.0,4,-0.10165112528697165
H1975,2.0,Afa,15,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,15,6,22.0,2,-0.19426978480230223
H1975,2.0,Afa,15,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,15,6,22.0,4,-0.19832671085542486
H1975,2.0,Afa,15,6,22.0,5,-0.17034465380235664
H1975,2.0,Afa,16,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,16,6,22.0,2,-0.4762107351808593
H1975,2.0,Afa,16,6,22.0,3,0.46513931109153817
H1975,2.0,Afa,16,6,22.0,4,-0.855883001475572
H1975,2.0,Afa,17,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,17,6,22.0,2,-0.25910305457659166
H1975,2.0,Afa,18,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,18,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,18,6,22.0,3,-0.3155440460349424
H1975,2.0,Afa,18,6,22.0,4,-0.855883001475572
H1975,2.0,Afa,19,6,22.0,1,0.11813690928792822
H1975,2.0,Afa,19,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,2,6,22.0,1,-0.39523791215102116
H1975,2.0,Afa,2,6,22.0,2,-0.4089029952055198
H1975,2.0,Afa,2,6,22.0,3,0.22337458392523327
H1975,2.0,Afa,20,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,20,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,3,6,22.0,1,0.5880045013710989
H1975,2.0,Afa,4,6,22.0,1,-0.4110332356719652
H1975,2.0,Afa,4,6,22.0,2,-0.41155649261703886
H1975,2.0,Afa,5,6,22.0,1,-0.855883001475572
H1975,2.0,Afa,5,6,22.0,2,-0.855883001475572
H1975,2.0,Afa,5,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,5,6,22.0,4,-0.855883001475572
H1975,2.0,Afa,7,6,22.0,1,-0.32488482666552126
H1975,2.0,Afa,7,6,22.0,2,0.37193228481808177
H1975,2.0,Afa,7,6,22.0,3,-0.855883001475572
H1975,2.0,Afa,8,6,22.0,1,-0.3819236986446355
H1975,2.0,Afa,9,6,22.0,1,0.18402110297775476
H1975,2.0,Afa,9,6,22.0,2,-0.07113008282996643
H1975,2.0,control,0,1,0.0,1,-0.23815330329074139
H1975,2.0,control,0,1,0.0,2,1.5587115416011015
H1975,2.0,control,0,1,0.0,3,0.2877623420335041
H1975,2.0,control,1,1,0.0,1,-0.855883001475572
H1975,2.0,control,1,1,0.0,2,-0.855883001475572
H1975,2.0,control,10,1,0.0,1,1.2524722432424569
H1975,2.0,control,11,1,0.0,1,1.0788070290368459
H1975,2.0,control,12,1,0.0,1,0.6892168633957132
H1975,2.0,control,13,1,0.0,1,-0.855883001475572
H1975,2.0,control,13,1,0.0,2,0.18506196807133563
H1975,2.0,control,14,1,0.0,1,1.8003224629380967
H1975,2.0,control,15,1,0.0,1,1.2099037051335984
H1975,2.0,control,15,1,0.0,2,-0.855883001475572
H1975,2.0,control,15,1,0.0,3,-0.855883001475572
H1975,2.0,control,16,1,0.0,1,-0.855883001475572
H1975,2.0,control,16,1,0.0,2,-0.855883001475572
H1975,2.0,control,16,1,0.0,3,-0.855883001475572
H1975,2.0,control,16,1,0.0,4,-0.855883001475572
H1975,2.0,control,16,1,0.0,5,-0.855883001475572
H1975,2.0,control,16,1,0.0,6,-0.855883001475572
H1975,2.0,control,16,1,0.0,7,-0.855883001475572
H1975,2.0,control,16,1,0.0,8,-0.855883001475572
H1975,2.0,control,17,1,0.0,1,-0.855883001475572
H1975,2.0,control,17,1,0.0,2,-0.855883001475572
