Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,Dac,1,2,7.0,1,-0.4210929401184437
H1975,2.0,Dac,1,2,7.0,2,-1.8422613422823335
H1975,2.0,Dac,1,2,7.0,3,-1.5448130997561333
H1975,2.0,Dac,10,2,7.0,1,-2.0810422264015553
H1975,2.0,Dac,10,2,7.0,2,-1.9094731136054546
H1975,2.0,Dac,11,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,11,2,7.0,2,-2.0379093292300547
H1975,2.0,Dac,11,2,7.0,3,-2.229350168564229
H1975,2.0,Dac,12,2,7.0,1,-2.3551762112338577
H1975,2.0,Dac,12,2,7.0,2,-2.425557247663991
H1975,2.0,Dac,13,2,7.0,1,-2.1385427920137525
H1975,2.0,Dac,13,2,7.0,2,-2.2157594799026343
H1975,2.0,Dac,13,2,7.0,3,-1.5448130997561333
H1975,2.0,Dac,13,2,7.0,4,-1.5448130997561333
H1975,2.0,Dac,14,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,14,2,7.0,2,-1.5448130997561333
H1975,2.0,Dac,2,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,2,2,7.0,2,-1.5448130997561333
H1975,2.0,Dac,2,2,7.0,3,-2.2283010375568706
H1975,2.0,Dac,3,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,4,2,7.0,1,-1.7204964250211163
H1975,2.0,Dac,4,2,7.0,2,0.20727164610420462
H1975,2.0,Dac,5,2,7.0,1,-1.434151671781016
H1975,2.0,Dac,5,2,7.0,2,-1.458413229918234
H1975,2.0,Dac,5,2,7.0,3,-0.31894884533526835
H1975,2.0,Dac,6,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,6,2,7.0,2,-0.29878736574820336
H1975,2.0,Dac,6,2,7.0,3,-0.8814503346529716
H1975,2.0,Dac,6,2,7.0,4,-0.8608541213396371
H1975,2.0,Dac,6,2,7.0,5,-1.5448130997561333
H1975,2.0,Dac,6,2,7.0,6,-0.8180564919843462
H1975,2.0,Dac,6,2,7.0,7,-1.8747227450614994
H1975,2.0,Dac,7,2,7.0,1,-0.8821067055065774
H1975,2.0,Dac,7,2,7.0,2,-2.3530908641645296
H1975,2.0,Dac,7,2,7.0,3,-2.080014446715204
H1975,2.0,Dac,8,2,7.0,1,-1.681188122282379
H1975,2.0,Dac,8,2,7.0,2,-1.7109843594358813
H1975,2.0,Dac,8,2,7.0,3,-1.5448130997561333
H1975,2.0,Dac,8,2,7.0,4,-1.5448130997561333
H1975,2.0,Dac,8,2,7.0,5,-1.5448130997561333
H1975,2.0,Dac,8,2,7.0,6,-1.5448130997561333
H1975,2.0,Dac,8,2,7.0,7,-1.6594937219997608
H1975,2.0,Dac,9,2,7.0,1,-1.5448130997561333
H1975,2.0,Dac,9,2,7.0,2,-1.5448130997561333
H1975,2.0,control,0,1,0.0,1,1.1018607504829097
H1975,2.0,control,0,1,0.0,2,-1.3160755337203984
H1975,2.0,control,1,1,0.0,1,-1.1887085505907418
H1975,2.0,control,10,1,0.0,1,0.06311002632840298
H1975,2.0,control,12,1,0.0,1,-0.24978681310548534
H1975,2.0,control,13,1,0.0,1,-0.23244287466912736
H1975,2.0,control,15,1,0.0,1,0.539959806125836
H1975,2.0,control,15,1,0.0,2,0.0
H1975,2.0,control,15,1,0.0,3,1.5888812580804625
H1975,2.0,control,16,1,0.0,1,-1.1003717822627965
H1975,2.0,control,16,1,0.0,2,0.16283465190668026
H1975,2.0,control,16,1,0.0,3,-0.7070494117745633
H1975,2.0,control,16,1,0.0,4,-1.7841891861838457
H1975,2.0,control,16,1,0.0,5,-0.5978695880318818
H1975,2.0,control,17,1,0.0,1,-1.235638129248518
H1975,2.0,control,17,1,0.0,2,-0.3746874582768127
H1975,2.0,control,18,1,0.0,1,-0.14400299508363448
H1975,2.0,control,19,1,0.0,1,-0.5059739190267349
H1975,2.0,control,2,1,0.0,1,2.1906735524689567
H1975,2.0,control,2,1,0.0,2,0.6429927407796368
H1975,2.0,control,20,1,0.0,1,1.6343222851292671
H1975,2.0,control,20,1,0.0,2,-0.7758310780320578
H1975,2.0,control,20,1,0.0,3,1.2152177258369423
H1975,2.0,control,20,1,0.0,4,-0.6229131252818996
H1975,2.0,control,3,1,0.0,1,0.0
H1975,2.0,control,4,1,0.0,1,-0.24662056842925054
H1975,2.0,control,5,1,0.0,1,-0.3533159316289424
H1975,2.0,control,5,1,0.0,2,1.4864199139129506
H1975,2.0,control,5,1,0.0,3,0.887253102938882
H1975,2.0,control,6,1,0.0,1,-0.34030516567646907
H1975,2.0,control,6,1,0.0,2,1.3964114933792975
H1975,2.0,control,7,1,0.0,1,0.8964343792776793
H1975,2.0,control,7,1,0.0,2,-1.1123133157203289
H1975,2.0,control,9,1,0.0,1,-0.9182762599044271
