Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,Gef,0,3,50.0,1,0.3836560546278171
H1975,2.0,Gef,0,3,50.0,2,0.5956490506471
H1975,2.0,Gef,1,3,50.0,1,0.9018932350661917
H1975,2.0,Gef,1,3,50.0,2,-0.13789980312787992
H1975,2.0,Gef,11,3,50.0,1,-1.1669302031630895
H1975,2.0,Gef,11,3,50.0,2,-0.0368712317131067
H1975,2.0,Gef,12,3,50.0,1,-0.830040936389465
H1975,2.0,Gef,12,3,50.0,2,-0.22487804955977794
H1975,2.0,Gef,13,3,50.0,1,0.9616131923825304
H1975,2.0,Gef,13,3,50.0,2,-0.4868593832385365
H1975,2.0,Gef,13,3,50.0,3,0.3784692459147752
H1975,2.0,Gef,13,3,50.0,4,0.685767039910998
H1975,2.0,Gef,14,3,50.0,1,-0.9649819100735891
H1975,2.0,Gef,14,3,50.0,2,-1.0750003720443306
H1975,2.0,Gef,14,3,50.0,3,3.0828200657244027
H1975,2.0,Gef,15,3,50.0,1,1.0766886886957037
H1975,2.0,Gef,15,3,50.0,2,-0.6311524438295172
H1975,2.0,Gef,15,3,50.0,3,-1.02442565420304
H1975,2.0,Gef,2,3,50.0,1,0.07855796745929325
H1975,2.0,Gef,2,3,50.0,2,-0.5166283323622645
H1975,2.0,Gef,3,3,50.0,1,-0.2775504044990742
H1975,2.0,Gef,3,3,50.0,2,-0.5149902173534541
H1975,2.0,Gef,4,3,50.0,1,-0.5480470616067665
H1975,2.0,Gef,5,3,50.0,1,-0.7631117315731388
H1975,2.0,Gef,5,3,50.0,2,-0.13789980312787992
H1975,2.0,Gef,5,3,50.0,3,-0.02951846167483473
H1975,2.0,Gef,6,3,50.0,1,-0.13789980312787992
H1975,2.0,Gef,7,3,50.0,1,-0.7826745409497098
H1975,2.0,Gef,8,3,50.0,1,-0.86235600450514
H1975,2.0,Gef,8,3,50.0,2,-0.03629360036526395
H1975,2.0,Gef,8,3,50.0,3,-1.0805629640071057
H1975,2.0,Gef,8,3,50.0,4,-0.13789980312787992
H1975,2.0,Gef,8,3,50.0,5,1.54154381711505
H1975,2.0,Gef,9,3,50.0,1,-1.0575687369626654
H1975,2.0,Gef,9,3,50.0,2,-1.0511100144342893
H1975,2.0,control,0,1,0.0,1,1.1018607504829097
H1975,2.0,control,0,1,0.0,2,-1.3160755337203984
H1975,2.0,control,1,1,0.0,1,-1.1887085505907418
H1975,2.0,control,10,1,0.0,1,0.06311002632840298
H1975,2.0,control,12,1,0.0,1,-0.24978681310548534
H1975,2.0,control,13,1,0.0,1,-0.23244287466912736
H1975,2.0,control,15,1,0.0,1,0.539959806125836
H1975,2.0,control,15,1,0.0,2,0.0
H1975,2.0,control,15,1,0.0,3,1.5888812580804625
H1975,2.0,control,16,1,0.0,1,-1.1003717822627965
H1975,2.0,control,16,1,0.0,2,0.16283465190668026
H1975,2.0,control,16,1,0.0,3,-0.7070494117745633
H1975,2.0,control,16,1,0.0,4,-1.7841891861838457
H1975,2.0,control,16,1,0.0,5,-0.5978695880318818
H1975,2.0,control,17,1,0.0,1,-1.235638129248518
H1975,2.0,control,17,1,0.0,2,-0.3746874582768127
H1975,2.0,control,18,1,0.0,1,-0.14400299508363448
H1975,2.0,control,19,1,0.0,1,-0.5059739190267349
H1975,2.0,control,2,1,0.0,1,2.1906735524689567
H1975,2.0,control,2,1,0.0,2,0.6429927407796368
H1975,2.0,control,20,1,0.0,1,1.6343222851292671
H1975,2.0,control,20,1,0.0,2,-0.7758310780320578
H1975,2.0,control,20,1,0.0,3,1.2152177258369423
H1975,2.0,control,20,1,0.0,4,-0.6229131252818996
H1975,2.0,control,3,1,0.0,1,0.0
H1975,2.0,control,4,1,0.0,1,-0.24662056842925054
H1975,2.0,control,5,1,0.0,1,-0.3533159316289424
H1975,2.0,control,5,1,0.0,2,1.4864199139129506
H1975,2.0,control,5,1,0.0,3,0.887253102938882
H1975,2.0,control,6,1,0.0,1,-0.34030516567646907
H1975,2.0,control,6,1,0.0,2,1.3964114933792975
H1975,2.0,control,7,1,0.0,1,0.8964343792776793
H1975,2.0,control,7,1,0.0,2,-1.1123133157203289
H1975,2.0,control,9,1,0.0,1,-0.9182762599044271
