Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,Osi,0,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,0,4,4.0,2,-0.3164302629348142
H1975,2.0,Osi,0,4,4.0,3,-0.855883001475572
H1975,2.0,Osi,0,4,4.0,4,0.045399932549824204
H1975,2.0,Osi,0,4,4.0,5,0.0787214897816103
H1975,2.0,Osi,1,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,1,4,4.0,2,-0.855883001475572
H1975,2.0,Osi,1,4,4.0,3,-0.29488927094170814
H1975,2.0,Osi,10,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,10,4,4.0,2,-0.3770483412504348
H1975,2.0,Osi,10,4,4.0,3,-0.855883001475572
H1975,2.0,Osi,10,4,4.0,4,0.06389904759206566
H1975,2.0,Osi,11,4,4.0,1,-0.365999096963682
H1975,2.0,Osi,11,4,4.0,2,-0.2935091311982284
H1975,2.0,Osi,11,4,4.0,3,-0.5256751407995243
H1975,2.0,Osi,11,4,4.0,4,-0.2517514927016933
H1975,2.0,Osi,11,4,4.0,5,-0.855883001475572
H1975,2.0,Osi,12,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,12,4,4.0,2,-0.22283426251184718
H1975,2.0,Osi,12,4,4.0,3,-0.3400063577679885
H1975,2.0,Osi,13,4,4.0,1,0.47141244833077517
H1975,2.0,Osi,13,4,4.0,2,-0.855883001475572
H1975,2.0,Osi,13,4,4.0,3,-0.11940073421641112
H1975,2.0,Osi,13,4,4.0,4,-0.3687285062729145
H1975,2.0,Osi,14,4,4.0,1,-0.3495212105243292
H1975,2.0,Osi,14,4,4.0,2,-0.2577052747315552
H1975,2.0,Osi,14,4,4.0,3,-0.855883001475572
H1975,2.0,Osi,15,4,4.0,1,-0.12256534861547175
H1975,2.0,Osi,15,4,4.0,2,-0.05891376744214099
H1975,2.0,Osi,15,4,4.0,3,-0.16632935046077454
H1975,2.0,Osi,15,4,4.0,4,0.02352382817797435
H1975,2.0,Osi,2,4,4.0,1,-0.01562550327957081
H1975,2.0,Osi,2,4,4.0,2,-0.4444373446149723
H1975,2.0,Osi,2,4,4.0,3,-0.855883001475572
H1975,2.0,Osi,2,4,4.0,4,0.047203484281528145
H1975,2.0,Osi,2,4,4.0,5,-0.855883001475572
H1975,2.0,Osi,3,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,3,4,4.0,2,-0.13636213782148596
H1975,2.0,Osi,3,4,4.0,3,-0.855883001475572
H1975,2.0,Osi,3,4,4.0,4,-0.855883001475572
H1975,2.0,Osi,3,4,4.0,5,-0.855883001475572
H1975,2.0,Osi,4,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,4,4,4.0,2,-0.32509422854524495
H1975,2.0,Osi,4,4,4.0,3,0.3046528383764199
H1975,2.0,Osi,4,4,4.0,4,-0.855883001475572
H1975,2.0,Osi,5,4,4.0,1,-0.855883001475572
H1975,2.0,Osi,5,4,4.0,2,-0.3935037811560643
H1975,2.0,Osi,5,4,4.0,3,-0.855883001475572
