Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,Vin,0,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,0,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,0,5,70.0,3,-2.0518622612792794
H1975,2.0,Vin,0,5,70.0,4,-1.6421514723264246
H1975,2.0,Vin,1,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,1,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,10,5,70.0,1,-1.6277289972021518
H1975,2.0,Vin,10,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,11,5,70.0,1,-1.6703401930715724
H1975,2.0,Vin,11,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,12,5,70.0,1,-2.2868633366634614
H1975,2.0,Vin,12,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,13,5,70.0,1,-2.0177011891951295
H1975,2.0,Vin,13,5,70.0,2,-2.0396758646232653
H1975,2.0,Vin,14,5,70.0,1,-1.7553728184354094
H1975,2.0,Vin,15,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,15,5,70.0,2,-1.8408546547626876
H1975,2.0,Vin,15,5,70.0,3,-1.6421514723264246
H1975,2.0,Vin,16,5,70.0,1,-1.7293946140891896
H1975,2.0,Vin,17,5,70.0,1,-1.041036565335735
H1975,2.0,Vin,17,5,70.0,2,-2.226422329613781
H1975,2.0,Vin,17,5,70.0,3,-1.6421514723264246
H1975,2.0,Vin,18,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,18,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,19,5,70.0,1,-1.4889687408773205
H1975,2.0,Vin,19,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,19,5,70.0,3,-1.8611161210237381
H1975,2.0,Vin,2,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,2,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,20,5,70.0,1,-1.4132444582504704
H1975,2.0,Vin,20,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,22,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,22,5,70.0,2,-1.3614780242386049
H1975,2.0,Vin,22,5,70.0,3,-1.490141709546523
H1975,2.0,Vin,22,5,70.0,4,-1.8698814111376374
H1975,2.0,Vin,22,5,70.0,5,-0.40436850244966105
H1975,2.0,Vin,23,5,70.0,1,-2.1446753080182495
H1975,2.0,Vin,23,5,70.0,2,-1.2777745967220737
H1975,2.0,Vin,23,5,70.0,3,-0.7842405822310218
H1975,2.0,Vin,3,5,70.0,1,-1.810551818460987
H1975,2.0,Vin,3,5,70.0,2,-2.1883339684504617
H1975,2.0,Vin,4,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,4,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,4,5,70.0,3,-1.6421514723264246
H1975,2.0,Vin,4,5,70.0,4,-2.192952102955206
H1975,2.0,Vin,4,5,70.0,5,-1.9248037786999839
H1975,2.0,Vin,5,5,70.0,1,-1.703985292256838
H1975,2.0,Vin,6,5,70.0,1,-1.6421514723264246
H1975,2.0,Vin,6,5,70.0,2,-1.211202427654108
H1975,2.0,Vin,7,5,70.0,1,-0.565269557895344
H1975,2.0,Vin,7,5,70.0,2,-1.6421514723264246
H1975,2.0,Vin,7,5,70.0,3,-1.6421514723264246
H1975,2.0,Vin,8,5,70.0,1,-1.6421514723264246
H1975,2.0,control,0,1,0.0,1,1.1018607504829097
H1975,2.0,control,0,1,0.0,2,-1.3160755337203984
H1975,2.0,control,1,1,0.0,1,-1.1887085505907418
H1975,2.0,control,10,1,0.0,1,0.06311002632840298
H1975,2.0,control,12,1,0.0,1,-0.24978681310548534
H1975,2.0,control,13,1,0.0,1,-0.23244287466912736
H1975,2.0,control,15,1,0.0,1,0.539959806125836
H1975,2.0,control,15,1,0.0,2,0.0
H1975,2.0,control,15,1,0.0,3,1.5888812580804625
H1975,2.0,control,16,1,0.0,1,-1.1003717822627965
H1975,2.0,control,16,1,0.0,2,0.16283465190668026
H1975,2.0,control,16,1,0.0,3,-0.7070494117745633
H1975,2.0,control,16,1,0.0,4,-1.7841891861838457
H1975,2.0,control,16,1,0.0,5,-0.5978695880318818
H1975,2.0,control,17,1,0.0,1,-1.235638129248518
H1975,2.0,control,17,1,0.0,2,-0.3746874582768127
H1975,2.0,control,18,1,0.0,1,-0.14400299508363448
H1975,2.0,control,19,1,0.0,1,-0.5059739190267349
H1975,2.0,control,2,1,0.0,1,2.1906735524689567
H1975,2.0,control,2,1,0.0,2,0.6429927407796368
H1975,2.0,control,20,1,0.0,1,1.6343222851292671
H1975,2.0,control,20,1,0.0,2,-0.7758310780320578
H1975,2.0,control,20,1,0.0,3,1.2152177258369423
H1975,2.0,control,20,1,0.0,4,-0.6229131252818996
H1975,2.0,control,3,1,0.0,1,0.0
H1975,2.0,control,4,1,0.0,1,-0.24662056842925054
H1975,2.0,control,5,1,0.0,1,-0.3533159316289424
H1975,2.0,control,5,1,0.0,2,1.4864199139129506
H1975,2.0,control,5,1,0.0,3,0.887253102938882
H1975,2.0,control,6,1,0.0,1,-0.34030516567646907
H1975,2.0,control,6,1,0.0,2,1.3964114933792975
H1975,2.0,control,7,1,0.0,1,0.8964343792776793
H1975,2.0,control,7,1,0.0,2,-1.1123133157203289
H1975,2.0,control,9,1,0.0,1,-0.9182762599044271
