ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,22,2,Afa,0.9806624370030818,False,0.9159771656322072
2,0,22,2,Afa,0.9524874092243303,True,0.8878021378534557
3,0,22,2,Afa,0.9721653737784217,False,0.9074801024075472
4,0,22,2,Afa,0.8151159659187937,False,0.7504306945479191
5,0,22,2,Afa,0.9287192768394851,False,0.8640340054686105
6,0,22,2,Afa,0.9357787626549083,False,0.8710934912840338
7,0,22,2,Afa,0.9808932776323944,False,0.9162080062615199
8,0,22,2,Afa,0.9639571299466854,False,0.8992718585758108
9,0,22,2,Afa,0.9892653860400846,True,0.9245801146692101
10,0,22,2,Afa,0.9606805442424424,False,0.8959952728715679
11,0,22,2,Afa,0.9870081034109001,False,0.9223228320400255
12,0,22,2,Afa,0.9747284116496531,True,0.9100431402787785
13,0,22,2,Afa,0.9900604908397342,False,0.9253752194688597
14,0,22,2,Afa,0.96898370869571,True,0.9042984373248355
15,0,22,2,Afa,0.596505774301158,True,0.5318205029302835
16,0,22,2,Afa,0.7978425910789133,False,0.7331573197080388
17,0,22,2,Afa,0.956680445003298,False,0.8919951736324234
18,0,22,2,Afa,0.9410889490478883,False,0.8764036776770138
19,0,22,2,Afa,0.9963158097423328,False,0.9316305383714583
20,0,22,2,Afa,0.9715196053963495,False,0.906834334025475
21,0,22,2,Afa,0.7990737705774825,True,0.734388499206608
22,0,22,2,Afa,0.7199657350545443,True,0.6552804636836698
23,0,22,2,Afa,0.9778567567370183,False,0.9131714853661438
24,0,22,2,Afa,0.9926159299012738,False,0.9279306585303992
25,0,22,2,Afa,0.9643893188096129,False,0.8997040474387383
26,0,22,2,Afa,0.8957437978768183,False,0.8310585265059438
27,0,22,2,Afa,0.9725737107575465,False,0.907888439386672
1,1,22,2,Afa,0.8567611411205254,True,0.7920758697496508
2,1,22,2,Afa,0.8387376991019331,False,0.7740524277310585
3,1,22,2,Afa,0.9049060301608993,False,0.8402207587900248
4,1,22,2,Afa,0.8694135543181385,False,0.804728282947264
5,1,22,2,Afa,0.7630338499903937,False,0.6983485786195192
6,1,22,2,Afa,0.7569476416935703,True,0.6922623703226958
7,1,22,2,Afa,0.9955235749845126,False,0.9308383036136381
8,1,22,2,Afa,0.9776775432208344,True,0.9129922718499599
9,1,22,2,Afa,0.9845356583422209,False,0.9198503869713464
10,1,22,2,Afa,0.9721853615965905,True,0.907500090225716
11,1,22,2,Afa,0.9562410724793795,False,0.891555801108505
12,1,22,2,Afa,0.857421214723951,False,0.7927359433530765
13,1,22,2,Afa,0.9098456237811463,False,0.8451603524102718
1,10,22,2,Afa,0.9926877647999266,True,0.9280024934290521
2,10,22,2,Afa,0.9910487399503503,False,0.9263634685794757
3,10,22,2,Afa,0.9989757726105946,False,0.93429050123972
4,10,22,2,Afa,0.9889005777871654,True,0.9242153064162909
5,10,22,2,Afa,0.9973588677836904,False,0.9326735964128159
6,10,22,2,Afa,0.9141592651596133,False,0.8494739937887388
7,10,22,2,Afa,0.9923191520077378,False,0.9276338806368633
8,10,22,2,Afa,0.9970084712983546,True,0.93232319992748
9,10,22,2,Afa,0.9959911342788852,True,0.9313058629080107
10,10,22,2,Afa,0.9994397261549153,True,0.9347544547840407
11,10,22,2,Afa,0.9534774207210053,True,0.8887921493501307
12,10,22,2,Afa,0.9933165639370027,False,0.9286312925661282
13,10,22,2,Afa,0.9866231032083942,True,0.9219378318375197
14,10,22,2,Afa,0.9967844238886174,True,0.9320991525177429
15,10,22,2,Afa,0.9933992733527843,True,0.9287140019819098
16,10,22,2,Afa,0.979071704201022,False,0.9143864328301474
17,10,22,2,Afa,0.9927125310347662,False,0.9280272596638917
18,10,22,2,Afa,0.9917894206679703,False,0.9271041492970957
19,10,22,2,Afa,0.9973674416082747,True,0.9326821702374002
20,10,22,2,Afa,0.9896970495443084,False,0.9250117781734338
21,10,22,2,Afa,0.996072117668892,False,0.9313868462980175
22,10,22,2,Afa,0.9998547756170473,True,0.9351695042461727
