ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,22,2,Afa,0.8960567934548245,False,0.727098655801024
2,0,22,2,Afa,0.5237328199079084,True,0.3547746822541079
3,0,22,2,Afa,0.862333837383715,False,0.6933756997299145
4,0,22,2,Afa,0.8511158382373042,False,0.6821577005835037
5,0,22,2,Afa,0.8409920669416397,False,0.6720339292878392
6,0,22,2,Afa,0.9593592024480373,False,0.7904010647942368
7,0,22,2,Afa,0.7701724700355068,False,0.6012143323817063
8,0,22,2,Afa,0.799781918681117,False,0.6308237810273165
9,0,22,2,Afa,0.9307212948276098,True,0.7617631571738093
10,0,22,2,Afa,0.8376028285090552,False,0.6686446908552547
11,0,22,2,Afa,0.9718910315189682,False,0.8029328938651676
12,0,22,2,Afa,0.6681210075234473,True,0.49916286986964675
13,0,22,2,Afa,0.711754288527561,False,0.5427961508737604
14,0,22,2,Afa,0.9068684471057009,True,0.7379103094519004
15,0,22,2,Afa,0.20866077356258989,True,0.039702635908789335
16,0,22,2,Afa,0.9322514802338185,False,0.763293342580018
17,0,22,2,Afa,0.9785636540962711,False,0.8096055164424706
18,0,22,2,Afa,0.8072373729338453,False,0.6382792352800448
19,0,22,2,Afa,0.7719451846503746,False,0.6029870469965741
20,0,22,2,Afa,0.9003656692050388,False,0.7314075315512383
21,0,22,2,Afa,0.8278553628613674,True,0.6588972252075669
22,0,22,2,Afa,0.9988799424150312,True,0.8299218047612307
23,0,22,2,Afa,0.9176345469910429,False,0.7486764093372423
24,0,22,2,Afa,0.9825635868029655,False,0.813605449149165
25,0,22,2,Afa,0.9634384869849585,False,0.794480349331158
26,0,22,2,Afa,0.9532916249287847,False,0.7843334872749842
27,0,22,2,Afa,0.8974101687223595,False,0.7284520310685589
1,1,22,2,Afa,0.8512087692284279,True,0.6822506315746274
2,1,22,2,Afa,0.8884194477589349,False,0.7194613101051344
3,1,22,2,Afa,0.8238606130233223,False,0.6549024753695217
4,1,22,2,Afa,0.8648370359243474,False,0.6958788982705468
5,1,22,2,Afa,0.4396698225837131,False,0.2707116849299126
6,1,22,2,Afa,0.8421320307795084,True,0.6731738931257079
7,1,22,2,Afa,0.7210592765296625,False,0.552101138875862
8,1,22,2,Afa,0.9761110183985086,True,0.807152880744708
9,1,22,2,Afa,0.9200511188039815,False,0.751092981150181
10,1,22,2,Afa,0.7004089239400393,True,0.5314507862862388
11,1,22,2,Afa,0.8881398639926308,False,0.7191817263388303
12,1,22,2,Afa,0.918960988644525,False,0.7500028509907245
13,1,22,2,Afa,0.8847792805540557,False,0.7158211429002552
1,10,22,2,Afa,0.8380515115104611,True,0.6690933738566606
2,10,22,2,Afa,0.9663456355936031,False,0.7973874979398026
3,10,22,2,Afa,0.9845391385395658,False,0.8155810008857652
4,10,22,2,Afa,0.6754852034664693,True,0.5065270658126688
5,10,22,2,Afa,0.9702044961891376,False,0.8012463585353371
6,10,22,2,Afa,0.7824623186440919,False,0.6135041809902914
7,10,22,2,Afa,0.9660718287170933,False,0.7971136910632928
8,10,22,2,Afa,0.9092213637012433,True,0.7402632260474428
9,10,22,2,Afa,0.9378596698360419,True,0.7689015321822413
10,10,22,2,Afa,0.5782723662480272,True,0.4093142285942267
11,10,22,2,Afa,0.9872644488995741,True,0.8183063112457736
12,10,22,2,Afa,0.7746513948254109,False,0.6056932571716104
13,10,22,2,Afa,0.9033380391982121,True,0.7343799015444116
14,10,22,2,Afa,0.05553406291018379,True,-0.11342407474361677
15,10,22,2,Afa,0.5775368272358332,True,0.4085786895820327
16,10,22,2,Afa,0.9287034926220284,False,0.7597453549682279
17,10,22,2,Afa,0.8900582428183004,False,0.7211001051644998
18,10,22,2,Afa,0.8819688911417112,False,0.7130107534879107
19,10,22,2,Afa,0.9439156720985362,True,0.7749575344447357
20,10,22,2,Afa,0.6543163742475223,False,0.4853582365937218
21,10,22,2,Afa,0.7623282921150336,False,0.5933701544612331
22,10,22,2,Afa,0.862531456221471,True,0.6935733185676705
23,10,22,2,Afa,0.9756854050869984,True,0.8067272674331979
24,10,22,2,Afa,0.9652287251309476,False,0.7962705874771471
25,10,22,2,Afa,0.9354390407906568,True,0.7664809031368562
26,10,22,2,Afa,0.9731572727189899,False,0.8041991350651894
1,11,22,2,Afa,0.8706632042823397,False,0.7017050666285392
2,11,22,2,Afa,0.9277870752588336,False,0.7588289376050331
3,11,22,2,Afa,0.865983004515353,False,0.6970248668615525
4,11,22,2,Afa,0.813237991654583,False,0.6442798540007825
5,11,22,2,Afa,0.822114437276932,False,0.6531562996231315
6,11,22,2,Afa,0.8285836963130097,True,0.6596255586592091
7,11,22,2,Afa,0.8902749662203163,False,0.7213168285665158
8,11,22,2,Afa,0.9727506499657599,False,0.8037925123119594
9,11,22,2,Afa,0.9302598402012991,False,0.7613017025474986
10,11,22,2,Afa,0.6463822518015124,False,0.4774241141477119
11,11,22,2,Afa,0.9035309683703779,False,0.7345728307165774
12,11,22,2,Afa,0.6340017993518152,False,0.4650436616980147
13,11,22,2,Afa,0.9453495232360997,False,0.7763913855822991
14,11,22,2,Afa,0.8156227172864468,False,0.6466645796326462
15,11,22,2,Afa,0.8012720605330814,True,0.6323139228792809
16,11,22,2,Afa,0.7378465986026749,False,0.5688884609488744
17,11,22,2,Afa,0.8999530638264389,False,0.7309949261726384
18,11,22,2,Afa,0.9104737646878244,False,0.7415156270340238
19,11,22,2,Afa,0.9234252569015693,False,0.7544671192477688
20,11,22,2,Afa,0.8945679051477523,False,0.7256097674939518
21,11,22,2,Afa,0.9038929647934228,False,0.7349348271396223
22,11,22,2,Afa,0.7617903513229713,True,0.5928322136691708
1,12,22,2,Afa,0.3045823126164078,True,0.13562417496260723
2,12,22,2,Afa,0.9720540231681657,False,0.8030958855143652
3,12,22,2,Afa,0.9611591412746548,False,0.7922010036208543
4,12,22,2,Afa,0.9555868585903136,True,0.786628720936513
5,12,22,2,Afa,0.9579647701823616,False,0.7890066325285611
6,12,22,2,Afa,0.9623005837022621,False,0.7933424460484616
7,12,22,2,Afa,0.928425083694397,False,0.7594669460405965
8,12,22,2,Afa,0.8958908609633053,False,0.7269327233095048
9,12,22,2,Afa,0.8494883965322193,False,0.6805302588784188
10,12,22,2,Afa,0.870995668900673,False,0.7020375312468725
11,12,22,2,Afa,0.8487026723260203,True,0.6797445346722197
12,12,22,2,Afa,0.3805912931111595,True,0.21163315545735897
13,12,22,2,Afa,0.8063182907050507,False,0.6373601530512502
14,12,22,2,Afa,0.8899273858340806,False,0.7209692481802801
15,12,22,2,Afa,0.8234942632369474,True,0.6545361255831469
16,12,22,2,Afa,0.836223067974274,True,0.6672649303204735
1,13,22,2,Afa,0.9250708062037463,False,0.7561126685499457
2,13,22,2,Afa,0.8895366170103041,True,0.7205784793565035
3,13,22,2,Afa,0.483039143926574,True,0.31408100627277347
4,13,22,2,Afa,0.9450727197413812,False,0.7761145820875807
5,13,22,2,Afa,0.9251402381534077,False,0.7561821004996072
6,13,22,2,Afa,0.9465105065444887,False,0.7775523688906881
7,13,22,2,Afa,0.8265085616342717,False,0.6575504239804711
8,13,22,2,Afa,0.5560371778998385,False,0.387079040246038
9,13,22,2,Afa,0.7456485241654486,False,0.5766903865116481
10,13,22,2,Afa,0.6753832442977175,False,0.5064251066439169
11,13,22,2,Afa,0.9494178061697196,False,0.7804596685159191
12,13,22,2,Afa,0.7274771018609176,False,0.5585189642071171
13,13,22,2,Afa,0.7843192891102128,False,0.6153611514564122
14,13,22,2,Afa,0.9287432354112412,False,0.7597850977574406
15,13,22,2,Afa,0.9420090409085418,False,0.7730509032547412
16,13,22,2,Afa,0.9384034292262852,False,0.7694452915724846
17,13,22,2,Afa,0.9225936281311278,False,0.7536354904773273
18,13,22,2,Afa,0.5961978407642048,True,0.42723970311040427
19,13,22,2,Afa,0.871937954027109,False,0.7029798163733085
20,13,22,2,Afa,0.954113516676558,False,0.7851553790227574
21,13,22,2,Afa,0.8470235952324989,False,0.6780654575786984
22,13,22,2,Afa,0.6894258954498458,False,0.5204677577960453
23,13,22,2,Afa,0.8468027109189782,False,0.6778445732651777
24,13,22,2,Afa,0.7331594275257873,False,0.5642012898719868
25,13,22,2,Afa,0.9355885883676379,True,0.7666304507138374
26,13,22,2,Afa,0.7204396968635127,False,0.5514815592097122
27,13,22,2,Afa,0.8855120460434079,True,0.7165539083896074
28,13,22,2,Afa,0.824841313915409,False,0.6558831762616085
29,13,22,2,Afa,0.923334470374459,False,0.7543763327206585
30,13,22,2,Afa,0.8738574342085317,False,0.7048992965547312
31,13,22,2,Afa,0.9517521641408125,True,0.782794026487012
32,13,22,2,Afa,0.9438119461125363,True,0.7748538084587357
1,14,22,2,Afa,0.8043977454670868,False,0.6354396078132862
2,14,22,2,Afa,0.9506316795876625,False,0.781673541933862
3,14,22,2,Afa,0.11971967092640246,True,-0.049238466727398095
4,14,22,2,Afa,0.8319381058907427,False,0.6629799682369422
5,14,22,2,Afa,0.9381141625032223,False,0.7691560248494218
6,14,22,2,Afa,0.8638453265065216,False,0.694887188852721
7,14,22,2,Afa,0.9245338570585344,False,0.7555757194047339
8,14,22,2,Afa,0.6889625149703574,False,0.5200043773165569
9,14,22,2,Afa,0.9176310946332903,False,0.7486729569794898
10,14,22,2,Afa,0.9687926427952671,False,0.7998345051414666
11,14,22,2,Afa,0.8444965996296367,False,0.6755384619758362
12,14,22,2,Afa,0.9432585146014374,False,0.7743003769476369
13,14,22,2,Afa,0.8101805570569018,False,0.6412224194031013
14,14,22,2,Afa,0.7387694924457362,True,0.5698113547919357
15,14,22,2,Afa,0.88118729296911,True,0.7122291553153095
16,14,22,2,Afa,0.8936065206943733,True,0.7246483830405728
17,14,22,2,Afa,0.8393325465460697,False,0.6703744088922692
18,14,22,2,Afa,0.9012847806029838,False,0.7323266429491833
19,14,22,2,Afa,0.9481941011200139,False,0.7792359634662134
