ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,1,7,2,Dac,0.8878957841975963,False,0.7235351733370369
2,1,7,2,Dac,0.6092207217158773,True,0.44486011085531785
3,1,7,2,Dac,0.8898822639998635,False,0.7255216531393041
4,1,7,2,Dac,0.6629202592555662,True,0.49855964839500677
5,1,7,2,Dac,0.7037463604639186,False,0.5393857496033592
6,1,7,2,Dac,0.7768805833606371,False,0.6125199725000777
7,1,7,2,Dac,0.7909095854088963,False,0.6265489745483369
8,1,7,2,Dac,0.9369532734264039,True,0.7725926625658445
9,1,7,2,Dac,0.9405013872648377,True,0.7761407764042783
10,1,7,2,Dac,0.917540242104546,False,0.7531796312439866
11,1,7,2,Dac,0.88537086868408,False,0.7210102578235206
12,1,7,2,Dac,0.9632954220417325,False,0.798934811181173
13,1,7,2,Dac,0.9416719272244277,False,0.7773113163638683
14,1,7,2,Dac,0.7085083878337303,True,0.5441477769731708
15,1,7,2,Dac,0.9661263980727123,True,0.8017657872121529
16,1,7,2,Dac,0.799429670899434,False,0.6350690600388745
17,1,7,2,Dac,0.90404765224061,False,0.7396870413800506
18,1,7,2,Dac,0.5671690507908378,True,0.4028084399302784
19,1,7,2,Dac,0.6641100884048704,False,0.499749477544311
20,1,7,2,Dac,0.9168330933772509,False,0.7524724825166915
21,1,7,2,Dac,0.8661627124177542,True,0.7018021015571948
22,1,7,2,Dac,0.9829055028483907,True,0.8185448919878313
23,1,7,2,Dac,0.967404743402974,False,0.8030441325424146
24,1,7,2,Dac,0.6716724522654427,False,0.5073118414048833
25,1,7,2,Dac,0.7307393776197373,False,0.5663787667591779
26,1,7,2,Dac,0.9663668994110347,False,0.8020062885504753
1,10,7,2,Dac,0.8651426503368315,False,0.700782039476272
2,10,7,2,Dac,0.8655735033685967,False,0.7012128925080373
3,10,7,2,Dac,0.9760855903027984,False,0.811724979442239
4,10,7,2,Dac,0.9081965785170618,False,0.7438359676565024
5,10,7,2,Dac,0.9656050404169946,False,0.8012444295564352
7,10,7,2,Dac,0.7802114965102789,False,0.6158508856497195
8,10,7,2,Dac,0.9534794341090581,False,0.7891188232484987
9,10,7,2,Dac,0.9443066260721041,False,0.7799460152115447
10,10,7,2,Dac,0.9797019493078156,True,0.8153413384472562
11,10,7,2,Dac,0.9402050798587119,False,0.7758444689981525
12,10,7,2,Dac,0.8691733423641377,False,0.7048127315035783
13,10,7,2,Dac,0.8080053967794504,False,0.643644785918891
14,10,7,2,Dac,0.8571367353246728,False,0.6927761244641134
15,10,7,2,Dac,0.910403374388603,False,0.7460427635280436
1,11,7,2,Dac,0.8975474650665356,False,0.7331868542059762
2,11,7,2,Dac,0.7891395094778382,False,0.6247788986172788
3,11,7,2,Dac,0.9325961812943779,False,0.7682355704338185
4,11,7,2,Dac,0.8686100033583631,True,0.7042493924978037
5,11,7,2,Dac,0.8414554240892116,False,0.6770948132286522
6,11,7,2,Dac,0.7991638427606029,False,0.6348032319000435
7,11,7,2,Dac,0.9706348762584295,False,0.8062742653978701
8,11,7,2,Dac,0.8767957093013585,True,0.7124350984407991
9,11,7,2,Dac,0.9022313791866742,True,0.7378707683261148
10,11,7,2,Dac,0.9778424704091291,True,0.8134818595485697
11,11,7,2,Dac,0.8994197138582255,True,0.7350591029976661
12,11,7,2,Dac,0.9553244784363661,False,0.7909638675758067
13,11,7,2,Dac,0.6950190161700803,True,0.5306584053095209
14,11,7,2,Dac,0.9704291469099738,True,0.8060685360494144
15,11,7,2,Dac,0.9770590689636004,True,0.812698458103041
16,11,7,2,Dac,0.9838215982426253,False,0.8194609873820659
17,11,7,2,Dac,0.7852847537122362,False,0.6209241428516767
18,11,7,2,Dac,0.9665730096638138,False,0.8022123988032543
19,11,7,2,Dac,0.658499198997103,True,0.49413858813654354
20,11,7,2,Dac,0.959947200841534,True,0.7955865899809745
21,11,7,2,Dac,0.9147234101512067,False,0.7503627992906473
22,11,7,2,Dac,0.9640163948944295,False,0.79965578403387
23,11,7,2,Dac,0.506752786696681,False,0.3423921758361216
24,11,7,2,Dac,0.952768007561519,True,0.7884073967009596
25,11,7,2,Dac,0.9727772822991566,False,0.8084166714385972
26,11,7,2,Dac,0.9657168346818924,False,0.801356223821333
27,11,7,2,Dac,0.9340065904723838,False,0.7696459796118243
28,11,7,2,Dac,0.9557524283424759,False,0.7913918174819164
29,11,7,2,Dac,0.9227626781289958,False,0.7584020672684364
1,12,7,2,Dac,0.9089769795343374,False,0.744616368673778
2,12,7,2,Dac,0.8623175816054804,False,0.697956970744921
3,12,7,2,Dac,0.7343884506233909,True,0.5700278397628314
4,12,7,2,Dac,0.8440111521030635,True,0.6796505412425041
6,12,7,2,Dac,0.9513013497207975,False,0.7869407388602381
7,12,7,2,Dac,0.9352947361635975,False,0.7709341253030381
8,12,7,2,Dac,0.9298597310759165,False,0.765499120215357
9,12,7,2,Dac,0.9696387446328014,False,0.805278133772242
10,12,7,2,Dac,0.8922315772441227,False,0.7278709663835633
11,12,7,2,Dac,0.9228909748788062,False,0.7585303640182468
12,12,7,2,Dac,0.831940049829296,False,0.6675794389687366
13,12,7,2,Dac,0.9970472416572136,True,0.8326866307966542
14,12,7,2,Dac,0.8639710942161398,False,0.6996104833555804
15,12,7,2,Dac,0.9044806074003224,False,0.740119996539763
16,12,7,2,Dac,0.7010161167728697,True,0.5366555059123103
17,12,7,2,Dac,0.9480837834340383,False,0.7837231725734789
18,12,7,2,Dac,0.794872522988715,False,0.6305119121281556
1,13,7,2,Dac,0.765791608724083,False,0.6014309978635236
5,13,7,2,Dac,0.9934317688476296,True,0.8290711579870702
6,13,7,2,Dac,0.9839484931233275,True,0.8195878822627681
11,13,7,2,Dac,0.8289896167479857,True,0.6646290058874262
12,13,7,2,Dac,0.8823070004365741,False,0.7179463895760146
13,13,7,2,Dac,0.927570415588211,True,0.7632098047276515
14,13,7,2,Dac,0.9674898712613207,False,0.8031292604007613
15,13,7,2,Dac,0.8892908309042736,False,0.7249302200437142
16,13,7,2,Dac,0.92230786664583,True,0.7579472557852706
17,13,7,2,Dac,0.9846309216275163,False,0.8202703107669569
18,13,7,2,Dac,0.7158160088130583,False,0.5514553979524989
20,13,7,2,Dac,0.9860006621377814,False,0.821640051277222
21,13,7,2,Dac,0.8841715931862708,False,0.7198109823257114
24,13,7,2,Dac,0.7031731056628278,True,0.5388124948022683
1,14,7,2,Dac,0.8701721813225303,False,0.7058115704619708
2,14,7,2,Dac,0.8517768875506411,False,0.6874162766900817
3,14,7,2,Dac,0.9102409050148008,True,0.7458802941542414
4,14,7,2,Dac,0.998376686183347,True,0.8340160753227875
5,14,7,2,Dac,0.9061461537845128,False,0.7417855429239534
6,14,7,2,Dac,0.4621630920831447,True,0.29780248122258524
7,14,7,2,Dac,0.9806236558921786,True,0.8162630450316192
8,14,7,2,Dac,0.7783015774440033,True,0.6139409665834439
9,14,7,2,Dac,0.721897529816531,False,0.5575369189559716
10,14,7,2,Dac,0.9189870984890323,False,0.7546264876284728
11,14,7,2,Dac,0.9052491028448374,True,0.740888491984278
13,14,7,2,Dac,0.8757074117400734,False,0.711346800879514
15,14,7,2,Dac,0.9410747031549702,False,0.7767140922944108
16,14,7,2,Dac,0.9504638392316167,False,0.7861032283710573
17,14,7,2,Dac,0.9038222102638962,False,0.7394615994033368
18,14,7,2,Dac,0.938235964893787,False,0.7738753540332276
19,14,7,2,Dac,0.9702561465464843,False,0.8058955356859249
20,14,7,2,Dac,0.9313660646421165,False,0.767005453781557
21,14,7,2,Dac,0.9616394415717465,False,0.7972788307111871
22,14,7,2,Dac,0.8902741847934695,False,0.7259135739329101
23,14,7,2,Dac,0.9560793124878811,False,0.7917187016273217
24,14,7,2,Dac,0.9163350162905044,True,0.751974405429945
25,14,7,2,Dac,0.8215873725406257,False,0.6572267616800663
1,2,7,2,Dac,0.9423213631304772,False,0.7779607522699178
2,2,7,2,Dac,0.804390314507659,False,0.6400297036470995
3,2,7,2,Dac,0.9432478246752014,False,0.778887213814642
4,2,7,2,Dac,0.9450263111194982,False,0.7806657002589388
5,2,7,2,Dac,0.8936452588618338,False,0.7292846480012743
6,2,7,2,Dac,0.8746361378283591,False,0.7102755269677997
7,2,7,2,Dac,0.9345133407605191,True,0.7701527298999596
8,2,7,2,Dac,0.8447910963955172,True,0.6804304855349578
9,2,7,2,Dac,0.5867782788551429,True,0.42241766799458347
10,2,7,2,Dac,0.8738048798260559,False,0.7094442689654965
11,2,7,2,Dac,0.8411153664045246,True,0.6767547555439651
12,2,7,2,Dac,0.8054599396773181,True,0.6410993288167587
13,2,7,2,Dac,0.8377094203870221,False,0.6733488095264627
1,3,7,2,Dac,0.8471355273766475,False,0.6827749165160881
2,3,7,2,Dac,0.7140474630534059,False,0.5496868521928465
3,3,7,2,Dac,0.9122969035483598,False,0.7479362926878004
4,3,7,2,Dac,0.838885193522872,False,0.6745245826623126
5,3,7,2,Dac,0.9605598151572057,False,0.7961992042966463
6,3,7,2,Dac,0.9801514592883096,False,0.8157908484277502
7,3,7,2,Dac,0.9476731941080804,False,0.783312583247521
8,3,7,2,Dac,0.9251491711975109,False,0.7607885603369515
9,3,7,2,Dac,0.9339430156959269,False,0.7695824048353674
10,3,7,2,Dac,0.8306966408994793,True,0.6663360300389198
11,3,7,2,Dac,0.8949009056412383,False,0.7305402947806788
12,3,7,2,Dac,0.9444721446553329,False,0.7801115337947735
13,3,7,2,Dac,0.9464615846622962,False,0.7821009738017368
14,3,7,2,Dac,0.6832848149241817,True,0.5189242040636223
15,3,7,2,Dac,0.8588444446952905,False,0.6944838338347311
16,3,7,2,Dac,0.6362570367664409,True,0.47189642590588143
17,3,7,2,Dac,0.9039132303957892,False,0.7395526195352298
18,3,7,2,Dac,0.8480224820508054,False,0.683661871190246
19,3,7,2,Dac,0.8736733007868918,False,0.7093126899263323
1,4,7,2,Dac,0.9347224439533344,False,0.770361833092775
2,4,7,2,Dac,0.8914231398698806,False,0.7270625290093212
3,4,7,2,Dac,0.9298502112237508,False,0.7654896003631914
4,4,7,2,Dac,0.7127289542665517,False,0.5483683434059923
5,4,7,2,Dac,0.9525342914118688,False,0.7881736805513094
6,4,7,2,Dac,0.975668730187255,True,0.8113081193266956
7,4,7,2,Dac,0.9793020654109764,True,0.814941454550417
8,4,7,2,Dac,0.8448390980074748,False,0.6804784871469154
