ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,50,2,Gef,0.6967320483176769,False,0.36387066112651406
2,0,50,2,Gef,0.6446406014482948,True,0.311779214257132
3,0,50,2,Gef,0.8038031359580486,False,0.4709417487668858
4,0,50,2,Gef,0.5722774868451128,False,0.23941609965395
5,0,50,2,Gef,0.7091953642926305,False,0.3763339771014677
6,0,50,2,Gef,0.5484783841937263,False,0.21561699700256348
7,0,50,2,Gef,0.6165512720028716,False,0.2836898848117088
8,0,50,2,Gef,0.43801592780924936,True,0.10515454061808654
9,0,50,2,Gef,0.5829215051460943,True,0.2500601179549315
10,0,50,2,Gef,0.6434995602366882,False,0.3106381730455254
1,1,50,2,Gef,0.6334918250204693,False,0.3006304378293065
2,1,50,2,Gef,0.8094967572132863,False,0.4766353700221235
3,1,50,2,Gef,0.7873614149467494,False,0.45450002775558657
4,1,50,2,Gef,0.6466197115797067,True,0.31375832438854384
5,1,50,2,Gef,0.8162771410072066,True,0.4834157538160438
6,1,50,2,Gef,0.7480916815396492,False,0.4152302943484864
7,1,50,2,Gef,0.7827923215614765,False,0.4499309343703137
8,1,50,2,Gef,0.7381681640001486,True,0.4053067768089858
9,1,50,2,Gef,0.6583067837964529,False,0.3254453966052901
10,1,50,2,Gef,0.5518604224472536,False,0.21899903525609082
11,1,50,2,Gef,0.6828521845947294,True,0.3499907974035666
12,1,50,2,Gef,0.4681348964993893,True,0.13527350930822646
13,1,50,2,Gef,0.6109453815068273,False,0.2780839943156645
14,1,50,2,Gef,0.46440012833076566,False,0.13153874113960284
15,1,50,2,Gef,0.7540391870715762,False,0.42117779988041343
1,11,50,2,Gef,0.58583308152896,False,0.25297169433779715
2,11,50,2,Gef,0.575717500655351,False,0.24285611346418817
3,11,50,2,Gef,0.6021642482589515,False,0.2693028610677887
4,11,50,2,Gef,0.7119273108778164,False,0.37906592368665354
5,11,50,2,Gef,0.5730310878144314,False,0.24016970062326853
6,11,50,2,Gef,0.6949405780161302,False,0.36207919082496737
7,11,50,2,Gef,0.6161884150473822,False,0.2833270278562194
8,11,50,2,Gef,0.5623545709057935,False,0.22949318371463073
9,11,50,2,Gef,0.6788534650490174,False,0.34599207785785463
10,11,50,2,Gef,0.8144099841966177,True,0.4815485970054549
11,11,50,2,Gef,0.6547280027069805,False,0.3218666155158177
12,11,50,2,Gef,0.6357343449836748,False,0.30287295779251194
13,11,50,2,Gef,0.6038693048435516,True,0.2710079176523888
14,11,50,2,Gef,0.7668094134654224,False,0.4339480262742596
15,11,50,2,Gef,0.7264580741669692,False,0.39359668697580635
16,11,50,2,Gef,0.5384718153958895,False,0.2056104282047267
1,12,50,2,Gef,0.7247173800699895,False,0.3918559928788267
2,12,50,2,Gef,0.6930570886726677,False,0.36019570148150487
3,12,50,2,Gef,0.5790083755052853,False,0.24614698831412246
4,12,50,2,Gef,0.8103263159327142,False,0.4774649287415514
5,12,50,2,Gef,0.7298054681203603,False,0.3969440809291975
6,12,50,2,Gef,0.49944008232103326,False,0.16657869512987045
7,12,50,2,Gef,0.8078755629729681,False,0.4750141757818053
8,12,50,2,Gef,0.8307990271324739,True,0.49793763994131107
9,12,50,2,Gef,0.48859829575725644,True,0.15573690856609362
10,12,50,2,Gef,0.8654101240116638,True,0.5325487368205011
11,12,50,2,Gef,0.7179761057801539,False,0.3851147185889911
12,12,50,2,Gef,0.486220197645185,True,0.15335881045402217
13,12,50,2,Gef,0.7736484627617177,False,0.4407870755705549
14,12,50,2,Gef,0.8031786420353992,True,0.4703172548442364
15,12,50,2,Gef,0.791519252135721,False,0.45865786494455824
16,12,50,2,Gef,0.7544369860999605,False,0.42157559890879764
17,12,50,2,Gef,0.7179780083886286,True,0.38511662119746576
18,12,50,2,Gef,0.3449222405249393,True,0.012060853333776489
19,12,50,2,Gef,0.41945320645958334,True,0.08659181926842052
20,12,50,2,Gef,0.6567411529595761,False,0.3238797657684133
21,12,50,2,Gef,0.7350786119100678,False,0.40221722471890503
22,12,50,2,Gef,0.6332761654596063,False,0.3004147782684435
1,13,50,2,Gef,0.2329503806938696,True,-0.0999110064972932
2,13,50,2,Gef,0.7612065910680746,False,0.42834520387691183
3,13,50,2,Gef,0.6372028747305328,False,0.30434148753937
4,13,50,2,Gef,0.7611796279016085,False,0.4283182407104457
5,13,50,2,Gef,0.6265612157706529,False,0.2936998285794901
6,13,50,2,Gef,0.8188578463406682,False,0.48599645914950534
7,13,50,2,Gef,0.6610409344647443,False,0.3281795472735815
8,13,50,2,Gef,0.7052999762033914,False,0.37243858901222854
9,13,50,2,Gef,0.7222354673173124,True,0.38937408012614955
10,13,50,2,Gef,0.6237185924795245,True,0.29085720528836173
11,13,50,2,Gef,0.5356346001642366,False,0.20277321297307377
13,13,50,2,Gef,0.5426538315275968,True,0.20979244433643401
14,13,50,2,Gef,0.7189212520649525,False,0.3860598648737897
15,13,50,2,Gef,0.7496113576188822,False,0.4167499704277194
16,13,50,2,Gef,0.6675108353105508,False,0.33464944811938796
17,13,50,2,Gef,0.6993195686660967,False,0.36645818147493386
18,13,50,2,Gef,0.7641688894607508,False,0.431307502269588
19,13,50,2,Gef,0.7070984904240932,True,0.3742371032329304
1,14,50,2,Gef,0.7905287144677983,False,0.45766732727663545
2,14,50,2,Gef,0.6298933192313305,False,0.2970319320401677
3,14,50,2,Gef,0.5937318456140417,True,0.26087045842287887
4,14,50,2,Gef,0.6618933926043296,False,0.32903200541316674
5,14,50,2,Gef,0.8013186519727785,False,0.4684572647816157
6,14,50,2,Gef,0.7802587969465534,False,0.4473974097553906
7,14,50,2,Gef,0.7779950809490359,True,0.4451336937578731
8,14,50,2,Gef,0.6371043164670006,True,0.3042429292758378
9,14,50,2,Gef,0.6382476040209315,True,0.3053862168297687
10,14,50,2,Gef,0.7584194924288097,False,0.42555810523764687
11,14,50,2,Gef,0.7598926469091065,True,0.4270312597179437
12,14,50,2,Gef,0.923941016527651,True,0.5910796293364882
13,14,50,2,Gef,0.6882983220329766,False,0.35543693484181377
14,14,50,2,Gef,0.7345643222064442,False,0.40170293501528137
15,14,50,2,Gef,0.6344654756108152,False,0.3016040884196524
16,14,50,2,Gef,0.7839759697929203,False,0.45111458260175746
17,14,50,2,Gef,0.7604501172350112,False,0.4275887300438484
18,14,50,2,Gef,0.7724243021907717,False,0.4395629149996089
19,14,50,2,Gef,0.7147354611152567,True,0.38187407392409384
20,14,50,2,Gef,0.7752608190350048,False,0.44239943184384195
21,14,50,2,Gef,0.7333310191679884,False,0.40046963197682556
22,14,50,2,Gef,0.7979958418074062,True,0.4651344546162434
23,14,50,2,Gef,0.7858291662089073,True,0.4529677790177445
24,14,50,2,Gef,0.744608848133238,False,0.4117474609420752
25,14,50,2,Gef,0.7493803225284955,False,0.4165189353373327
26,14,50,2,Gef,0.8070848356432385,True,0.4742234484520757
27,14,50,2,Gef,0.5702369309657069,True,0.23737554377454412
28,14,50,2,Gef,0.7663836450042367,False,0.4335222578130739
29,14,50,2,Gef,0.5768524580329525,False,0.24399107084178967
30,14,50,2,Gef,0.10416593480211891,True,-0.2286954523890439
31,14,50,2,Gef,0.750375353494743,False,0.41751396630358023
32,14,50,2,Gef,0.5742369251619266,False,0.24137553797076378
1,15,50,2,Gef,0.7152128964148532,False,0.3823515092236904
2,15,50,2,Gef,0.7681172628266957,False,0.43525587563553286
3,15,50,2,Gef,0.5777805885708939,False,0.24491920137973106
4,15,50,2,Gef,0.5600705204895298,True,0.22720913329836695
5,15,50,2,Gef,0.7174550336249739,False,0.38459364643381105
6,15,50,2,Gef,0.7020330357797273,False,0.3691716485885645
7,15,50,2,Gef,0.6332854875119075,False,0.3004241003207447
8,15,50,2,Gef,0.7365419214939687,False,0.40368053430280587
9,15,50,2,Gef,0.50539316705663,True,0.17253177986546714
10,15,50,2,Gef,0.6681555578263892,False,0.33529417063522643
11,15,50,2,Gef,0.5741311119082485,False,0.2412697247170857
13,15,50,2,Gef,0.6878593351509362,False,0.3549979479597734
14,15,50,2,Gef,0.6201405754346692,False,0.28727918824350634
15,15,50,2,Gef,0.6713048378627079,False,0.3384434506715451
16,15,50,2,Gef,0.6766149778248386,False,0.3437535906336758
17,15,50,2,Gef,0.6737904474108707,False,0.34092906021970787
18,15,50,2,Gef,0.509469616159703,True,0.17660822896854017
19,15,50,2,Gef,0.6611309590024939,True,0.32826957181133104
20,15,50,2,Gef,0.7789115462785625,True,0.4460501590873997
21,15,50,2,Gef,0.7950384332769383,False,0.46217704608577553
22,15,50,2,Gef,0.7487541282520376,False,0.41589274106087476
23,15,50,2,Gef,0.7851112541874806,True,0.4522498669963178
24,15,50,2,Gef,0.7309487434432029,False,0.3980873562520401
25,15,50,2,Gef,0.7135397019883778,False,0.380678314797215
26,15,50,2,Gef,0.6580694157016109,False,0.3252080285104481
27,15,50,2,Gef,0.6714309612401034,False,0.33856957404894056
1,2,50,2,Gef,0.7687551014874832,False,0.43589371429632034
2,2,50,2,Gef,0.6946275972526953,False,0.3617662100615325
3,2,50,2,Gef,0.5860561388222856,False,0.25319475163112276
4,2,50,2,Gef,0.5740637502492477,False,0.2412023630580849
5,2,50,2,Gef,0.7182160070628658,False,0.385354619871703
6,2,50,2,Gef,0.6644228152208462,False,0.3315614280296834
7,2,50,2,Gef,0.6810052205238282,False,0.34814383333266535
8,2,50,2,Gef,0.7020918902795616,False,0.36923050308839883
9,2,50,2,Gef,0.6314873503874251,False,0.2986259631962623
10,2,50,2,Gef,0.7067752048572451,False,0.3739138176660823
11,2,50,2,Gef,0.793333766238866,True,0.46047237904770316
1,3,50,2,Gef,0.6860096762985372,False,0.35314828910737434
2,3,50,2,Gef,0.464983222678551,True,0.1321218354873882
3,3,50,2,Gef,0.786134297675804,False,0.4532729104846412
4,3,50,2,Gef,0.712839952792296,False,0.37997856560113313
5,3,50,2,Gef,0.7022603914308994,False,0.36939900423973654
6,3,50,2,Gef,0.8068953569077447,False,0.4740339697165819
7,3,50,2,Gef,0.7686065825282081,False,0.4357451953370453
8,3,50,2,Gef,0.5523047368767978,True,0.219443349685635
9,3,50,2,Gef,0.6635914451706301,False,0.33073005797946725
10,3,50,2,Gef,0.7110530131399557,False,0.3781916259487929
11,3,50,2,Gef,0.8484354809713681,True,0.5155740937802054
12,3,50,2,Gef,0.6319304342584028,False,0.29906904706723997
13,3,50,2,Gef,0.5688228473561324,False,0.2359614601649696
14,3,50,2,Gef,0.5862416653264126,True,0.2533802781352498
15,3,50,2,Gef,0.5415319400115063,False,0.20867055282034347
16,3,50,2,Gef,0.6915067431100717,False,0.35864535591890884
1,4,50,2,Gef,0.738366731189225,True,0.4055053439980622
2,4,50,2,Gef,0.7009739903881045,False,0.36811260319694167
3,4,50,2,Gef,0.7082530412412209,False,0.3753916540500581
4,4,50,2,Gef,0.7429966849955312,True,0.41013529780436836
5,4,50,2,Gef,0.6427157267359898,False,0.30985433954482694
6,4,50,2,Gef,0.8095347848852124,True,0.47667339769404954
7,4,50,2,Gef,0.6455699731496064,False,0.3127085859584436
8,4,50,2,Gef,0.6728039324269286,False,0.3399425452357658
9,4,50,2,Gef,0.5422282299400254,True,0.20936684274886258
10,4,50,2,Gef,0.7200470422101277,False,0.3871856550189649
11,4,50,2,Gef,0.5890912368900818,False,0.256229849698919
12,4,50,2,Gef,0.6916776777960405,False,0.3588162906048777
13,4,50,2,Gef,0.8178795216483783,False,0.4850181344572155
14,4,50,2,Gef,0.5179820093899357,True,0.18512062219877284
