ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,22,2,Afa,0.7023022156572819,False,0.5218203922994279
2,0,22,2,Afa,0.6448152506686707,True,0.4643334273108167
3,0,22,2,Afa,0.915982583310813,False,0.7355007599529589
4,0,22,2,Afa,0.8326309718742966,False,0.6521491485164426
5,0,22,2,Afa,0.46403123473964614,True,0.2835494113817921
6,0,22,2,Afa,0.8454681708746165,False,0.6649863475167624
7,0,22,2,Afa,0.9175977293855994,False,0.7371159060277453
8,0,22,2,Afa,0.8809511611629757,False,0.7004693378051217
9,0,22,2,Afa,0.7726737887942676,False,0.5921919654364136
10,0,22,2,Afa,0.9182560799198074,False,0.7377742565619534
11,0,22,2,Afa,0.8732974979537008,False,0.6928156745958468
12,0,22,2,Afa,0.4730417596887769,True,0.29255993633092287
13,0,22,2,Afa,0.7535729959854149,True,0.5730911726275609
14,0,22,2,Afa,0.7797015142088688,False,0.5992196908510148
15,0,22,2,Afa,0.7928594239767326,True,0.6123776006188786
16,0,22,2,Afa,0.8592259561088224,False,0.6787441327509683
17,0,22,2,Afa,0.900038823958784,False,0.71955700060093
18,0,22,2,Afa,0.8163421721388768,False,0.6358603487810228
19,0,22,2,Afa,0.925022660100985,False,0.744540836743131
20,0,22,2,Afa,0.8797896890371497,False,0.6993078656792957
21,0,22,2,Afa,0.5822429588369282,True,0.4017611354790742
22,0,22,2,Afa,0.8237669253990874,False,0.6432851020412333
24,0,22,2,Afa,0.9288975792425802,False,0.7484157558847262
25,0,22,2,Afa,0.7251756658982568,False,0.5446938425404028
26,0,22,2,Afa,0.9249163315150157,False,0.7444345081571617
27,0,22,2,Afa,0.6712998948649422,False,0.4908180715070882
1,1,22,2,Afa,0.7361070939237665,False,0.5556252705659125
2,1,22,2,Afa,0.8002865812998884,False,0.6198047579420344
3,1,22,2,Afa,0.8447024723083402,False,0.6642206489504862
4,1,22,2,Afa,0.6114107013567829,True,0.43092887799892887
5,1,22,2,Afa,0.601431517381276,False,0.42094969402342197
6,1,22,2,Afa,0.9056870142002633,True,0.7252051908424093
7,1,22,2,Afa,0.9137908813279552,False,0.7333090579701012
8,1,22,2,Afa,0.7411146467324197,True,0.5606328233745657
9,1,22,2,Afa,0.7952863535466389,False,0.6148045301887849
10,1,22,2,Afa,0.862512433938505,False,0.682030610580651
11,1,22,2,Afa,0.8419911092437019,False,0.6615092858858479
12,1,22,2,Afa,0.8998297002069023,False,0.7193478768490483
13,1,22,2,Afa,0.7694447523622729,False,0.5889629290044189
1,10,22,2,Afa,0.8433786324471798,False,0.6628968090893258
2,10,22,2,Afa,0.9149997288762594,True,0.7345179055184053
3,10,22,2,Afa,0.829623456455862,False,0.649141633098008
4,10,22,2,Afa,0.9232844052594713,False,0.7428025819016173
5,10,22,2,Afa,0.7218665563033366,False,0.5413847329454826
6,10,22,2,Afa,0.7110692751084986,False,0.5305874517506446
7,10,22,2,Afa,0.9119091712719701,False,0.7314273479141161
8,10,22,2,Afa,0.8461497559874592,False,0.6656679326296052
9,10,22,2,Afa,0.9729416548529894,True,0.7924598314951354
10,10,22,2,Afa,0.8755592541964553,False,0.6950774308386013
11,10,22,2,Afa,0.9250547867991727,False,0.7445729634413187
12,10,22,2,Afa,0.8193550678314802,True,0.6388732444736261
13,10,22,2,Afa,0.9559410613147433,True,0.7754592379568893
14,10,22,2,Afa,0.7648913992541198,False,0.5844095758962657
15,10,22,2,Afa,0.9534710560334417,False,0.7729892326755877
16,10,22,2,Afa,0.8708362554998722,True,0.6903544321420182
