ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,1,7,2,Dac,0.8604590494291813,False,0.6881528709391048
2,1,7,2,Dac,0.6659754546508536,True,0.49366927616077716
3,1,7,2,Dac,0.8630906852419683,False,0.6907845067518918
4,1,7,2,Dac,0.9302265748351424,True,0.7579203963450659
5,1,7,2,Dac,0.8621889564007418,False,0.6898827779106653
6,1,7,2,Dac,0.7642564708703637,False,0.5919502923802873
7,1,7,2,Dac,0.8934919157758484,False,0.721185737285772
8,1,7,2,Dac,0.8892278069525072,True,0.7169216284624308
9,1,7,2,Dac,0.9034142133710296,True,0.7311080348809531
10,1,7,2,Dac,0.8859620986793946,False,0.7136559201893181
11,1,7,2,Dac,0.8989843295866713,False,0.7266781510965948
12,1,7,2,Dac,0.8887810615014601,False,0.7164748830113836
13,1,7,2,Dac,0.8562172903372861,False,0.6839111118472097
15,1,7,2,Dac,0.8839836076918909,True,0.7116774292018144
16,1,7,2,Dac,0.936837413446202,True,0.7645312349561255
17,1,7,2,Dac,0.9146912389265924,False,0.742385060436516
18,1,7,2,Dac,0.8344078040404787,False,0.6621016255504022
19,1,7,2,Dac,0.9270466119339924,True,0.754740433443916
20,1,7,2,Dac,0.8579024417653093,False,0.6855962632752328
21,1,7,2,Dac,0.8712938750475454,False,0.698987696557469
22,1,7,2,Dac,0.9467146843229507,True,0.7744085058328742
23,1,7,2,Dac,0.8488579273485983,True,0.6765517488585219
24,1,7,2,Dac,0.7533997797396862,False,0.5810936012496097
25,1,7,2,Dac,0.887526609593872,False,0.7152204311037955
26,1,7,2,Dac,0.8782629997332373,False,0.7059568212431608
1,10,7,2,Dac,0.8150518859432969,False,0.6427457074532205
2,10,7,2,Dac,0.7643202255299253,False,0.5920140470398488
3,10,7,2,Dac,0.7861796510283383,False,0.6138734725382619
4,10,7,2,Dac,0.7662791159677171,False,0.5939729374776407
5,10,7,2,Dac,0.7953844128842636,False,0.6230782343941872
7,10,7,2,Dac,0.8214994420148193,False,0.6491932635247428
8,10,7,2,Dac,0.853050968278397,False,0.6807447897883205
9,10,7,2,Dac,0.7931448617458863,False,0.6208386832558098
10,10,7,2,Dac,0.8995964875545122,False,0.7272903090644357
11,10,7,2,Dac,0.9109119649313702,True,0.7386057864412937
12,10,7,2,Dac,0.8736338937684565,False,0.70132771527838
13,10,7,2,Dac,0.8589516184465437,False,0.6866454399564672
14,10,7,2,Dac,0.8528441473226843,True,0.6805379688326079
15,10,7,2,Dac,0.781615187630891,False,0.6093090091408145
1,11,7,2,Dac,0.9381760374469043,False,0.7658698589568278
2,11,7,2,Dac,0.8427641964329584,False,0.670458017942882
3,11,7,2,Dac,0.9217427981495951,False,0.7494366196595187
4,11,7,2,Dac,0.8906826803658662,False,0.7183765018757897
5,11,7,2,Dac,0.8792236583200621,False,0.7069174798299857
6,11,7,2,Dac,0.7403915129156994,False,0.5680853344256229
7,11,7,2,Dac,0.9257651241814818,False,0.7534589456914054
8,11,7,2,Dac,0.8589067327007301,False,0.6866005542106537
9,11,7,2,Dac,0.7663475239186133,False,0.5940413454285368
10,11,7,2,Dac,0.8196644872614991,True,0.6473583087714226
