ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,50,2,Gef,0.6959073109038808,False,0.3858057605708295
2,0,50,2,Gef,0.646450669215507,True,0.33634911888245567
3,0,50,2,Gef,0.754119103312754,False,0.4440175529797027
4,0,50,2,Gef,0.7671320470912742,False,0.45703049675822294
5,0,50,2,Gef,0.6495298081615835,False,0.33942825782853214
6,0,50,2,Gef,0.6717494533496975,False,0.3616479030166462
7,0,50,2,Gef,0.6569757140525491,False,0.34687416371949775
8,0,50,2,Gef,0.4395392367437575,True,0.1294376864107062
9,0,50,2,Gef,0.7260401458839338,True,0.41593859555088253
10,0,50,2,Gef,0.7242618678392141,False,0.4141603175061628
1,1,50,2,Gef,0.5974612088839628,False,0.2873596585509115
2,1,50,2,Gef,0.6101886751307172,False,0.30008712479766586
3,1,50,2,Gef,0.544738575755367,False,0.23463702542231568
4,1,50,2,Gef,0.6455867424826787,True,0.33548519214962735
5,1,50,2,Gef,0.6522112348871175,True,0.3421096845540662
6,1,50,2,Gef,0.8032083867649705,False,0.4931068364319192
7,1,50,2,Gef,0.6854279926307878,False,0.3753264422977365
8,1,50,2,Gef,0.49870460450678367,True,0.18860305417373235
9,1,50,2,Gef,0.7586381328618653,False,0.448536582528814
10,1,50,2,Gef,0.7513566255010077,False,0.44125507516795637
11,1,50,2,Gef,0.5024235770868628,True,0.1923220267538115
12,1,50,2,Gef,0.580623796092597,True,0.27052224575954564
13,1,50,2,Gef,0.629633470304294,False,0.31953191997124264
14,1,50,2,Gef,0.5902134981251869,False,0.28011194779213555
15,1,50,2,Gef,0.6017351898724046,False,0.2916336395393533
1,11,50,2,Gef,0.784340134054809,False,0.47423858372175764
2,11,50,2,Gef,0.7278826732237261,False,0.4177811228906748
3,11,50,2,Gef,0.6636911336487149,False,0.3535895833156636
4,11,50,2,Gef,0.6558620438737514,False,0.34576049354070004
5,11,50,2,Gef,0.6837927576738692,False,0.37369120734081784
6,11,50,2,Gef,0.7703193853559547,False,0.46021783502290337
7,11,50,2,Gef,0.711857146349515,False,0.4017555960164637
8,11,50,2,Gef,0.5682574329668071,False,0.2581558826337558
9,11,50,2,Gef,0.67976935584327,False,0.3696678055102187
10,11,50,2,Gef,0.5711218980414283,True,0.261020347708377
11,11,50,2,Gef,0.7111863766566102,False,0.4010848263235589
12,11,50,2,Gef,0.7071013998221887,False,0.39699984948913736
13,11,50,2,Gef,0.7483083300475257,True,0.4382067797144744
14,11,50,2,Gef,0.6751627586083319,False,0.36506120827528055
15,11,50,2,Gef,0.7768715284595948,False,0.4667699781265435
16,11,50,2,Gef,0.6942780159767763,False,0.384176465643725
1,12,50,2,Gef,0.7126930488597785,False,0.40259149852672715
2,12,50,2,Gef,0.7601101516182254,False,0.45000860128517406
3,12,50,2,Gef,0.6222612130828202,False,0.3121596627497689
4,12,50,2,Gef,0.7588197547074592,False,0.4487182043744079
5,12,50,2,Gef,0.5843092416683768,False,0.2742076913353255
6,12,50,2,Gef,0.6404329295627358,False,0.3303313792296845
7,12,50,2,Gef,0.804272027311699,False,0.4941704769786477
8,12,50,2,Gef,0.6290942610297521,True,0.31899271069670077
9,12,50,2,Gef,0.6296519689709361,True,0.3195504186378848
10,12,50,2,Gef,0.5338831334973646,True,0.2237815831643133
11,12,50,2,Gef,0.7110011183370973,False,0.400899568004046
12,12,50,2,Gef,0.5340795454411008,True,0.2239779951080495
13,12,50,2,Gef,0.5923972626986755,False,0.28229571236562423
14,12,50,2,Gef,0.6763898579728634,True,0.3662883076398121
15,12,50,2,Gef,0.6977920427548291,False,0.3876904924217778
16,12,50,2,Gef,0.6599310759119128,False,0.3498295255788615
17,12,50,2,Gef,0.6857596522446019,True,0.3756581019115506
18,12,50,2,Gef,0.509972155061251,True,0.19987060472819973
19,12,50,2,Gef,0.5468663602970224,True,0.2367648099639711
20,12,50,2,Gef,0.7633435278785659,False,0.45324197754551454
21,12,50,2,Gef,0.7407353146557694,False,0.43063376432271805
22,12,50,2,Gef,0.7135109021872761,False,0.4034093518542248
1,13,50,2,Gef,0.6326151219656255,True,0.3225135716325742
2,13,50,2,Gef,0.7188828609625691,False,0.40878131062951784
3,13,50,2,Gef,0.6747071451048289,False,0.36460559477177756
4,13,50,2,Gef,0.7646023310900742,False,0.45450078075702294
5,13,50,2,Gef,0.7516906637238907,False,0.4415891133908394
6,13,50,2,Gef,0.7238791696706899,False,0.41377761933763857
7,13,50,2,Gef,0.7064418640086093,False,0.396340313675558
8,13,50,2,Gef,0.6370616182780904,False,0.32696006794503907
10,13,50,2,Gef,0.15472625586152383,True,-0.15537529447152748
11,13,50,2,Gef,0.6558403248857367,True,0.3457387745526854
13,13,50,2,Gef,0.7222537942829197,False,0.4121522439498684
14,13,50,2,Gef,0.708434801799313,True,0.39833325146626164
15,13,50,2,Gef,0.7852655553657703,False,0.47516400503271894
16,13,50,2,Gef,0.7012744058078623,False,0.39117285547481095
17,13,50,2,Gef,0.7203898663293348,False,0.41028831599628346
18,13,50,2,Gef,0.7064363905111699,False,0.3963348401781186
19,13,50,2,Gef,0.699422925200982,False,0.3893213748679307
1,14,50,2,Gef,0.6800554987003059,True,0.3699539483672546
2,14,50,2,Gef,0.7000618388161918,False,0.38996028848314046
3,14,50,2,Gef,0.6054153210030122,False,0.2953137706699609
4,14,50,2,Gef,0.6214639322007027,True,0.3113623818676514
5,14,50,2,Gef,0.6258583638318033,False,0.31575681349875195
6,14,50,2,Gef,0.691285070211425,False,0.38118351987837373
7,14,50,2,Gef,0.6437069565408631,False,0.33360540620781176
8,14,50,2,Gef,0.6224197007214356,True,0.3123181503883843
9,14,50,2,Gef,0.6333487899270493,True,0.32324723959399804
10,14,50,2,Gef,0.7964603527280183,True,0.486358802394967
11,14,50,2,Gef,0.7152277105722274,False,0.40512616023917614
12,14,50,2,Gef,0.7150140854830969,True,0.40491253515004555
13,14,50,2,Gef,0.63024283716667,True,0.32014128683361864
14,14,50,2,Gef,0.7482781205393516,False,0.4381765702063003
15,14,50,2,Gef,0.5636312609475455,False,0.25352971061449414
16,14,50,2,Gef,0.7187565087109633,False,0.408654958377912
17,14,50,2,Gef,0.7063512323280422,False,0.3962496819949909
18,14,50,2,Gef,0.793530046129567,False,0.4834284957965157
19,14,50,2,Gef,0.7408364534673737,False,0.4307349031343224
20,14,50,2,Gef,0.5675439642730529,True,0.25744241394000156
21,14,50,2,Gef,0.6689483475280764,False,0.3588467971950251
22,14,50,2,Gef,0.6773749818415131,False,0.3672734315084618
23,14,50,2,Gef,0.7285495387042669,True,0.41844798837121555
24,14,50,2,Gef,0.6555979712315265,True,0.3454964208984752
25,14,50,2,Gef,0.7134575665738234,False,0.4033560162407721
