ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,4,2,Osi,0.6092478604045705,False,0.23578880063349889
2,0,4,2,Osi,0.534164235783231,True,0.16070517601215945
3,0,4,2,Osi,0.5802748291616222,False,0.20681576939055063
4,0,4,2,Osi,0.6832723885492838,False,0.30981332877821227
5,0,4,2,Osi,0.70654019848462,False,0.33308113871354844
6,0,4,2,Osi,0.6542153926687997,False,0.2807563328977281
7,0,4,2,Osi,0.6893795423276499,False,0.3159204825565783
8,0,4,2,Osi,0.6554111678858537,True,0.28195210811478216
9,0,4,2,Osi,0.33909815542517674,True,-0.03436090434589484
10,0,4,2,Osi,0.5633079965335435,False,0.1898489367624719
11,0,4,2,Osi,0.6201740570881595,False,0.24671499731708796
12,0,4,2,Osi,0.6952663957247603,False,0.32180733595368877
13,0,4,2,Osi,0.6152038384145998,False,0.24174477864352822
14,0,4,2,Osi,0.4466986373622032,True,0.07323957759113164
15,0,4,2,Osi,0.6456003700558834,True,0.27214131028481187
16,0,4,2,Osi,0.642994493248967,False,0.2695354334778954
17,0,4,2,Osi,0.6687834551077921,False,0.29532439533672056
1,1,4,2,Osi,0.4905997105606,True,0.1171406507895284
2,1,4,2,Osi,0.6470481670982695,False,0.27358910732719793
3,1,4,2,Osi,0.7328828348527688,False,0.35942377508169726
4,1,4,2,Osi,0.48540246654846325,True,0.11194340677739167
5,1,4,2,Osi,0.4772160054682768,True,0.10375694569720523
6,1,4,2,Osi,0.6351710116702574,False,0.2617119518991858
7,1,4,2,Osi,0.6622709381396671,False,0.2888118783685955
8,1,4,2,Osi,0.629971314248247,False,0.25651225447717546
9,1,4,2,Osi,0.6883289229100527,False,0.3148698631389811
10,1,4,2,Osi,0.657034707452891,False,0.2835756476818195
11,1,4,2,Osi,0.6769310819583803,False,0.3034720221873087
12,1,4,2,Osi,0.6826854411201395,False,0.30922638134906794
1,10,4,2,Osi,0.6775832785520437,False,0.3041242187809721
2,10,4,2,Osi,0.6753590091149851,False,0.30189994934391357
3,10,4,2,Osi,0.6232505943646929,False,0.2497915345936213
4,10,4,2,Osi,0.6341956943607295,False,0.26073663458965796
5,10,4,2,Osi,0.7265968882386398,False,0.3531378284675682
6,10,4,2,Osi,0.811118882929635,True,0.4376598231585634
1,11,4,2,Osi,0.6459534583318639,False,0.27249439856079233
2,11,4,2,Osi,0.6364010281503208,False,0.26294196837924927
3,11,4,2,Osi,0.4691005079169086,True,0.09564144814583703
4,11,4,2,Osi,0.6594464217448252,False,0.2859873619737536
5,11,4,2,Osi,0.6296658122293819,False,0.2562067524583103
6,11,4,2,Osi,0.6284666821822829,False,0.2550076224112113
7,11,4,2,Osi,0.5553100352525903,False,0.18185097548151868
8,11,4,2,Osi,0.5932640380741859,False,0.21980497830311435
9,11,4,2,Osi,0.6412556787937634,False,0.26779661902269186
10,11,4,2,Osi,0.5934955910415937,False,0.22003653127052208
1,12,4,2,Osi,0.6092947389110202,False,0.23583567913994857
2,12,4,2,Osi,0.6966067431320113,False,0.32314768336093974
3,12,4,2,Osi,0.601093901707985,False,0.22763484193691347
4,12,4,2,Osi,0.6556392066404544,True,0.2821801468693828
5,12,4,2,Osi,0.702060628314123,True,0.3286015685430514
6,12,4,2,Osi,0.6407033751910551,True,0.26724431541998356
7,12,4,2,Osi,0.5445849163231915,False,0.17112585655211993
8,12,4,2,Osi,0.679816617838264,True,0.3063575580671924
9,12,4,2,Osi,0.729763252717105,False,0.3563041929460334
10,12,4,2,Osi,0.6632880492233649,True,0.28982898945229335
11,12,4,2,Osi,0.6414911899513974,False,0.26803213018032584
12,12,4,2,Osi,0.6310559014650227,False,0.2575968416939511
13,12,4,2,Osi,0.5992674085911676,True,0.22580834882009598
14,12,4,2,Osi,0.4813697003848764,True,0.10791064061380484
1,13,4,2,Osi,0.6765521423785591,True,0.3030930826074875
2,13,4,2,Osi,0.6905014090609616,False,0.31704234928989
3,13,4,2,Osi,0.6172654693797924,False,0.24380640960872085
4,13,4,2,Osi,0.5741981697154436,False,0.200739109944372
5,13,4,2,Osi,0.5946717445436588,True,0.2212126847725872
6,13,4,2,Osi,0.6660462545617473,False,0.2925871947906757
7,13,4,2,Osi,0.7161884560173728,False,0.3427293962463012
8,13,4,2,Osi,0.7064674977958699,False,0.33300843802479835
9,13,4,2,Osi,0.6792145095895806,False,0.30575544981850905
10,13,4,2,Osi,0.6807849955707184,False,0.3073259357996468
11,13,4,2,Osi,0.6793120039767173,False,0.30585294420564574
