ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,70,2,Vin,0.569108854541175,False,0.0445956055313359
2,0,70,2,Vin,0.5014269159915399,True,-0.02308633301829921
3,0,70,2,Vin,0.5970143663930962,False,0.07250111738325715
4,0,70,2,Vin,0.5306026829049131,False,0.006089433895073992
5,0,70,2,Vin,0.43911879219150307,True,-0.08539445681833602
6,0,70,2,Vin,0.6246994939674781,False,0.10018624495763906
7,0,70,2,Vin,0.6048150436600668,False,0.08030179465022769
8,0,70,2,Vin,0.5910665215289186,False,0.0665532725190795
9,0,70,2,Vin,0.4754903247164345,True,-0.0490229242934046
10,0,70,2,Vin,0.5221402906127276,False,-0.002372958397111491
11,0,70,2,Vin,0.6458464637914337,False,0.12133321478159464
12,0,70,2,Vin,0.5688462984575022,False,0.04433304944766314
1,1,70,2,Vin,0.551355452588358,False,0.026842203578518964
2,1,70,2,Vin,0.5710654347672312,True,0.04655218575739206
3,1,70,2,Vin,0.5846306118500231,True,0.060117362840183985
4,1,70,2,Vin,0.6007112126872839,False,0.0761979636774448
5,1,70,2,Vin,0.595567923462616,False,0.07105467445277691
6,1,70,2,Vin,0.503816270167834,False,-0.020696978842005054
7,1,70,2,Vin,0.5769484852191604,False,0.052435236209321334
8,1,70,2,Vin,0.5318101871579601,False,0.007296938148121046
9,1,70,2,Vin,0.5465843098641215,True,0.022071060854282454
10,1,70,2,Vin,0.5939234801983908,True,0.06941023118855172
11,1,70,2,Vin,0.5792047506070366,False,0.05469150159719749
12,1,70,2,Vin,0.5549067705256668,False,0.03039352151582775
13,1,70,2,Vin,0.5922813737170033,False,0.0677681247071642
14,1,70,2,Vin,0.6069321433099499,False,0.08241889430011085
15,1,70,2,Vin,0.5875246722961964,False,0.06301142328635734
17,1,70,2,Vin,0.5917806967317706,True,0.0672674477219315
18,1,70,2,Vin,0.5786407269301399,False,0.054127477920300815
19,1,70,2,Vin,0.6105369231896305,False,0.0860236741797914
20,1,70,2,Vin,0.5853191537548745,False,0.060805904745035444
21,1,70,2,Vin,0.572990163927343,False,0.048476914917503944
22,1,70,2,Vin,0.623279591767675,True,0.09876634275783591
23,1,70,2,Vin,0.6044154170160484,False,0.0799021680062093
24,1,70,2,Vin,0.6335541536884376,True,0.1090409046785985
25,1,70,2,Vin,0.5919903291022852,False,0.06747708009244613
26,1,70,2,Vin,0.6189349623494411,False,0.09442171333960203
27,1,70,2,Vin,0.5918602678184344,False,0.06734701880859528
28,1,70,2,Vin,0.5643380356486295,False,0.03982478663879041
29,1,70,2,Vin,0.6043187276846267,False,0.0798054786747876
30,1,70,2,Vin,0.6567142638081512,True,0.13220101479831214
31,1,70,2,Vin,0.5385555112996662,False,0.014042262289827079
1,10,70,2,Vin,0.5614457737850824,False,0.036932524775243336
2,10,70,2,Vin,0.579643378633924,True,0.05513012962408492
3,10,70,2,Vin,0.5636039179458402,False,0.039090668936001105
4,10,70,2,Vin,0.5658310784518731,False,0.04131782944203399
5,10,70,2,Vin,0.49414278798494254,False,-0.030370461024896545
6,10,70,2,Vin,0.4958666903913037,True,-0.028646558618535378
1,11,70,2,Vin,0.5728353597220833,True,0.04832211071224424
2,11,70,2,Vin,0.5217705971946639,True,-0.00274265181517519
3,11,70,2,Vin,0.5765496767549351,True,0.05203642774509598
4,11,70,2,Vin,0.5771497361140734,False,0.0526364871042343
5,11,70,2,Vin,0.5258307939844095,True,0.0013175449745703727
6,11,70,2,Vin,0.6126639030077136,True,0.08815065399787447
7,11,70,2,Vin,0.5584753833445667,True,0.03396213433472761
8,11,70,2,Vin,0.5530978299408847,False,0.028584580931045656
9,11,70,2,Vin,0.5510101522156321,False,0.02649690320579301
10,11,70,2,Vin,0.5922754872658981,False,0.06776223825605898
11,11,70,2,Vin,0.5148445373287762,True,-0.00966871168106287
12,11,70,2,Vin,0.604732524851958,False,0.08021927584211896
13,11,70,2,Vin,0.6033795862637442,False,0.07886633725390513
14,11,70,2,Vin,0.5743889730449167,True,0.04987572403507756
15,11,70,2,Vin,0.6358775877401187,True,0.11136433873027962
16,11,70,2,Vin,0.5754968025958167,False,0.050983553585977615
17,11,70,2,Vin,0.525727447280008,True,0.001214198270168887
18,11,70,2,Vin,0.6095091122884708,False,0.08499586327863173
19,11,70,2,Vin,0.633905924213246,False,0.1093926752034069
20,11,70,2,Vin,0.4880571220359592,False,-0.0364561269738799
21,11,70,2,Vin,0.59533249147445,False,0.07081924246461091
22,11,70,2,Vin,0.5298298339584511,False,0.00531658494861198
23,11,70,2,Vin,0.5913006383716018,False,0.06678738936176276
24,11,70,2,Vin,0.5946369826881989,True,0.07012373367835978
1,12,70,2,Vin,0.6067037444059261,False,0.08219049539608703
2,12,70,2,Vin,0.6107836189808401,False,0.08627036997100102
3,12,70,2,Vin,0.5798474902434883,False,0.05533424123364916
4,12,70,2,Vin,0.6000171707429715,False,0.07550392173313236
5,12,70,2,Vin,0.5854133958840487,False,0.06090014687420964
6,12,70,2,Vin,0.5535763458046595,False,0.029063096794820442
7,12,70,2,Vin,0.6332890099928389,False,0.10877576098299979
8,12,70,2,Vin,0.5537009059394743,False,0.02918765692963521
9,12,70,2,Vin,0.5229994010414006,True,-0.0015138479684384532
10,12,70,2,Vin,0.6052792196703087,False,0.08076597066046964
11,12,70,2,Vin,0.5601194963473333,False,0.03560624733749418
12,12,70,2,Vin,0.5747296508299796,False,0.05021640182014053
13,12,70,2,Vin,0.5762689779906194,False,0.05175572898078029
14,12,70,2,Vin,0.5814185057660162,False,0.05690525675617708
15,12,70,2,Vin,0.6026430417825096,False,0.07812979277267051
16,12,70,2,Vin,0.48734485661646776,True,-0.03716839239337133
1,13,70,2,Vin,0.6247472949370521,True,0.10023404592721297
2,13,70,2,Vin,0.5782239285643818,False,0.05371067955454267
3,13,70,2,Vin,0.517841539587392,False,-0.006671709422447103
4,13,70,2,Vin,0.5838155956132655,True,0.05930234660342637
5,13,70,2,Vin,0.5697566527527063,False,0.04524340374286717
6,13,70,2,Vin,0.6210720201544586,False,0.09655877114461953
7,13,70,2,Vin,0.558795968586119,False,0.03428271957627993
8,13,70,2,Vin,0.6095474536646731,False,0.08503420465483402
1,14,70,2,Vin,0.6045203089757758,False,0.08000705996593671
2,14,70,2,Vin,0.5491976727555912,False,0.024684423745752082
3,14,70,2,Vin,0.49000186177502886,True,-0.03451138723481023
4,14,70,2,Vin,0.5840016631918974,True,0.0594884141820583
5,14,70,2,Vin,0.5960224919924325,True,0.07150924298259342
1,15,70,2,Vin,0.5232932375058397,False,-0.0012200115039994186
2,15,70,2,Vin,0.5590513461261082,True,0.034538097116269095
3,15,70,2,Vin,0.5998302770406183,False,0.07531702803077922
4,15,70,2,Vin,0.6404760600997081,False,0.11596281108986906
5,15,70,2,Vin,0.49849533586048145,True,-0.02601791314935764
6,15,70,2,Vin,0.5684982638857277,True,0.04398501487588857
7,15,70,2,Vin,0.5761164501953828,False,0.051603201185543734
8,15,70,2,Vin,0.6049414158261003,False,0.08042816681626119
9,15,70,2,Vin,0.6318473126134467,False,0.10733406360360764
10,15,70,2,Vin,0.5538716773016061,False,0.029358428291767047
11,15,70,2,Vin,0.5842698777401625,False,0.05975662873032339
12,15,70,2,Vin,0.6009134859315465,False,0.07640023692170739
13,15,70,2,Vin,0.5563847778746163,False,0.03187152886477718
14,15,70,2,Vin,0.5436213757221934,False,0.01910812671235429
15,15,70,2,Vin,0.5797515854870257,False,0.05523833647718657
16,15,70,2,Vin,0.6014161019799689,False,0.07690285297012978
17,15,70,2,Vin,0.5426934094025964,False,0.018180160392757272
