Label,Predicted_Probability
Osimertinib,0.4541076564674421
Osimertinib,0.9981083237452074
Osimertinib,0.964804700785713
Osimertinib,0.9542710463318057
control,0.08247868159163677
Osimertinib,0.9515872826681437
control,0.016507939861024546
Osimertinib,0.9319332400391579
Osimertinib,0.9627669277233288
control,0.09221766823429607
control,0.06919964230124179
control,0.04796963953356601
control,0.16525367472039804
control,0.04667105643706952
control,0.035949553516381204
control,0.1334986788039391
control,0.1192279638580572
Osimertinib,0.9511388011815416
control,0.16479180305549682
Osimertinib,0.9648350293112266
Osimertinib,0.9782358556662893
control,0.034577135467064514
control,0.05505769046857909
control,0.7291388342448041
Osimertinib,0.8054202964223374
control,0.8925229815665977
control,0.054562899850950954
Osimertinib,0.40462743328203243
control,0.030057507347640344
Osimertinib,0.8975714196412063
Osimertinib,0.9786825026568385
Osimertinib,0.3593816396308742
control,0.03706265390137873
Osimertinib,0.9446542896037885
control,0.26640142202780825
Osimertinib,0.9473429084190453
control,0.013073578784180718
Osimertinib,0.7716570273610721
control,0.2233505703124253
Osimertinib,0.7619194830527848
control,0.08897663643129028
Osimertinib,0.9401286447954732
control,0.19723465137342572
control,0.0917088927550754
control,0.021145239776582204
Osimertinib,0.5120447729324079
control,0.038852595762993006
Osimertinib,0.7664197706555467
control,0.028851553276096453
control,0.015117010978840306
control,0.09817939248384148
control,0.16066449490265888
Osimertinib,0.764722779366473
control,0.04293618459057089
control,0.4543813756708423
Osimertinib,0.7361163838404305
control,0.09522144640367909
Osimertinib,0.9945111689818507
control,0.058619327536491614
control,0.10056133688864417
control,0.15758325741397616
control,0.04067572276994937
control,0.07507098773111631
Osimertinib,0.39968873913282615
control,0.13252390529214633
Osimertinib,0.4794325622929098
control,0.0392401363884
Osimertinib,0.5150673636254334
Osimertinib,0.8617161382992522
Osimertinib,0.9215797427136501
control,0.16152587099413784
Osimertinib,0.9347615125457172
control,0.08836023086351216
Osimertinib,0.8690761581196964
control,0.11042547491467378
Osimertinib,0.6799133359089667
control,0.12721537601170757
control,0.05356628657175004
Osimertinib,0.723271355252788
control,0.0752204886012362
Osimertinib,0.8484636763146177
Osimertinib,0.7767574351566905
Osimertinib,0.9443163743672589
Osimertinib,0.08146402932776442
control,0.14509076598390575
control,0.07658531730374638
control,0.17303474124762536
control,0.03357993378093029
control,0.04250682316540202
control,0.02881421049058779
control,0.4103935178209194
control,0.23251608849186986
control,0.21872995877734827
control,0.0780993914118231
Osimertinib,0.7831252610514026
control,0.057320508785889325
control,0.05229079606024689
control,0.03861482423873961
Osimertinib,0.9701513382221896
Osimertinib,0.7169756858320163
control,0.03718339152536605
control,0.051706100073217895
control,0.19933309926982848
Osimertinib,0.8543599785916667
control,0.057991294899626046
control,0.01701788059479472
control,0.021608371929296145
