Label,Predicted_Probability
gefitinib,0.9079474923992749
gefitinib,0.6005123401781723
gefitinib,0.7566455441991764
gefitinib,0.47354562572841336
control,0.3019591813983986
control,0.18390124806882746
gefitinib,0.7896826701590708
gefitinib,0.6794522123998222
control,0.1895249881754952
control,0.16208908308505482
gefitinib,0.6796540769242597
gefitinib,0.5205117939110324
control,0.3317645296638557
control,0.19905214629422635
control,0.12247619766821187
control,0.2332635462551705
gefitinib,0.7416987787377952
control,0.02482979112390526
control,0.14647373813666387
gefitinib,0.7401961244204427
control,0.24664437124713126
control,0.30308003969311315
control,0.20858655995497535
control,0.23562046820324328
control,0.29507647943626114
gefitinib,0.6460656927902819
control,0.3536154634093319
control,0.2882576985999329
control,0.32801454099068944
control,0.23311249457006378
gefitinib,0.8464347238697488
gefitinib,0.5282741466492261
control,0.3018279657296189
control,0.19799050037297117
gefitinib,0.8045903420674296
control,0.27705702260234677
gefitinib,0.6505807162853746
control,0.3502509037752651
control,0.20474134125861004
control,0.18317485946593687
gefitinib,0.3708227212220411
control,0.16177274053013788
gefitinib,0.6177303734605076
control,0.26096397056600673
gefitinib,0.7302018750896497
gefitinib,0.6752511643649656
gefitinib,0.7952884299602341
control,0.12868340630483627
control,0.31102186959123207
control,0.14092056377208276
control,0.30803765548920703
gefitinib,0.40239464623450444
control,0.3736122859259941
gefitinib,0.5662351407500026
gefitinib,0.3020499824531175
control,0.09697607192142436
control,0.3120733390215128
gefitinib,0.1902277755122007
control,0.2851670415265263
gefitinib,0.042557021148160554
control,0.11584182455017619
control,0.23265361067609183
gefitinib,0.6460494233921055
control,0.35915369309589795
gefitinib,0.2300975492337777
gefitinib,0.8341842066402207
control,0.18761716977944703
control,0.17036736248055606
control,0.290811615210737
gefitinib,0.6931975356081729
control,0.2556161578262446
control,0.3060925324879934
control,0.478023113719208
gefitinib,0.7085992921341482
control,0.17836996887743944
gefitinib,0.8735763152971421
control,0.45203314204234124
control,0.1846397738177746
control,0.3495431077379355
gefitinib,0.761514541218959
control,0.28409674893136927
control,0.21797777574222135
gefitinib,0.6081741784934858
control,0.3141648857508509
control,0.31327349568066365
control,0.21503376822505996
control,0.2534463837900642
gefitinib,0.6041241294482738
control,0.253590033719135
gefitinib,0.030534062561020238
gefitinib,0.47228842598243237
gefitinib,0.48554204393702427
control,0.29263957035760235
control,0.1517931446729489
gefitinib,0.7669324001017802
gefitinib,0.29087630329159453
gefitinib,0.7722072751982499
control,0.34550780641875545
control,0.36916087049611834
gefitinib,0.7921590319640008
control,0.1135280434455439
control,0.27754190999242434
control,0.09771954404338347
gefitinib,0.42375173960598367
gefitinib,0.5066722478462824
gefitinib,0.7498083889899949
control,0.19824852302581256
gefitinib,0.12789387758465845
control,0.377402694629254
control,0.37404381339607184
