Label,Predicted_Probability
gefitinib,0.8175089140164029
control,0.05557580121634352
gefitinib,0.9061304039267494
control,0.08398384104218737
gefitinib,0.9363041161062275
gefitinib,0.7402258802720019
gefitinib,0.6911907041342504
control,0.16002322140076286
control,0.05747359433903197
control,0.11529191703484427
control,0.1070828299187856
control,0.04053647205129564
gefitinib,0.6834359044204831
control,0.10219295148482507
control,0.09979615796002128
control,0.04102673440402392
gefitinib,0.9649656412511807
control,0.029758234596369115
control,0.5017421934557766
control,0.007395650978117308
control,0.0654686391844604
gefitinib,0.6036302147315438
gefitinib,0.8831306898131706
control,0.05782957560882669
control,0.01993872810969172
control,0.022184578320664474
gefitinib,0.9465556830664305
gefitinib,0.9031718288558948
control,0.4138694850231973
control,0.03881394165037445
control,0.8522072152096042
gefitinib,0.8745452067686342
control,0.015050386472167757
control,0.09534544407075685
gefitinib,0.4266001777914224
control,0.035532834626216384
control,0.3392303802183443
gefitinib,0.9738222939731761
gefitinib,0.8859323548717863
gefitinib,0.9855825081866604
control,0.07553726938413716
control,0.06535594090068289
control,0.09740498382573834
control,0.2767479289043543
gefitinib,0.9450455064961998
control,0.14166748482026534
control,0.6788992374640305
control,0.10745481111877922
control,0.1308381603588596
gefitinib,0.7095858978366059
gefitinib,0.6992390691205971
control,0.07634495189625576
gefitinib,0.9173858789529467
control,0.03743044153372445
control,0.03678871232910241
gefitinib,0.8450197791892325
gefitinib,0.9635636484050215
gefitinib,0.6807244354358958
gefitinib,0.9021161080468149
control,0.020416824317014803
gefitinib,0.6106703554234538
control,0.04949168339715635
control,0.07634662750745178
control,0.06371550742030375
control,0.024274968797720703
gefitinib,0.1393343318470006
gefitinib,0.7014921918595315
gefitinib,0.9364297483685153
control,0.036084569948757174
control,0.026159141772090326
gefitinib,0.9734752319115628
control,0.04218737371977428
control,0.02170884633953842
gefitinib,0.9593274988173283
control,0.10937918306123048
control,0.06799392535460755
control,0.08883641487806168
control,0.886321392358133
control,0.018338093172265736
control,0.09672889652536586
gefitinib,0.9541920448875668
control,0.08804438087532211
control,0.24062693217322884
gefitinib,0.9649838809978675
gefitinib,0.7126124739603754
control,0.18021877836149222
control,0.020596634459809297
gefitinib,0.9451452869768857
control,0.02969482551820189
control,0.8287440160888118
gefitinib,0.9292634462776735
gefitinib,0.935617605196869
gefitinib,0.8735457116224437
control,0.8665492143516917
control,0.0818130473446641
gefitinib,0.4747843553593024
control,0.04331385605245666
control,0.06231470670719581
gefitinib,0.46066991175548233
gefitinib,0.9115874088412976
gefitinib,0.9204596716219073
gefitinib,0.8553754534470253
gefitinib,0.8924639454145789
control,0.33752342341995123
gefitinib,0.9728192698962796
control,0.036774738413867206
control,0.09770732269507285
control,0.06150080139133577
gefitinib,0.7660845587060935
gefitinib,0.6136967379988152
gefitinib,0.08064618405828729
gefitinib,0.7225025817494585
control,0.6794433755657475
gefitinib,0.7439626853056678
control,0.020654076652998902
control,0.03945963443124436
control,0.04797078735373413
gefitinib,0.8446952736944517
control,0.023364920511444516
gefitinib,0.8898775169360966
control,0.07016669317611633
gefitinib,0.9335051080130714
control,0.14896149188720426
gefitinib,0.7826667607426635
control,0.11481163785469647
control,0.033726254892199825
control,0.004130034251136687
control,0.03308449725846157
control,0.05916392963780751
control,0.32375950493965583
gefitinib,0.853089634826125
control,0.31497709016459213
gefitinib,0.9773289164883853
control,0.055400558088896566
control,0.47278153195640804
control,0.5799199551899377
gefitinib,0.6859785912721789
control,0.04295912761440394
control,0.06328279310642078
gefitinib,0.952186849843317
gefitinib,0.8000472525896809
control,0.18471531930035542
control,0.03717951776057409
control,0.04392011550392613
control,0.7218095373344919
control,0.040393112139370455
gefitinib,0.9447100974736701
control,0.03736356401569706
gefitinib,0.8768201683632124
control,0.03102694017132599
gefitinib,0.9206125984239393
control,0.16103870368538625
gefitinib,0.5048116869857926
control,0.09784659829773579
control,0.027620571952872864
control,0.7817970166496877
control,0.09946303015878093
control,0.014297595414732097
control,0.00011084485652225777
control,0.1489537628504615
control,0.21860252437645342
control,0.04417211511013098
gefitinib,0.8930316803143613
control,0.03955788205648426
gefitinib,0.40634622975912327
control,0.015404510855450918
gefitinib,0.8504940494766096
control,0.1357038883108094
gefitinib,0.7893643944985712
gefitinib,0.8687353936502186
gefitinib,0.6520990487242038
control,0.18730473943160986
control,0.11933349635970147
control,0.0410052189682486
control,0.038941267894421275
control,0.014350990676205832
gefitinib,0.5674787517588984
control,0.09511146374101938
control,0.023631505869206315
gefitinib,0.9069229869836665
control,0.04961055826158205
control,0.12008591296233366
control,0.008301100681317956
gefitinib,0.97544219826762
control,0.020083618551487346
control,0.08130522096056621
gefitinib,0.9814067265348754
gefitinib,0.7007161550914639
control,0.014788767856395702
gefitinib,0.5925019339556903
control,0.07495792809010163
control,0.005594964044507583
gefitinib,0.637809753706222
gefitinib,0.9402820217504886
gefitinib,0.8193242183740947
control,0.31378842272713175
gefitinib,0.988277814457077
control,0.046817253890383916
control,0.2033759670607377
control,0.08309212518773479
gefitinib,0.4240235827888358
control,0.032405390354242204
gefitinib,0.9860268634449205
gefitinib,0.9404297888144214
control,0.00478591639089879
control,0.05769690216969085
control,0.0140340398205761
control,0.18793061736958921
control,0.03757863341180907
gefitinib,0.9209806731435277
gefitinib,0.9102127928881384
control,0.038765025395697615
control,0.04108087155200076
control,0.06276477767801246
gefitinib,0.9236182226250573
control,0.2875897468579078
gefitinib,0.8580024987310979
control,0.06652904257678245
gefitinib,0.6424905435849627
control,0.10622100797428827
control,0.048363632794488576
control,0.07127325584860995
control,0.042493972357446286
gefitinib,0.8678064723616726
control,0.18018049035482725
control,0.03193666154230784
gefitinib,0.8999501170019075
gefitinib,0.8164054515683009
gefitinib,0.9540600443877064
gefitinib,0.8450247167490407
gefitinib,0.48776242220837895
control,0.07298045314142768
gefitinib,0.9662451115496543
control,0.920879574320159
control,0.03982500800998806
control,0.059290791026606525
gefitinib,0.9112066445860139
gefitinib,0.7418867006893309
control,0.020900808690661344
control,0.05626403083168988
control,0.008764861577239949
control,0.07371991362765204
control,0.02828210343452165
control,0.06430851926088407
control,0.0552300607897232
gefitinib,0.8940198899122492
control,0.5874779771721703
gefitinib,0.37596841735043207
control,0.10624322516943599
gefitinib,0.9008409816749854
control,0.11781990838766265
control,0.12349784937972116
control,0.09336177237268316
gefitinib,0.7271873775802878
gefitinib,0.486513120179546
control,0.05557934422502425
control,0.26830635261264135
control,0.022982087333615644
control,0.031793005897446484
gefitinib,0.3076712376394298
gefitinib,0.8911295066036692
gefitinib,0.9388523315172129
gefitinib,0.3948703355519817
control,0.42087443538249936
control,0.009595717720323324
control,0.1833152084899729
gefitinib,0.5035082526619258
gefitinib,0.8242423588358523
control,0.08226723830042246
control,0.05187562635692664
gefitinib,0.8720173427311346
control,0.09997168483527893
control,0.030626826310623752
control,0.041614109338133046
gefitinib,0.6712354757928967
control,0.06955273572981048
control,0.001459077898297205
gefitinib,0.8905230740118186
gefitinib,0.5165795804077231
control,0.08543681391538512
control,0.06040768284288052
gefitinib,0.998397829774164
control,0.0667178169540936
gefitinib,0.9487060200964669
control,0.06144002304180753
control,0.16497596163597517
gefitinib,0.9708377999429203
control,0.025642505941293203
control,0.04413476854413734
gefitinib,0.9146685758222519
control,0.06516021324335339
control,0.02328446350813744
control,0.07939205952584377
control,0.004838045552909578
gefitinib,0.9725757459453505
gefitinib,0.6902269067816105
control,0.03770377466745703
gefitinib,0.9339033902033407
control,0.1275469314024969
control,0.653628657100494
gefitinib,0.9163208137210056
control,0.08252908178292
gefitinib,0.9724433554372137
