Label,Predicted_Probability
osimertinib,0.5233934285681547
osimertinib,0.38913524476203565
control,0.35700442366759205
control,0.14932465924388796
control,0.2767881333296442
osimertinib,0.21128471026429446
control,0.24945572204274452
osimertinib,0.40739874209108196
control,0.7274769933095986
osimertinib,0.688832539732697
control,0.15999825489434402
control,0.32888734245695034
osimertinib,0.1475397773116903
osimertinib,0.6460033204780588
control,0.3410050191363613
control,0.46594284317110396
control,0.18659889564292342
osimertinib,0.303347882956693
control,0.23320661396355563
osimertinib,0.40147787208251967
control,0.1438913065978163
control,0.26218311747176054
control,0.2816565568711893
control,0.5300771461801632
control,0.5449603016947921
osimertinib,0.2727281586878464
control,0.4237511437478604
control,0.8536357883442433
control,0.14656346927519995
control,0.11633548937801622
control,0.2828505272265961
control,0.1528610222757615
control,0.2118445123987292
control,0.453545599566321
control,0.30172569626358514
osimertinib,0.6047380415322119
osimertinib,0.6164453687179933
control,0.42894176691498825
osimertinib,0.5152851652081776
control,0.8612046920230073
osimertinib,0.41320332925492426
control,0.41897225059457827
control,0.13062373101880725
control,0.04315103267686935
osimertinib,0.38060215498570615
control,0.28282048609911553
osimertinib,0.4766607045574068
osimertinib,0.35189086732469604
control,0.3013001042922764
control,0.40869127595943205
osimertinib,0.5525612437308413
control,0.18822771521255535
control,0.2484574365739179
control,0.17738221239314367
osimertinib,0.09619117243461475
control,0.6987037383460566
osimertinib,0.3139766544525585
control,0.12019243738651439
control,0.33904952862382287
control,0.2671603666458183
control,0.20285892665131997
osimertinib,0.6629783714091511
control,0.24651240117660142
osimertinib,0.13459067248850637
control,0.3535834192937095
osimertinib,0.27815570238828824
control,0.257251296571891
osimertinib,0.1628139476877252
osimertinib,0.5588818901051547
control,0.3608012527480782
osimertinib,0.37651689541963
control,0.17249357982821628
control,0.23942648282930773
osimertinib,0.4471911219639478
osimertinib,0.1491415819704624
osimertinib,0.3393010750684129
osimertinib,0.40627410799853453
control,0.3529787010396072
osimertinib,0.4665738131560963
osimertinib,0.3174763336328116
control,0.24850901823658034
control,0.3520149083966049
control,0.32740532695618974
osimertinib,0.9630325867918067
control,0.9365956248307693
osimertinib,0.6387456617960275
osimertinib,0.2638556105876352
control,0.26056902021206946
osimertinib,0.2715860144694928
control,0.26993032025530717
control,0.24625555082392364
control,0.4593090919832325
control,0.43426416040395976
osimertinib,0.3048164652061667
osimertinib,0.8036473126108857
control,0.3706909407035618
osimertinib,0.17838047393645676
control,0.21608419880216304
osimertinib,0.6902387671551227
control,0.5892720616352667
control,0.1793560652337382
control,0.4462889265517818
control,0.2118037461008913
control,0.37288373556291454
control,0.19142976818687388
osimertinib,0.3891142869960321
osimertinib,0.714625414429799
