Label,Predicted_Probability
gefitinib,0.9819345907270695
gefitinib,0.5739631046422594
gefitinib,0.3949924865597632
gefitinib,0.42216553701364035
control,0.22662260968192688
control,0.18856792084819643
gefitinib,0.3718320567426524
gefitinib,0.6624996483037708
control,0.2501331330700518
control,0.24560086061738665
gefitinib,0.36677776708918225
gefitinib,0.5432144686702036
control,0.15938532521063262
control,0.17910164708222387
control,0.2562509696551871
control,0.362988670584105
gefitinib,0.7103251849589584
control,0.44180775113267534
control,0.23371830524671303
gefitinib,0.6154818497615653
control,0.3441981024952783
control,0.26362679397499195
control,0.3646953717055921
control,0.3671164114042619
control,0.362151586818264
gefitinib,0.44515652356648483
control,0.28416178603337544
control,0.24647624494407214
control,0.3594070825565543
control,0.30045495569558217
gefitinib,0.5502717948676917
gefitinib,0.4939949068297215
control,0.37455230827487407
control,0.4157621113896467
gefitinib,0.6945309716637869
control,0.3178920730652507
gefitinib,0.4077606478656697
control,0.3539271717695125
control,0.14969294211879935
control,0.44218984889181767
gefitinib,0.4413373930306686
control,0.2573392717063735
gefitinib,0.31368818983841107
control,0.4430289305585237
gefitinib,0.4496346008763199
gefitinib,0.19506355754197247
gefitinib,0.5270471263558532
control,0.3370890365839726
control,0.2912027571448243
control,0.26394055792073595
control,0.38676131170413114
gefitinib,0.3277498299582339
control,0.4655724229661774
gefitinib,0.4580253844889962
gefitinib,0.34416633294926735
control,0.479898468389357
control,0.32958961075822096
gefitinib,0.3939867817843351
control,0.259720990976008
gefitinib,0.3034415429174163
control,0.3254768877306491
control,0.26849664867618295
gefitinib,0.5242467196061315
control,0.31719982339973435
gefitinib,0.3499356032961169
gefitinib,0.5304261480859539
control,0.3835816583695705
control,0.2737981340373765
control,0.4180261609274972
gefitinib,0.3916196628296954
control,0.3320837553351767
control,0.5288545280304281
control,0.30457219973991034
gefitinib,0.7817192591473078
control,0.13705830807370506
gefitinib,0.6876043689650401
control,0.37982627489875487
control,0.2828342118014352
control,0.5667592862762252
gefitinib,0.6468141894284514
control,0.21559947471670707
control,0.22945147669007832
gefitinib,0.2770305528091841
control,0.21888020786162093
control,0.5424556223073498
control,0.3849167890856126
control,0.47739959987682984
gefitinib,0.4328633374702181
control,0.18331959911213114
gefitinib,0.6194388081019537
gefitinib,0.48905380388151737
gefitinib,0.4375134649971387
control,0.4370647863915694
control,0.27041053339533283
gefitinib,0.46812247761873127
gefitinib,0.37115180536010073
gefitinib,0.43845709715006664
control,0.5544439829490582
control,0.2494979453837857
gefitinib,0.5597672322390469
control,0.336234036795649
control,0.25442774017979175
control,0.33704550566679636
gefitinib,0.5809765327342788
gefitinib,0.43646952875096057
gefitinib,0.5250808527836145
control,0.4139227693081387
gefitinib,0.2632887320300054
control,0.4095549833954847
control,0.22657870064734528
