Label,Predicted_Probability
Osimertinib,0.39097068813106317
control,0.16346765275385672
control,0.14487750160095667
control,0.09705355972048131
control,0.4194952951936483
Osimertinib,0.8092802429545257
control,0.10341862904349577
control,0.08825665434099313
control,0.0873513576577897
Osimertinib,0.8925130758294013
Osimertinib,0.8323304379905829
Osimertinib,0.37046239265124853
control,0.6840452926882383
control,0.058579685964686434
control,0.23830320949584208
Osimertinib,0.6081304616770415
control,0.06738060544260742
control,0.3183805506661795
control,0.10464022541528313
control,0.31291913526441695
control,0.13987602567609608
Osimertinib,0.3954585780530825
Osimertinib,0.5964312776409123
control,0.4925155591418632
control,0.12246814139525793
Osimertinib,0.056440620704975485
control,0.11012346415460794
Osimertinib,0.42307983842817987
Osimertinib,0.4991259402422358
Osimertinib,0.222683083117058
control,0.058568996270431196
Osimertinib,0.36310355299411856
Osimertinib,0.09170316768543338
control,0.6392137673108209
control,0.09230050281876993
control,0.6024724699057675
Osimertinib,0.6306716632634819
control,0.14443642829640388
Osimertinib,0.5090151985316052
Osimertinib,0.417407543488698
control,0.096625498757878
Osimertinib,0.7365282106623277
Osimertinib,0.8990448612994131
control,0.15254468694706774
control,0.2903695460096375
Osimertinib,0.6249627581413075
control,0.24895201766587438
control,0.07391245797935649
control,0.08664497921179319
control,0.12416633453574814
control,0.3101569908967476
Osimertinib,0.3586243622551176
control,0.03496690140623222
control,0.08479573291933591
control,0.05501846585350532
control,0.18064419868900944
control,0.11380153190551652
Osimertinib,0.516249655486642
Osimertinib,0.8563342967166104
control,0.2249611948443472
Osimertinib,0.751993813897046
control,0.037506121012929584
control,0.15321054573848344
Osimertinib,0.47777807422163415
control,0.6888575480461334
Osimertinib,0.8623308651300959
control,0.17806240371040835
Osimertinib,0.37139480822415555
Osimertinib,0.8545804824167081
Osimertinib,0.8687964630595999
control,0.12017751832112278
control,0.1647246438844014
Osimertinib,0.4112632307640528
Osimertinib,0.15169539870548748
Osimertinib,0.8713605637598991
control,0.8557899875196506
control,0.10216215427552351
control,0.21461884304188236
control,0.11436358623650675
Osimertinib,0.6174466807333746
Osimertinib,0.3766311088628809
