Label,Predicted_Probability
gefitinib,0.7400093497342504
gefitinib,0.4419736227296056
gefitinib,0.4457608038420434
gefitinib,0.3749839766618006
control,0.3548621642583228
control,0.3558914707335448
gefitinib,0.3441086751927299
gefitinib,0.4063530249941555
control,0.3565322746131535
control,0.30175388944361886
gefitinib,0.42646343727506153
gefitinib,0.46036767238918525
control,0.3529300608859092
control,0.3220536730261682
control,0.40012872115504267
control,0.4036315690562048
gefitinib,0.5145370485741236
control,0.35162672624080393
control,0.3795998652093285
gefitinib,0.4787234691371819
control,0.33396402804951564
control,0.40256759140280646
control,0.3511455712082645
control,0.33399323724996827
control,0.36824182286714235
gefitinib,0.4484580652438922
control,0.3462277823611163
control,0.3071944238964489
control,0.4288267810326675
control,0.6753747525290812
gefitinib,0.44158373965178
gefitinib,0.47923703463227146
control,0.3757441489104041
control,0.47339246505285815
gefitinib,0.47497668583816777
control,0.317080200077824
gefitinib,0.37987435652532275
control,0.3567587113783529
control,0.3737477081662998
control,0.3989657349695568
gefitinib,0.4452023548164778
control,0.3197067480460366
gefitinib,0.5982349157608305
control,0.47979663438720294
gefitinib,0.4358757442504997
gefitinib,0.3208514566525974
gefitinib,0.5080495410046412
control,0.45331268730578334
control,0.41583780156970096
control,0.35059994079265044
control,0.3290131287850712
gefitinib,0.4379355985020325
control,0.4352738117413143
gefitinib,0.35552490549447524
gefitinib,0.4370185926997993
control,0.44276725270694284
control,0.3698794286881499
gefitinib,0.45373115851434037
control,0.37668700476850014
gefitinib,0.4031806565731106
control,0.3877971087693676
control,0.34511448352632235
gefitinib,0.4086837772607398
control,0.31643927685888074
gefitinib,0.3955259189391307
gefitinib,0.4425344472303296
control,0.2846634027339695
control,0.3522743356093885
control,0.3575977369763074
gefitinib,0.3301326698354119
control,0.3679754119112867
control,0.47570467374632985
control,0.4045972666014265
gefitinib,0.5502209648502077
control,0.373218240829015
gefitinib,0.44360988181015737
control,0.39147133426691805
control,0.29872248183025824
control,0.38379589912050427
gefitinib,0.49145574484816834
control,0.4770950989229136
control,0.37704001300329343
gefitinib,0.41651611545415906
control,0.4696557243297882
control,0.39387434445377856
control,0.351197295330302
control,0.4151970632123293
gefitinib,0.3948202837307777
control,0.35755046767171156
gefitinib,0.5844153603789128
gefitinib,0.417282477307912
gefitinib,0.46962849954492525
control,0.4109156317850897
control,0.3604107376885477
gefitinib,0.44710723954148035
gefitinib,0.41138906252643503
gefitinib,0.4057556159369281
control,0.4850519835787931
control,0.4149243217845626
gefitinib,0.39515360365406565
control,0.48900604220169663
control,0.3466377944958414
control,0.43040141981796703
gefitinib,0.360348801904379
gefitinib,0.4633522821448821
gefitinib,0.381782095659436
control,0.37528298819168443
gefitinib,0.4225157847391583
control,0.36466851578285003
control,0.29254651729439907
