Label,Predicted_Probability
control,0.3528102734639064
osimertinib,0.42048583987018784
control,0.382588225777351
osimertinib,0.4610542765161413
control,0.3427444728682036
control,0.4045039697789625
control,0.31822017612253717
control,0.4520940000898041
osimertinib,0.5617272549802877
osimertinib,0.4839453959513912
control,0.4608101916514492
control,0.40382291764644523
control,0.4553319584548195
osimertinib,0.41300075944120734
osimertinib,0.27382266599456784
control,0.4004982963340985
control,0.3689220453759693
control,0.35458914766024735
control,0.38035382639313725
control,0.3367145192462454
control,0.4216939944620699
osimertinib,0.3447006326541941
control,0.35841064013325075
control,0.3244876105819061
osimertinib,0.4404734507667363
control,0.4068601151577824
control,0.34028742072144547
control,0.3752590177960899
osimertinib,0.39774874537918214
control,0.3459503060446283
osimertinib,0.5007008193170209
osimertinib,0.37545643752759555
osimertinib,0.4135943111326311
control,0.3230259498978299
control,0.4128911206770498
osimertinib,0.40669089739956765
control,0.3775378702892058
control,0.3349766787087211
control,0.3709398932075533
control,0.4432273407427445
control,0.42998756259415316
control,0.4445493944938234
osimertinib,0.5079613917562222
control,0.42336531845318265
osimertinib,0.5567210447894098
control,0.2959430560421751
control,0.28552996113853146
osimertinib,0.3654830295069141
osimertinib,0.6368605203647776
control,0.3530768268485004
osimertinib,0.3777638898116248
control,0.3617640555741929
control,0.4635403819825129
control,0.4788893349693385
osimertinib,0.4348176530570841
control,0.43664015009426527
control,0.27729930744189624
control,0.3844409770764425
control,0.3279626320594728
osimertinib,0.4226711609615844
osimertinib,0.36091612134870166
control,0.33864372901935175
osimertinib,0.4847158569154907
osimertinib,0.30099055860260443
control,0.33238783172782693
control,0.38141946520390896
osimertinib,0.423830381305336
osimertinib,0.3679492231491203
osimertinib,0.32984383182487376
osimertinib,0.33999919371888987
control,0.46572805862467687
osimertinib,0.4336406167131984
control,0.4397213020095063
control,0.4600821503567262
control,0.46381446155181577
osimertinib,0.42840431051113
control,0.2890658410821174
osimertinib,0.44377948478909734
osimertinib,0.4174441107873578
control,0.3730223196090021
osimertinib,0.3799376969641491
osimertinib,0.37022194778605666
control,0.34341192037114376
control,0.2969669064990586
control,0.3600972727581334
osimertinib,0.36837539922290624
control,0.3633507692580828
control,0.3529841563917041
osimertinib,0.3611580751453098
osimertinib,0.38710582463295334
control,0.4247799463026455
control,0.35490816753825116
control,0.406201377155221
control,0.40781547592728656
control,0.3610173806703816
osimertinib,0.34140628609242557
osimertinib,0.4174670993349266
control,0.37457129261280075
control,0.35422060342288625
osimertinib,0.4810503995587328
osimertinib,0.32841201514646234
control,0.34838908375197075
control,0.45642065749588123
control,0.33325621874619415
control,0.33766052027929205
osimertinib,0.4744649697608881
