Label,Predicted_Probability
control,0.16500947464368323
control,0.10997928506160799
control,0.10351042141008286
control,0.1021977162018241
control,0.12020565430528625
Osimertinib,0.7089787488116933
control,0.1174981742514205
control,0.41934950505444657
Osimertinib,0.5094462153118663
Osimertinib,0.8089759633997945
Osimertinib,0.8750216541885264
Osimertinib,0.8521158949189613
Osimertinib,0.8815029493831383
control,0.11815561459538279
Osimertinib,0.8784410600106567
Osimertinib,0.7115258856548091
control,0.17004193469713985
control,0.11008704107025184
control,0.49162973022058204
control,0.09924129469030127
control,0.23971877212136747
Osimertinib,0.8841345956229114
control,0.099935293513716
control,0.11054037328794959
control,0.10154260094457665
control,0.10964142333291844
control,0.09539300821141258
Osimertinib,0.8783152633415066
control,0.11356046351101438
control,0.1052226869454707
control,0.19038864367262082
control,0.1277261692281561
control,0.1542263719610146
Osimertinib,0.8012173203788324
Osimertinib,0.8472787149132049
Osimertinib,0.5624751204525847
control,0.12107929592689907
Osimertinib,0.7576790629394414
control,0.09825444894505278
control,0.10262245764474406
control,0.10659520522868375
control,0.10896395230478842
control,0.1526554475593393
control,0.09996226343431067
control,0.10573777792400993
control,0.10223484844686873
Osimertinib,0.8414279395978754
control,0.10403896882749883
control,0.09824794988296728
control,0.4117442461968894
control,0.307674250646356
Osimertinib,0.7011813471971571
Osimertinib,0.8722383471776547
Osimertinib,0.8219514810834859
control,0.16946573234115492
control,0.10519686142346105
Osimertinib,0.8814986205686524
control,0.12366653888120346
Osimertinib,0.872247987744661
Osimertinib,0.701256689235055
control,0.10960970089442787
control,0.11384058711835969
control,0.10562217981478979
control,0.11056384398541723
control,0.12051555442083965
control,0.12099170948501665
control,0.1056566832348971
control,0.10929444070792449
control,0.12513669549353224
control,0.4981909854173926
control,0.09778848205031301
control,0.11200396937190457
control,0.11037714235331628
Osimertinib,0.8408274484020325
Osimertinib,0.7719215611360439
control,0.1372940304398567
control,0.10090234406933943
Osimertinib,0.8395011449399282
Osimertinib,0.8777298870774155
control,0.10721811352601282
Osimertinib,0.6404248637017523
control,0.19213976065867047
control,0.09780625777629988
Osimertinib,0.8365891482247216
Osimertinib,0.8204496807450953
control,0.10084296922657185
control,0.12011090706382613
Osimertinib,0.8664526084013943
control,0.13117063730853087
control,0.10662477821202669
control,0.11423360529625268
Osimertinib,0.6999231218367424
control,0.12280362625858747
Osimertinib,0.8645861909963382
control,0.10779704951880557
Osimertinib,0.8706377710730054
Osimertinib,0.8446606380443079
Osimertinib,0.881702641685472
Osimertinib,0.8359056172621534
control,0.13778937065200594
Osimertinib,0.6980418245206497
Osimertinib,0.6360012714380539
control,0.16647108954501041
Osimertinib,0.7286772901297158
Osimertinib,0.8649856354724921
control,0.20456418911920315
Osimertinib,0.7809521100261664
Osimertinib,0.8730008090743366
control,0.1077772610210627
Osimertinib,0.8664006181502927
control,0.10777837810457773
Osimertinib,0.8667300482073234
Osimertinib,0.8834841042016397
Osimertinib,0.7916860078911638
control,0.5197487873743502
control,0.8570987385183425
Osimertinib,0.8688764044323216
control,0.1228370377196835
control,0.10307371433581106
control,0.1017291125065923
control,0.12387699129604864
control,0.19627310274338092
Osimertinib,0.8126099838432495
control,0.12685386062786133
Osimertinib,0.8778563287546726
Osimertinib,0.8648424276567587
Osimertinib,0.8705073149573769
Osimertinib,0.7379157115331483
control,0.1157019890514431
control,0.09936280383839491
control,0.13259344593499164
control,0.1120844670763785
control,0.11149808876502491
Osimertinib,0.8628072474730974
control,0.138996515675046
Osimertinib,0.8361394607625332
control,0.11349701033696266
Osimertinib,0.7678143529708322
Osimertinib,0.6773707259896072
Osimertinib,0.8694265718783434
Osimertinib,0.8840190748901648
control,0.11240560198159973
Osimertinib,0.8679132149006458
control,0.10409549529353486
control,0.11274883688049205
Osimertinib,0.8696356586494962
control,0.2563366002713986
Osimertinib,0.8826342244774825
Osimertinib,0.8668343139698613
Osimertinib,0.8830632920847374
Osimertinib,0.8280195849599583
control,0.8066304051894736
control,0.10053028581640835
Osimertinib,0.8593620101865639
Osimertinib,0.828872804376417
Osimertinib,0.8744266095737645
Osimertinib,0.8737730486076092
control,0.10088401711442714
control,0.1018880551029002
control,0.10580629877193093
Osimertinib,0.8849309304970291
Osimertinib,0.8745618924201672
Osimertinib,0.841771921277253
control,0.10458293942790942
control,0.10815065159774576
Osimertinib,0.8715092972896574
control,0.10829158373138617
control,0.10946278366773869
control,0.09604505718429868
control,0.12729042382433994
control,0.1071570565890166
Osimertinib,0.7969113322806081
Osimertinib,0.8558035768505448
Osimertinib,0.8651705529675968
control,0.6839048601904612
control,0.09687999326463718
Osimertinib,0.8538600719569971
Osimertinib,0.8185643427261523
control,0.11822138230242978
control,0.15480847635670672
Osimertinib,0.8641107023407979
Osimertinib,0.8223253529997689
control,0.09814373330102626
control,0.09699613648246357
control,0.1202785483302877
control,0.11164317377972086
control,0.10622294555878593
control,0.10035313312722853
Osimertinib,0.8822839367026027
control,0.10906941714460386
control,0.2804913333344617
control,0.14225173859700307
control,0.21575075666688628
control,0.11773538350420834
Osimertinib,0.8070380779067625
control,0.11155858568269694
Osimertinib,0.7976597943019519
Osimertinib,0.6565838938816444
Osimertinib,0.8034848463009547
control,0.09829991827393239
control,0.10045985831198216
control,0.1172824746340891
control,0.11658506781038738
control,0.09746683021772448
control,0.10220246594339928
control,0.10610628916490761
control,0.11454213483935613
Osimertinib,0.8499026476342586
control,0.11105588726292488
control,0.09715945578991966
Osimertinib,0.8320375765244166
Osimertinib,0.8172532310359264
Osimertinib,0.8448807980564306
Osimertinib,0.8852415167618733
control,0.15826787068764134
Osimertinib,0.8209552520395563
Osimertinib,0.7358120961294319
Osimertinib,0.8541275846866201
Osimertinib,0.8744123655087493
Osimertinib,0.6710126703043906
Osimertinib,0.8662999598864951
control,0.09779160058250642
control,0.1193068665409787
Osimertinib,0.8554893787193898
Osimertinib,0.840209511937978
control,0.1221908701572956
Osimertinib,0.8596080829019502
Osimertinib,0.8720396735145501
Osimertinib,0.8411429254472246
control,0.13965486110281558
control,0.09635868471231171
control,0.11120435533011944
Osimertinib,0.8793922946986967
Osimertinib,0.8625180489549635
Osimertinib,0.8488988907803204
control,0.15155145531592176
Osimertinib,0.699281773209199
Osimertinib,0.811579416776501
Osimertinib,0.8690369972954614
control,0.14142990098398905
control,0.10593235750931992
Osimertinib,0.7253512847520583
control,0.10097259793028641
control,0.1021720686230682
Osimertinib,0.8269770377972586
control,0.10676926309747273
Osimertinib,0.8599998209982049
Osimertinib,0.8377094545761112
control,0.10055584115089714
control,0.12176458976895761
Osimertinib,0.872355849914378
Osimertinib,0.8747019481704938
Osimertinib,0.804512112458222
control,0.10889345124968741
Osimertinib,0.8684691120578755
Osimertinib,0.8841063760744845
control,0.14030641212045472
control,0.1684172748195189
Osimertinib,0.870254285008637
control,0.09935507500422569
Osimertinib,0.8780994370931262
control,0.11629567876800881
control,0.12103356755926223
control,0.1339493318272369
Osimertinib,0.8832821291629609
Osimertinib,0.8509459250023264
control,0.11644506206549217
control,0.10246485519232354
control,0.1120415564449013
control,0.1137434666371323
Osimertinib,0.8676076490988901
Osimertinib,0.606893676748086
control,0.11407513412874462
control,0.11933228569580831
Osimertinib,0.8577466826050456
control,0.10955987874440624
Osimertinib,0.8731021433533034
Osimertinib,0.7899958834113129
control,0.10212261506004265
Osimertinib,0.7382338994824942
Osimertinib,0.875116404079138
control,0.10140385599853682
Osimertinib,0.6434723167496751
control,0.19185152559973442
control,0.10289829618043567
control,0.10459441760701838
Osimertinib,0.8506380232211008
control,0.10715968187047265
control,0.10569476038802746
control,0.1047327033110177
Osimertinib,0.796992827094327
control,0.11578567046372604
Osimertinib,0.8595726852017723
Osimertinib,0.878380958699527
Osimertinib,0.8316022674330741
control,0.10662201126061646
control,0.6229112650020288
Osimertinib,0.8662581319761697
Osimertinib,0.8593509330758355
Osimertinib,0.521284591150567
Osimertinib,0.8866699208131011
control,0.1146935470919622
control,0.1083222003868128
control,0.102698597928025
Osimertinib,0.757312883076082
control,0.10097670545724471
