Label,Predicted_Probability
control,0.030915059007023443
control,0.04339274289057688
control,0.09286005660309868
gefitinib,0.9091230738453039
control,0.02313402940056062
control,0.03459776026481977
control,0.014209775632616111
gefitinib,0.500210215543154
gefitinib,0.95493790412887
gefitinib,0.7457942809358167
control,0.0076303768731007205
gefitinib,0.04006378694549122
gefitinib,0.8908197634926017
control,0.04931750813814874
gefitinib,0.9257885653121753
gefitinib,0.9573802136886987
control,0.17031449208987304
gefitinib,0.9288668526187109
control,0.03507006246046474
control,0.05852395865912184
control,0.6995944298232764
control,0.08766385806139827
control,0.6428144749224997
control,0.06059769379232658
control,0.12274849261478615
gefitinib,0.8410530788898989
control,0.05963624529129633
control,0.06634888275020111
gefitinib,0.9852002457681482
gefitinib,0.9853256243837853
gefitinib,0.49596660111825414
control,0.09351219462606046
control,0.21100956725089132
gefitinib,0.9641420927418475
gefitinib,0.7616166400566753
gefitinib,0.9315501441818231
control,0.06131709523893697
gefitinib,0.9801421789438042
gefitinib,0.9709651228771786
control,0.0223481739539353
gefitinib,0.9427744721541103
control,0.04350725888493674
gefitinib,0.34512420377661435
control,0.0431630168060619
gefitinib,0.8966715287537115
gefitinib,0.8589965437769196
gefitinib,0.8870820302739464
control,0.0984794265276663
gefitinib,0.6353089682065154
gefitinib,0.9803630266243022
gefitinib,0.5422556057639356
control,0.057120925406069875
gefitinib,0.9089809751616895
control,0.04725369564451748
gefitinib,0.9664598121558028
control,0.023941088625527844
control,0.041598422718402174
control,0.09409498892443265
control,0.025666457052767717
gefitinib,0.9848195246374523
control,0.05295249569296242
control,0.08518791711040824
gefitinib,0.9670073903252003
gefitinib,0.8544207539654088
control,0.07865131314888935
control,0.043407768490768314
gefitinib,0.977272503318852
control,0.032408569355897456
control,0.018394783421870724
control,0.07480437972414375
gefitinib,0.7487386244552926
gefitinib,0.8194892900645744
control,0.059312479641187486
control,0.30111184507152466
gefitinib,0.9309979349859574
control,0.08084782149207216
gefitinib,0.7701339245661012
control,0.22236301322758534
gefitinib,0.9630859476427982
control,0.2422002185366407
control,0.07190932013983764
control,0.591360012098133
gefitinib,0.9596518583334426
control,0.0758927236057875
control,0.09415634630339167
gefitinib,0.3890400370925382
gefitinib,0.8928049749962458
control,0.1166543526992925
gefitinib,0.9753723852257276
gefitinib,0.8908468131210517
control,0.031140898438895122
gefitinib,0.8161803427267225
control,0.005898315243869908
gefitinib,0.9480823972368917
gefitinib,0.9632233611648511
gefitinib,0.29760877773501043
control,0.06869688818996358
gefitinib,0.9827415514268237
gefitinib,0.919916117630249
gefitinib,0.8882429409999485
control,0.08301193866972742
control,0.014136437363404484
control,0.184007178458909
control,0.018083699037731514
gefitinib,0.9250366483811343
gefitinib,0.9058508187294392
control,0.01176242349122824
gefitinib,0.5311800266215145
control,0.02625853407891297
control,0.13940584685685456
gefitinib,0.8728283441647408
control,0.05224729960704273
gefitinib,0.9574252999886113
control,0.33137117244916714
gefitinib,0.9410874832392377
control,0.7926123651044934
control,0.0706824815201696
gefitinib,0.8821243230921489
gefitinib,0.8592294970706942
control,0.09108799669251369
control,0.03961844161854301
control,0.14504138897069077
gefitinib,0.7969290544336681
gefitinib,0.9883660271255312
control,0.06187992435302623
gefitinib,0.7814775637519368
gefitinib,0.3703671797019454
gefitinib,0.8960102259276038
gefitinib,0.9863352185022023
control,0.0614020929640556
gefitinib,0.9716201085615026
control,0.08384894769077093
gefitinib,0.9906726885687197
control,0.17836729270680934
control,0.13281630094570224
gefitinib,0.37799851070971624
gefitinib,0.977467909358867
gefitinib,0.9336016708685294
gefitinib,0.9381572308274573
control,0.020875928258518587
gefitinib,0.03749233486855405
control,0.08869330399250623
control,0.05718863386005255
control,0.07359785810410395
control,0.18952325478447465
control,0.05791906928284568
gefitinib,0.8342644788118869
gefitinib,0.9383056772171336
control,0.08958176525515762
gefitinib,0.5311829364534074
gefitinib,0.9441892039181186
gefitinib,0.9530649376824553
gefitinib,0.9025751585599829
gefitinib,0.9883310918993468
control,0.195731948292377
control,0.04840603135476947
control,0.7590739570821669
gefitinib,0.745908848042429
control,0.043773062038817825
control,0.04058847064021075
gefitinib,0.9241480604984742
gefitinib,0.8733622774559227
control,0.03787346855595314
gefitinib,0.5309228586700175
gefitinib,0.7775606582633215
control,0.04506818565285697
control,0.07605934769668941
gefitinib,0.8711154999554191
control,0.041890216807346045
control,0.05402207392179934
control,0.331744979880388
control,0.05247500277513906
gefitinib,0.5814129581639037
