current_Metadata_concentration,ObjectNumber,Metadata_treatment,Metadata_site,Metadata_hour,Metadata_dish,Metadata_cell,Ed_cell_variance,Ed_cell_mean_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Ed_agg_min_value,Ed_agg_mean_value,Ed_agg_max_value,E_value
,1,control,0,2.0,1.0,H1975,0.0135963484644889,0.1559045761823654,0.212633803486824,0.2332618683576584,0.0847577154636383,0.1785750091075897,0.2818537354469299,0.15963502035941504
,2,control,0,2.0,1.0,H1975,0.004372495226562,0.219840794801712,0.2923150062561035,0.3159045279026031,0.1682808697223663,0.2526415884494781,0.342774748802185,0.8344955449553978
,3,control,0,2.0,1.0,H1975,0.0106312884017825,0.0861231759190559,0.0,0.0,0.0,0.0,0.0,-1.745182996326954
,4,control,0,2.0,1.0,H1975,0.0114113921299576,0.0740888267755508,0.2448198199272155,0.289863258600235,0.0093799410387873,0.1726638674736023,0.4226847887039184,0.6218423612448255
,5,control,0,2.0,1.0,H1975,0.0062005324289202,0.0816950723528862,0.1275189518928527,0.1539426296949386,0.0003859688295051,0.0871076211333274,0.2208419889211654,-0.4880864265207568
,6,control,0,2.0,1.0,H1975,0.0042847860604524,0.1823590993881225,0.1935489922761917,0.2089410722255706,0.1077914461493492,0.1729232221841812,0.2588956356048584,-0.03896876764388034
,1,control,1,2.0,1.0,H1975,0.0138986790552735,0.1660876423120498,0.3486135303974151,0.373341828584671,0.2195339053869247,0.3075055778026581,0.4210471212863922,1.303528936222253
,2,control,1,2.0,1.0,H1975,0.0065071680583059,0.122309111058712,0.0,0.0,0.0,0.0,0.0,-1.745182996326954
,3,control,1,2.0,1.0,H1975,0.0036865083966404,0.1211564838886261,0.1904159188270568,0.2146694213151931,0.0723558366298675,0.1576829105615615,0.2678175866603851,0.007808970306205198
,1,control,10,2.0,1.0,H1975,0.0014805048704147,0.0743256136775016,0.1074834913015365,0.1148173511028289,0.0661728680133819,0.0964043363928794,0.1375837624073028,-0.8075837198196906
,2,control,10,2.0,1.0,H1975,0.0027327409479767,0.0700435191392898,0.0,0.0,0.0,0.0,0.0,-1.745182996326954
,1,control,11,2.0,1.0,H1975,0.0015875278040766,0.0784545317292213,0.0888628363609314,0.1013203412294387,0.0037254376802593,0.0665782690048217,0.1340737491846084,-0.9178003950064276
,2,control,11,2.0,1.0,H1975,0.0033990230876952,0.1962660104036331,0.2640887498855591,0.2792009711265564,0.1247031390666961,0.2345020174980163,0.3135598301887512,0.5347740486142688
,3,control,11,2.0,1.0,H1975,0.0186877623200416,0.0889614969491958,0.2885172367095947,0.3208560645580292,0.0730486512184143,0.2454829961061477,0.3692514896392822,0.8749298272405628
,1,control,12,2.0,1.0,H1975,0.0016452367417514,0.1484011560678482,0.1753078699111938,0.2003738731145858,0.0414789132773876,0.1405595242977142,0.2792189121246338,-0.10892857433685248
,1,control,13,2.0,1.0,H1975,0.0003586703678593,0.0928096324205398,0.1175838336348533,0.1265229731798172,0.049536433070898,0.1039484962821006,0.1478441059589386,-0.7119955296634619
,2,control,13,2.0,1.0,H1975,0.0013084503589197,0.1273752748966217,0.1923962384462356,0.2020040303468704,0.1355383545160293,0.1776760667562484,0.2319732159376144,-0.0956166991986229
,3,control,13,2.0,1.0,H1975,0.0008290831465274,0.0915817767381668,0.1021002382040023,0.1067534238100051,0.0791836604475975,0.0939277559518814,0.1213298887014389,-0.8734338053941911
,1,control,14,2.0,1.0,H1975,0.0258680675178766,0.3931580483913421,0.4055022895336151,0.4388455152511596,0.2391364276409149,0.3615120351314544,0.5076072812080383,1.8384324907560503
,1,control,16,2.0,1.0,H1975,0.0531992800533771,0.2121075093746185,0.1935874372720718,0.2046386450529098,0.1359473466873169,0.178702637553215,0.2216267883777618,-0.07410241744128075
,2,control,16,2.0,1.0,H1975,0.010673931799829,0.2639096081256866,0.1676652133464813,0.1806065291166305,0.0873270183801651,0.1503086239099502,0.2129235565662384,-0.27034884098587497
,1,control,17,2.0,1.0,H1975,0.00199861289002,0.0778398141264915,0.07626923173666,0.0842571929097175,6.962229963392019e-05,0.0591886602342128,0.0956696793437004,-1.0571381812019893
,2,control,17,2.0,1.0,H1975,0.0016892172861844,0.0588668212294578,0.089653305709362,0.1119237318634986,0.0140582052990794,0.0657352581620216,0.1613416224718094,-0.8312130343721035
,3,control,17,2.0,1.0,H1975,0.0012669883435592,0.0728360339999198,0.0711740255355835,0.0787785500288009,0.0226838644593954,0.058185014873743,0.0896946787834167,-1.101876816539332
,4,control,17,2.0,1.0,H1975,0.0031766067259013,0.0902899727225303,0.0950434952974319,0.1038853079080581,0.0469633340835571,0.0823458954691886,0.119518756866455,-0.8968548595186339
,5,control,17,2.0,1.0,H1975,0.0001282912853639,0.0009720004163682,0.133335456252098,0.1917878538370132,0.0166943743824958,0.081023670732975,0.2281180322170257,-0.1790420666392467
,6,control,17,2.0,1.0,H1975,0.0032228496856987,0.1068864837288856,0.1152172237634658,0.1325271427631378,0.0062421872280538,0.088165134191513,0.1905660331249237,-0.6629654396702988
,7,control,17,2.0,1.0,H1975,0.0010116298217326,0.0210040882229805,0.0383369736373424,0.0477210618555545,2.940708509413525e-05,0.0233685672283172,0.0631282925605773,-1.3554924779500337
,1,control,18,2.0,1.0,H1975,0.0008997137774713,0.0725032091140747,0.0873283669352531,0.0939285904169082,0.0456519313156604,0.0748646929860115,0.1029028743505477,-0.9781614828331596
,1,control,19,2.0,1.0,H1975,0.0025963834486901,0.1761877983808517,0.2087593823671341,0.2314281910657882,0.0975754857063293,0.1763948202133178,0.2707277536392212,0.14466119901889718
,2,control,19,2.0,1.0,H1975,0.0058714351616799,0.0887214615941047,0.1252908259630203,0.1380162388086319,0.0518586374819278,0.1077945306897163,0.165652796626091,-0.6181414437193301
,3,control,19,2.0,1.0,H1975,0.0104417614638805,0.1966411024332046,0.2590790390968323,0.2754140496253967,0.1772486567497253,0.2326164245605468,0.3013414442539215,0.503850021665613
,1,control,2,2.0,1.0,H1975,0.0082854209467768,0.0371796265244483,0.2693129479885101,0.3042790293693542,0.0006419463898055,0.202464610338211,0.3764311671257019,0.7395616442068212
,2,control,2,2.0,1.0,H1975,0.0595088452100753,0.3406105041503906,0.5241832137107849,0.5483722686767578,0.3789218962192535,0.4896257817745209,0.6273441314697266,2.7328287103488584
,3,control,2,2.0,1.0,H1975,0.0043509998358786,0.1131096556782722,0.0,0.0,0.0,0.0,0.0,-1.745182996326954
,1,control,20,2.0,1.0,H1975,0.0042581134475767,0.127317801117897,0.139265775680542,0.1503137350082397,0.0661443844437599,0.1201071366667747,0.184397280216217,-0.5177200054187995
,2,control,20,2.0,1.0,H1975,0.0057812053710222,0.0419368632137775,0.116944707930088,0.1454346030950546,0.006228354293853,0.0766719430685043,0.2224908769130706,-0.5575630300822829
,1,control,21,2.0,1.0,H1975,0.0009607677347958,0.1915488690137863,0.2126011252403259,0.2249096184968948,0.1157087311148643,0.1896828711032867,0.257487803697586,0.09143049071784175
,1,control,3,2.0,1.0,H1975,0.0044528748840093,0.19474957883358,0.3021320700645447,0.3425763547420501,0.1881673038005828,0.2619527578353882,0.3864103257656097,1.052297865838033
