Label,Predicted_Probability
control,0.05314073288423008
control,0.07419175229615473
gefitinib,0.7487100318662666
gefitinib,0.8341651179263236
control,0.025349203385440517
control,0.4790176472762406
control,0.5967825571290454
gefitinib,0.9175964474354764
gefitinib,0.887904753610953
control,0.22630495041432122
gefitinib,0.9792129708001042
gefitinib,0.4563190478001939
control,0.33018872737496785
gefitinib,0.9061996579913714
gefitinib,0.855915918111043
control,0.6665835806277551
control,0.03129754415112737
gefitinib,0.7894145548521976
gefitinib,0.7333109448757036
gefitinib,0.9878330414891398
control,0.33624462270205324
gefitinib,0.8033723664468555
gefitinib,0.5246563901629875
gefitinib,0.8155687635426638
control,0.07588060448900197
gefitinib,0.9349832874309458
gefitinib,0.7246343668810361
gefitinib,0.9971104381975628
gefitinib,0.5636404559210544
control,0.07963999081861148
control,0.02345361632220854
control,0.2357522591648749
control,0.018017079950027194
gefitinib,0.9622732311183807
gefitinib,0.9068181029047198
gefitinib,0.9198196367502657
control,0.04822409666803003
gefitinib,0.9239134932598569
gefitinib,0.6529710415541864
control,0.015686162795622925
control,0.07398577062648955
control,0.1259665864411632
control,0.18453674663040182
gefitinib,0.8044755935534609
gefitinib,0.9426555930686602
gefitinib,0.7072569637495507
gefitinib,0.3868321750388702
control,0.3650184759535745
control,0.27987057683386535
control,0.022976872490642324
gefitinib,0.7564914508290906
control,0.015723765967577512
control,0.10306549966447165
control,0.22112084131246407
control,0.04392041073087239
control,0.3321513200591689
control,0.01687286188497621
gefitinib,0.710258043371619
gefitinib,0.8574572492373347
control,0.06556555647576762
control,0.07184431293767424
control,0.2127813645975516
gefitinib,0.8444910535713204
control,0.07391517397647827
control,0.02852604059581712
gefitinib,0.4238277553960189
control,0.048835886458721445
control,0.11701468817597915
gefitinib,0.9866713578131352
control,0.04117639699675902
gefitinib,0.7935426741642362
control,0.47100456155985454
control,0.0059481274981809835
control,0.06896784535913177
control,0.044798959818103855
control,0.1916327074888643
control,0.5548671629287684
control,0.19338835024625411
gefitinib,0.8944371069002586
control,0.05576137617419944
control,0.12170915188292253
gefitinib,0.7014317506250033
control,0.6028686257397404
gefitinib,0.9514038696464551
control,0.22437818398203616
gefitinib,0.8205415852810887
control,0.20135012501389765
gefitinib,0.5688367592039797
control,0.18718093389818274
