Label,Predicted_Probability
afatinib,0.513717555178905
control,0.23787444365494065
control,0.3619972736967534
control,0.33725295889456974
control,0.24204119051369527
control,0.3846573308379666
afatinib,0.6286691861651652
control,0.4790609324655962
afatinib,0.5568885270594736
afatinib,0.7762710308566743
control,0.19875978851485537
afatinib,0.9407097353962307
afatinib,0.5493092130997814
control,0.6217383410112877
afatinib,0.6997503523013545
control,0.534286948883067
afatinib,0.599902575513671
control,0.35469969238693605
afatinib,0.5782722855997557
control,0.5996379494335127
control,0.4459848326731974
afatinib,0.4714244263080601
afatinib,0.4911427521724372
afatinib,0.8910642679492856
control,0.39227547910107724
afatinib,0.45482681432329686
control,0.3712355965067995
afatinib,0.6281998567582031
afatinib,0.47202463776539005
afatinib,0.7498970812668702
control,0.1410926519039713
control,0.49816808208098334
afatinib,0.4182492791882108
control,0.43103533282351625
afatinib,0.3107473857697271
afatinib,0.8340721054110798
control,0.38418290296946084
afatinib,0.5165881144115592
afatinib,0.6225577811029129
afatinib,0.6665934687431503
control,0.2302719040997081
afatinib,0.24677227089241188
afatinib,0.6369981435219547
control,0.37026504976366825
afatinib,0.6975879119095705
afatinib,0.4908068954089275
control,0.4688829205306185
afatinib,0.5906127020886973
afatinib,0.3719980813856779
control,0.27134588585307107
afatinib,0.7811138799494205
afatinib,0.20081988553608593
afatinib,0.9032385730024469
control,0.372801173822392
afatinib,0.2390768071395529
control,0.7158688425757858
control,0.31555827869181863
control,0.34398985714165986
afatinib,0.5240338775616324
afatinib,0.6048079792671135
control,0.32839247064161714
control,0.5697637203347398
control,0.4285551708292855
afatinib,0.5828596296481681
afatinib,0.8446369274258203
control,0.32602932432609455
control,0.40164677563536644
control,0.3980336152932174
control,0.3475999893713075
control,0.7307834443875042
control,0.538353476072675
control,0.7088356662847602
control,0.7365271354668381
afatinib,0.34226200960949943
afatinib,0.43353231416925436
afatinib,0.4484376046934419
afatinib,0.5816571257328842
afatinib,0.4347650389614124
control,0.374925944402963
control,0.31503806925632416
control,0.30598543452842397
afatinib,0.6559578892193139
control,0.20192919160706593
control,0.5276290278996576
afatinib,0.5836377759380442
afatinib,0.41926698899761483
control,0.2756225103768794
control,0.333999413313541
control,0.31317860732403313
control,0.39748126594904354
control,0.5782396344341908
afatinib,0.8125030550217975
control,0.30116911383545175
afatinib,0.6677947897924583
control,0.4208300640060658
control,0.4758325020202463
control,0.3996643868560252
control,0.2657476949003269
afatinib,0.8739986067871186
control,0.433863057864174
afatinib,0.4871087577634362
afatinib,0.5834357120491468
control,0.6818090723395797
