Label,Predicted_Probability
afatinib,0.7336738129698156
control,0.3209934758070946
control,0.30475784648175275
control,0.3359237905131913
control,0.42712400463204714
control,0.571923546264751
afatinib,0.46723972799814
control,0.34174906889541085
afatinib,0.6622826642178516
afatinib,0.6243717700238477
control,0.3204498318935964
afatinib,0.858910266861912
afatinib,0.5061084046916058
control,0.5202245156830478
afatinib,0.6368063100356163
control,0.810472279805779
afatinib,0.43259231499106754
control,0.33972977863668263
afatinib,0.5153883673935117
control,0.5720858636862154
control,0.3208714844715105
afatinib,0.4413122398603629
afatinib,0.5947378107308671
afatinib,0.5835243010680686
control,0.4139640985134978
afatinib,0.5106942343678795
control,0.4893968860088245
afatinib,0.685976269825829
afatinib,0.5521397519510203
afatinib,0.7574044884601425
control,0.3186628765355791
control,0.4569620695261067
afatinib,0.48506336477703665
control,0.48097827858035824
afatinib,0.5233669730243051
afatinib,0.5537041193205242
control,0.25114684005893195
afatinib,0.7214246332164986
afatinib,0.37824245148839725
afatinib,0.6408651404014443
control,0.3335707856248317
afatinib,0.7191997011846583
afatinib,0.369977967799928
control,0.3839091917048779
afatinib,0.6135264980299769
afatinib,0.6039987387658117
control,0.4071916348097656
afatinib,0.5293364387360896
afatinib,0.5673181840473273
control,0.28116467713426024
afatinib,0.6424589730142689
afatinib,0.32062023311035326
afatinib,0.776345612909607
control,0.2314051378072583
afatinib,0.5741018824397444
control,0.43602294785961837
control,0.5940120137488145
control,0.4139104997376606
afatinib,0.49985533424096945
afatinib,0.6164503701224316
control,0.5558055359051048
control,0.5203743995685288
control,0.3873772903770698
afatinib,0.5615548186279532
afatinib,0.2707745999032971
control,0.37772037887524773
control,0.681401464332842
control,0.5248203421627835
control,0.3161225186256664
control,0.6471119604503499
control,0.2902822527579848
control,0.3703760203843967
control,0.5728655815293757
afatinib,0.4951877518926057
afatinib,0.3602296991828667
afatinib,0.7191420408570324
afatinib,0.414608329389488
afatinib,0.4995648743390781
control,0.276050869714697
control,0.3357954131085833
control,0.530815043535671
afatinib,0.4416145938888816
control,0.19886504208085254
control,0.48580214584067144
afatinib,0.5832028278095847
afatinib,0.6259133698791606
control,0.5131284253639647
control,0.4825182948754927
control,0.44839152631016876
control,0.47147462611464813
control,0.5537809478997144
afatinib,0.56286900296545
control,0.5204067847528798
afatinib,0.5049776442990395
control,0.45970066293273976
control,0.54054910913646
control,0.43187372879680785
control,0.3483867835305191
afatinib,0.4243375096977905
control,0.41344735446092706
afatinib,0.35682747952345173
afatinib,0.4536450496549732
control,0.41432365123496656
afatinib,0.6150291838117463
control,0.31993616157818794
control,0.4045939715709316
control,0.3634891838066157
afatinib,0.6720039166734374
control,0.35576983957533936
afatinib,0.5996250032088526
afatinib,0.6747748592167213
afatinib,0.6140194872148619
afatinib,0.5322814138973596
control,0.5587286447835982
control,0.2874151913864471
afatinib,0.40339569609599024
control,0.24515299554828215
control,0.4729050316444262
afatinib,0.6225524455371827
control,0.5757704716628094
afatinib,0.4861646754677361
control,0.4321375769264188
afatinib,0.6277406672844785
control,0.4086464893675094
control,0.4705067071140926
afatinib,0.5835900055361283
control,0.4543848983417732
control,0.4694086950159053
control,0.6130936934915787
control,0.4967375896116234
control,0.3948532656229772
afatinib,0.6286219716657081
afatinib,0.5409509809922491
afatinib,0.6213700069623366
afatinib,0.6796513708010867
control,0.49586323368129415
control,0.27697989235916476
afatinib,0.5095369557428151
control,0.28518382622753075
control,0.49396612419936864
afatinib,0.43881310680429786
control,0.38814110389748935
control,0.41438815255553896
afatinib,0.5930505755224804
control,0.6631513738327165
control,0.33013943249893907
afatinib,0.4788352051357048
control,0.27107364112882115
control,0.5249720602833715
afatinib,0.4928075540686553
control,0.4381261600686215
control,0.4426909329038905
control,0.21269763637803057
control,0.4557310009059433
afatinib,0.5413543678007476
control,0.4039408404630538
afatinib,0.6779774962222003
afatinib,0.4514818797402874
control,0.30133994116889157
afatinib,0.4349897432875906
control,0.30501910610083083
afatinib,0.5381391231440318
afatinib,0.4607177382559716
control,0.7129603098142064
afatinib,0.49702234955706076
control,0.43666432527976706
afatinib,0.6719574610218387
afatinib,0.45719863146715534
control,0.5221426852241254
afatinib,0.4272100762489063
afatinib,0.3671681875372991
afatinib,0.4322245519905227
afatinib,0.33963677499629813
afatinib,0.3815837056796301
control,0.4828315357548193
control,0.43047690948188144
control,0.4331409497450279
control,0.5019321052469818
control,0.5474334185476369
afatinib,0.5523229610549725
control,0.5771250915828953
afatinib,0.40846633356709183
control,0.2533519961578464
afatinib,0.3561673375760462
control,0.5163568543015626
control,0.2159376020970094
afatinib,0.5077088543989283
afatinib,0.4699897344186791
afatinib,0.4842225608010427
afatinib,0.5252095656057076
control,0.38664951961305805
afatinib,0.5767246840537726
control,0.6112406951685423
afatinib,0.35791593587464965
afatinib,0.494127324110661
control,0.2777381708181298
control,0.5176422779016835
afatinib,0.5657095717303483
control,0.32315535593222566
afatinib,0.5555172826047914
afatinib,0.367338302668325
afatinib,0.6124345473083401
afatinib,0.39984082475059696
control,0.6959843091053626
afatinib,0.46260266917166826
control,0.4222905786018332
control,0.4166804989886348
afatinib,0.5786340303088358
afatinib,0.49730929134616886
afatinib,0.49277994821875426
control,0.28856334399546385
afatinib,0.5429823694228942
control,0.4001163738484207
afatinib,0.3947335357052096
control,0.3228598954564491
afatinib,0.4122181589703951
control,0.4321372730140296
afatinib,0.3266666279406635
control,0.48223057862579494
control,0.42551246241246155
control,0.5604952850884424
afatinib,0.6753383767341481
control,0.383740594742657
control,0.569685488455075
control,0.6633657378166029
control,0.5870074695376589
control,0.27068376289250656
control,0.47184198865109706
control,0.6493855982480193
control,0.40599755661253994
control,0.4435684774198522
afatinib,0.5942621933856037
control,0.3909844463746338
afatinib,0.4766836839948634
afatinib,0.2672731827038456
afatinib,0.49650224570394474
afatinib,0.2641820479409372
control,0.39384398335333193
afatinib,0.4942136767680421
afatinib,0.33278149771534243
control,0.6898731456160687
afatinib,0.45618423744004455
control,0.17808555636807472
control,0.5617583159679163
afatinib,0.2595676814449706
control,0.3243744284780495
afatinib,0.8088475273605183
control,0.4086663481026706
control,0.6666707247280372
control,0.3260580159099313
afatinib,0.6320021901444564
afatinib,0.33415980414329294
control,0.5584365900560656
afatinib,0.39522278975244374
control,0.43066409476152023
afatinib,0.4691765235493574
control,0.5334262184645777
control,0.4392804977150283
afatinib,0.5143116120060587
afatinib,0.3514862970696887
