ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,0
2,0.0011470330646261,0.0003108023083768,0.27094766497612,0.40827032923698425,0.15071292221546173,0.3395783007144928,0.3793557584285736,A549,8.0,AFA,0
3,0.0032309277448803,0.0009973350679501,0.2656833827495575,0.2656833827495575,0.2656833827495575,0.2656833827495575,0.2656833827495575,A549,8.0,AFA,0
4,0.0717492550611496,0.0016657973174005,0.06901581585407257,0.11651024967432022,0.004818258341401815,0.08569677174091339,0.09353845566511154,A549,8.0,AFA,0
5,0.0154655501246452,0.0044491551816463,0.2918056845664978,0.4548078775405884,0.1864536553621292,0.34099745750427246,0.3818986713886261,A549,8.0,AFA,0
6,0.1178421229124069,0.0098068267107009,0.11149437725543976,0.26050296425819397,0.0032400458585470915,0.15349186956882477,0.18006226420402527,A549,8.0,AFA,0
7,0.0737961083650589,0.0057772025465965,0.06251530349254608,0.2136111706495285,0.0001571833563502878,0.09950767457485199,0.13123905658721924,A549,8.0,AFA,0
8,0.0404719784855842,0.0070356330834329,0.1411072313785553,0.3455895185470581,0.00524329487234354,0.2058328241109848,0.2503962218761444,A549,8.0,AFA,0
9,0.0312193781137466,0.0057949894107878,0.1566159874200821,0.23603928089141846,0.08347760885953903,0.20050334930419922,0.23603928089141846,A549,8.0,AFA,0
10,0.0755419358611106,0.0068165548145771,0.07962898910045624,0.25470709800720215,5.502085514308419e-06,0.12322627007961273,0.1564931422472,A549,8.0,AFA,0
1,0.0282141640782356,0.0080667231231927,0.2876633107662201,0.5110487937927246,0.08713318407535553,0.36408695578575134,0.41208693385124207,A549,8.0,AFA,1
2,0.101117268204689,0.0180790647864341,0.2074781358242035,0.3635071814060211,0.05097466707229614,0.27421653270721436,0.3080388009548187,A549,8.0,AFA,1
3,0.1880501955747604,0.0304923374205827,0.23958374559879303,0.4905896484851837,0.005347637925297022,0.3131142258644104,0.352481484413147,A549,8.0,AFA,1
4,0.1612303853034973,0.0267180632799863,0.22299908101558685,0.3952638506889343,0.05066665634512901,0.2827870845794678,0.31594565510749817,A549,8.0,AFA,1
5,0.1752638965845108,0.0043113813735544,0.12766143679618835,0.22974352538585663,0.029482370242476463,0.1628902554512024,0.179151251912117,A549,8.0,AFA,1
6,0.2411724925041198,0.0069657233543694,0.1751442551612854,0.3230263590812683,0.06628458946943283,0.21404869854450226,0.2425362467765808,A549,8.0,AFA,1
7,0.1752507388591766,0.0163930132985115,0.15274925529956818,0.36978739500045776,0.029288820922374725,0.2115764170885086,0.2492368519306183,A549,8.0,AFA,1
8,0.002126766834408,0.0006614720914512,0.25948044657707214,0.25948044657707214,0.25948044657707214,0.25948044657707214,0.25948044657707214,A549,8.0,AFA,1
9,0.2322827726602554,0.0185842644423246,0.19676360487937927,0.3273751437664032,0.0484345369040966,0.2520447373390198,0.2866169810295105,A549,8.0,AFA,1
10,0.1244454085826873,0.0124578615650534,0.12510567903518677,0.3222082257270813,0.00018503637693356723,0.18098129332065582,0.2157100886106491,A549,8.0,AFA,1
11,0.0167841054499149,0.0041206609457731,0.2168780118227005,0.3636898696422577,0.10081721097230911,0.2709408402442932,0.3088969886302948,A549,8.0,AFA,1
12,0.0012787807499989,0.000271564873401,0.13659226894378662,0.18633633852005005,0.09892993420362473,0.18633633852005005,0.18633633852005005,A549,8.0,AFA,1
1,9.470599616179244e-05,2.1605757865472697e-05,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,10
2,0.1921664476394653,0.0124289477244019,0.17756809294223785,0.3973613977432251,0.00042977422708645463,0.24416109919548035,0.2966640293598175,A549,8.0,AFA,10
3,0.0794135928153991,0.012777479365468,0.14300453662872314,0.3451906740665436,0.002943822182714939,0.20724113285541534,0.24518489837646484,A549,8.0,AFA,10
4,0.1992860436439514,0.006092709954828,0.11534395813941956,0.2243097722530365,0.005456271581351757,0.14983218908309937,0.17253609001636505,A549,8.0,AFA,10
5,0.1983781456947326,0.0182964075356721,0.2178080976009369,0.5404426455497742,0.0049269855953752995,0.29228660464286804,0.3403996229171753,A549,8.0,AFA,10
6,0.2057346403598785,0.0226640626788139,0.18878473341464996,0.47209644317626953,0.011802913621068,0.2671971619129181,0.31842905282974243,A549,8.0,AFA,10
7,0.0088460305705666,0.0021380244288593,0.2124997228384018,0.3935692608356476,0.088785819709301,0.2699778079986572,0.2998756766319275,A549,8.0,AFA,10
8,0.2655521333217621,0.0144266653805971,0.2332979291677475,0.3489837050437927,0.038492828607559204,0.27067816257476807,0.28948014974594116,A549,8.0,AFA,10
