Label,Predicted_Probability
control,0.23876013588279027
control,0.35776153440129577
gefitinib,0.4318236745302676
gefitinib,0.6915967773200191
control,0.2133382910080332
control,0.2542743372562958
control,0.07255737178270297
gefitinib,0.9637536580429107
gefitinib,0.6684859710548279
control,0.24246142639148255
gefitinib,0.7546234971844556
gefitinib,0.7703139053795784
control,0.4686320769679678
gefitinib,0.9161921717113669
gefitinib,0.942700405983539
control,0.9023782266764139
control,0.01780980834814136
gefitinib,0.39774927921010406
gefitinib,0.1356500554863585
gefitinib,0.9479901913889839
control,0.18255407148830413
gefitinib,0.43543981908797
gefitinib,0.19887827000794453
gefitinib,0.8480973110635016
control,0.2216576525236414
gefitinib,0.686484345771187
gefitinib,0.8280291385411059
gefitinib,0.9459217530947978
gefitinib,0.6938452507291315
control,0.23523349643320737
control,0.02486699539090125
control,0.5355986945941483
control,0.05330220462933264
gefitinib,0.5930402008436074
gefitinib,0.6394324051270419
gefitinib,0.9413745831723809
control,0.06850693732089562
gefitinib,0.6791975161491399
gefitinib,0.7033569966060859
control,0.04595746771523638
control,0.11125436612800091
control,0.3714357486735863
control,0.23935142486191627
gefitinib,0.8872951107113153
gefitinib,0.3619968602577143
gefitinib,0.723944544684877
gefitinib,0.7240709549734301
control,0.19170870885495137
control,0.07741048401644263
control,0.30741993694106096
gefitinib,0.9841830736802306
control,0.34162964551075425
control,0.10243028457702293
control,0.1252313001274288
control,0.4230369372224795
control,0.07440614350367618
control,0.5901248444936178
gefitinib,0.9239216124728019
gefitinib,0.9046682214579966
control,0.059821236130070975
control,0.3653424730389191
control,0.32332429747850794
gefitinib,0.8594049109840688
control,0.10875602444290337
control,0.5185706353082972
gefitinib,0.9066262301987443
control,0.38720220080386564
control,0.6347313946953266
gefitinib,0.9492328847483741
control,0.1936769124956209
gefitinib,0.6486631177535431
control,0.16506291176114338
control,0.14951092860584744
control,0.1422331782510564
control,0.1782109577154852
control,0.601645982874022
control,0.027288298960884
control,0.0826523027040873
gefitinib,0.5393496788738255
control,0.39269040336123334
control,0.8789362390941221
gefitinib,0.8902196369606553
control,0.2193736081011773
gefitinib,0.8907607474617059
control,0.28001906688569467
gefitinib,0.4629483008239408
control,0.5214110557225523
gefitinib,0.46133849373130326
control,0.28685438573411515
