Label,Predicted_Probability
control,0.3003090428342737
control,0.15493854576346522
control,0.13340842725116028
control,0.1902938805036861
osimertinib,0.6680529365776963
osimertinib,0.7922778082343095
control,0.5462588911441422
control,0.10609688432957523
control,0.27326794613815786
control,0.12339759860470807
osimertinib,0.7125444846189523
osimertinib,0.7867041943368347
osimertinib,0.8461160456077732
control,0.13862556329774678
osimertinib,0.8973415994327038
control,0.5487510645677176
osimertinib,0.4556130458713044
control,0.11040205704283997
control,0.29287400208857556
control,0.16420081039107595
osimertinib,0.8559435578032598
control,0.23691566533872033
osimertinib,0.8861605390035538
control,0.1689913622010509
osimertinib,0.8971403983604379
control,0.12656774597302084
osimertinib,0.8433472857473442
osimertinib,0.44049835946314575
osimertinib,0.8303316214628772
control,0.12978387755158652
control,0.3930335391260561
control,0.29672538204569465
control,0.14216665216400468
control,0.47323195575099
osimertinib,0.356697207620905
control,0.18973971724935432
osimertinib,0.7206301570436299
control,0.15637648323520656
osimertinib,0.4067984819862165
control,0.09973821421709747
control,0.22929459893410492
control,0.12379635452653606
control,0.22363288671384635
control,0.1069943026580548
osimertinib,0.8814359378623513
osimertinib,0.1829575638630204
control,0.33003392444627083
osimertinib,0.2553158615561993
control,0.36043334912952896
osimertinib,0.8867349844635145
osimertinib,0.51988502432544
control,0.2040146523128518
control,0.11250018200206476
osimertinib,0.5565014642860033
osimertinib,0.8073333161124163
osimertinib,0.7477235876352902
osimertinib,0.6650141674813583
osimertinib,0.7707183667487545
control,0.30005387560234886
control,0.17034363232264976
osimertinib,0.6876103718027277
osimertinib,0.8809679641572444
osimertinib,0.7489527307321332
osimertinib,0.5347330576016812
control,0.12987069583183417
osimertinib,0.8958908547465507
osimertinib,0.7444237268639273
control,0.12362740260085359
osimertinib,0.7513611101220624
osimertinib,0.8655035343710095
control,0.11133881675842643
osimertinib,0.7994627845817105
control,0.10394209057127943
control,0.2699152517215789
osimertinib,0.5237402037860533
control,0.4635489394700123
osimertinib,0.8650885702888228
osimertinib,0.8072822913042923
control,0.29009805180385767
osimertinib,0.684844083588191
osimertinib,0.8112796409961831
control,0.31110462783359466
control,0.2005285333370582
control,0.1155048111160043
osimertinib,0.6764881716085048
control,0.40125127949915
osimertinib,0.5618608723701223
osimertinib,0.7952478608911976
control,0.13283958780894575
osimertinib,0.8145825640099995
control,0.16624826324621966
control,0.24590411219311387
osimertinib,0.8759239516337463
osimertinib,0.8912946030992632
osimertinib,0.8776561136635934
osimertinib,0.8166199133347651
control,0.34502109606028947
osimertinib,0.7482128809382901
control,0.16100031144472446
control,0.49013034463868055
control,0.10461385776676106
control,0.15573178371096247
control,0.1539531772090849
control,0.409073887876669
osimertinib,0.8632702402216543
control,0.10296666201212339
control,0.20042440422187888
osimertinib,0.8863203376651458
osimertinib,0.8836594992326521
osimertinib,0.7383012593037317
osimertinib,0.5407581395148979
osimertinib,0.6701094976527237
control,0.11880070653157788
osimertinib,0.8656867344839162
control,0.27223089820107405
control,0.17454834511488332
control,0.325525832377083
osimertinib,0.8416058340103998
osimertinib,0.8485279276001381
osimertinib,0.7328136538096877
control,0.20372992044765223
osimertinib,0.8192181390467498
osimertinib,0.8792703371628358
control,0.4491199803519117
osimertinib,0.694490224609396
osimertinib,0.825602861245421
osimertinib,0.842623046928382
osimertinib,0.8911168824854082
control,0.2827253440150595
osimertinib,0.7557881485203031
control,0.20631994107837484
osimertinib,0.8936627883941168
control,0.5389499955040375
control,0.1958520982568975
control,0.12472400356379283
control,0.17226845890391665
control,0.15332585880555769
control,0.3014067299015094
control,0.2817516971188737
osimertinib,0.7923885324298587
osimertinib,0.8543184858212418
osimertinib,0.6149884453238975
osimertinib,0.7335927878748569
osimertinib,0.7384765901920611
