Label,Predicted_Probability
osi,0.7160598244761931
control,0.08133823688358428
osi,0.9980796775765748
osi,0.4833428716531934
osi,0.9620265187300777
control,0.7133459211631596
osi,0.9705301997724465
control,0.0010388918580726849
osi,0.8442289543657893
osi,0.9901692088070717
osi,0.5782447394411396
osi,0.9740511712172195
control,0.005171560187889417
osi,0.5987881087490022
osi,0.8421267295767617
osi,0.7928284472830521
osi,0.05208713785726449
osi,0.7679561899288753
control,0.29052604864084597
osi,0.9883298982146362
osi,0.9646766805442504
osi,0.9420502339609506
osi,0.9949798530286902
control,0.12209336735963719
control,0.005889286471620674
osi,0.9418426365852743
osi,0.9564737971301881
control,0.007618291485923042
control,0.16205123508301011
osi,0.6240718942139554
osi,0.21180593039716583
control,0.16187486660246592
osi,0.9598789387095673
control,0.08242612602770727
osi,0.9920936003813555
osi,0.9966752836593284
control,0.8270848082968973
control,0.18027930200459866
control,0.13135298929038025
control,0.030362998319812495
control,0.0479888721991624
control,0.01054087763587393
control,0.021808086205921503
control,0.044397459406560154
control,0.07956513270361314
osi,0.19789945684109683
osi,0.9947352319791408
control,0.8500801875071045
osi,0.9920081017816799
control,0.022143616828201592
control,0.15739717624867317
control,0.005861053929561253
control,0.018970332625997757
control,0.24363977910229617
osi,0.8196986348024031
osi,0.8612056502227021
osi,0.8920943560815374
control,0.6834014075349488
control,0.04445220983916164
control,0.003932717954390624
control,0.05210456810241424
osi,0.9877974182599543
control,0.17699694395343682
osi,0.9437659562768539
control,0.02192351798246675
control,0.01653963212175502
control,0.00972871117465707
osi,0.75962321564831
control,0.02825808814209117
osi,0.8537925131698254
osi,0.9256743316203166
osi,0.5377421208153339
osi,0.8862545571651197
control,0.048920747590188086
osi,0.9914959981117943
control,0.20476896913952675
control,0.2745096443466045
osi,0.48237230809376186
control,0.015271402758496838
osi,0.9918238534572372
control,0.0698954928544405
control,0.07957123573391778
osi,0.7208834084056688
control,0.11880016074614111
control,0.035663353248264806
control,0.33273652171255275
control,0.06305541291410163
osi,0.989486248822401
osi,0.9586259343393875
osi,0.9732205024573407
osi,0.9009183665477909
osi,0.9059226307995685
osi,0.9483451268360295
osi,0.9849335364896202
osi,0.9905825240980584
osi,0.9990436509888332
osi,0.026399921371030356
control,0.24299691616949676
osi,0.9587539904188226
osi,0.5419848345561926
control,0.9482688570158861
control,0.03674088204334599
osi,0.6189661028674636
osi,0.7639030475234034
control,0.21215694553295555
osi,0.9994387292603555
control,0.5012936966676531
control,0.3258737678409699
control,0.024752027127068876
control,0.31833190160002844
control,0.0016646541715680894
osi,0.6009167397043474
control,0.06723126601600116
osi,0.989388051297991
osi,0.9876842348941552
control,0.5166446540866803
osi,0.16133680741992906
osi,0.9513296767993811
osi,0.9623032705743727
control,0.018010935349886098
control,0.17672960089429118
osi,0.9865152525059905
control,0.10627765546989854
control,0.027748505340856648
control,0.06659085127256828
control,0.014488717147639793
osi,0.9864244462398396
osi,0.7785968700941309
control,0.210655710639585
control,0.21658721560342867
control,0.07430175849124702
osi,0.5515619782846398
control,0.018462810763040703
osi,0.8772776125019192
osi,0.10959996594519268
osi,0.9788217127589721
control,0.010425997386980485
osi,0.9599063396206177
osi,0.97324278174614
osi,0.8980525222312885
control,0.08299984914696881
control,0.046579132238555365
control,0.06167476071421167
control,0.0024993442611851782
control,0.08006310246490234
osi,0.9736483324500176
control,0.06539431578390673
osi,0.925639449025722
control,0.16605397175190167
control,0.030221806534729605
osi,0.64226286761065
osi,0.9544279633093025
control,0.010969632333131873
osi,0.6735653450637334
osi,0.6891414258717437
control,0.006444765572129546
osi,0.9915678605981217
control,0.04014415793728506
osi,0.8094502679239778
control,0.5164859556750376
osi,0.24861793849627595
control,0.06526074622098241
osi,0.9817424467996269
osi,0.10121834752152455
osi,0.9884989173002996
control,0.28002238218919545
osi,0.8694108860066713
control,0.0021279369259498415
osi,0.9845535809764359
osi,0.876030994290413
osi,0.9892638014781093
osi,0.7648668403149043
osi,0.9807139365273395
osi,0.11222966318847578
osi,0.7087542376428815
control,0.41101571958627703
control,0.039572265651662365
osi,0.019941742132799672
osi,0.9755971664079116
control,0.39843678980022235
control,0.025815486029002587
control,0.07058368292007133
osi,0.9749587560945973
control,0.877959400318035
control,0.9964511998995091
osi,0.8180046805973594
osi,0.993324488020922
control,0.007557638539901275
control,0.030015294347020893
osi,0.9329525057878266
osi,0.9737119027006476
control,0.003077797794159505
osi,0.8466282949939818
osi,0.9378441693513097
control,0.04757142223635132
osi,0.7631066801730615
control,0.01692429824760786
osi,0.9812399162689868
control,0.14954968508283512
control,0.09365913850496863
control,0.004949201268599036
osi,0.9854351323604051
osi,0.9869162724815463
osi,0.9967498403223907
osi,0.770489755219798
control,0.005495659561894812
control,0.1583754616155088
control,0.010903819631893286
control,0.25505401296430563
control,0.07121792017930154
osi,0.9997352468059244
control,0.03806907833677488
control,0.03293552756243813
control,0.020010696249918934
control,0.025998880303814843
control,0.028019903492167226
osi,0.9093398899077014
