Label,Predicted_Probability
control,0.04352097775227115
gef,0.9914679050885289
control,0.013767864084460252
control,0.011272157570190578
control,0.013741421378979077
control,0.011441382662982804
control,0.012623629395463559
control,0.02510950128974998
control,0.00991950888677998
control,0.01856349382458728
gef,0.9681192393908742
control,0.013817262851671208
control,0.01706654553549966
gef,0.9744610521138402
control,0.01116562903174217
gef,0.9631763661163518
control,0.01639948731074262
gef,0.9843160304325149
control,0.018222651929497603
gef,0.9833062503044327
gef,0.9778787506116554
control,0.00761641303249184
control,0.01098727198701248
gef,0.9744517019188838
gef,0.9131576037426206
control,0.020987511628999304
control,0.020148174382446433
control,0.00831712750876792
control,0.012218850049458666
control,0.009933498467724478
gef,0.9160924106519455
gef,0.9823516006233086
gef,0.9658497892601569
control,0.016433928237589195
control,0.00995856428747324
control,0.011337416156475282
gef,0.982574486107089
control,0.010485858644648498
control,0.014779199234535596
control,0.02050423986982496
control,0.015724563333201838
gef,0.9786247446172123
gef,0.9918310008317185
gef,0.9692150881387619
gef,0.978697758576879
gef,0.955557383381543
control,0.012320605576027146
control,0.011199161807535036
gef,0.9737201538547515
control,0.010004132140175242
control,0.014541561540306664
gef,0.9788051117279084
control,0.021041323448863995
gef,0.9681425797020212
gef,0.9768420368277362
gef,0.9807740324014087
control,0.011527954636592924
control,0.011224575220934506
control,0.025754850312452997
control,0.017381480044827962
control,0.009422892621707802
control,0.012988097473881554
control,0.012950595610739992
gef,0.9717196219686045
control,0.009727076813396475
control,0.009344596097019446
gef,0.9774201888080309
control,0.02419486778995382
gef,0.9635180550786201
control,0.02054113559412432
gef,0.9824363051506897
gef,0.9639716335265192
gef,0.9725381419525764
control,0.011347825731325083
control,0.009919014562821552
control,0.020028154381721928
control,0.01205771866309521
control,0.017974814572053518
control,0.010579841950053038
gef,0.9873266330693496
control,0.031606344760716006
control,0.015459446351124399
control,0.013262115382097674
control,0.020573167064722998
gef,0.9915896616874884
control,0.03062662546456635
control,0.01612579658720703
control,0.013033392256585003
control,0.011850359823979218
control,0.019666647766172413
control,0.01601562626639178
gef,0.9534618424499776
control,0.010819037006890781
control,0.015027903587393403
control,0.01172404717085444
gef,0.9323248812602168
control,0.014006028308413226
gef,0.9861573698795638
gef,0.994823612413145
gef,0.933655211583791
control,0.0129228306742059
control,0.018339493691456717
control,0.021007206042343195
control,0.018814505707111556
control,0.009307382568052592
control,0.008819986113784232
gef,0.9663952291070471
control,0.023421749259996485
control,0.011941431592915611
control,0.012847819146237444
control,0.013816694702302939
control,0.007086362648123537
control,0.023173378345688604
control,0.009602387722417045
control,0.01215112487254377
control,0.01305262635879365
control,0.013329119651653074
control,0.008521846673597858
gef,0.981534405496878
control,0.013860645387962795
gef,0.981723091591076
control,0.01952978732240602
gef,0.9794678201481192
control,0.06827839684134515
control,0.00707844354778735
control,0.008335835434389323
gef,0.9685342481280819
control,0.016878422881469846
gef,0.981573579199911
control,0.006419472165486976
control,0.020983193622828317
control,0.011372673958567866
control,0.017701806369126705
control,0.01275773668612816
gef,0.9637410953682867
control,0.016557058492240234
control,0.012039574208572906
gef,0.9672095047521697
control,0.012336417405314774
control,0.013260069818180727
control,0.01347414449484756
control,0.01068165867450935
gef,0.9827392224333137
control,0.014924054031207728
control,0.007602252889400411
control,0.01451350411726928
control,0.01885420015342397
control,0.01373319209597797
gef,0.9700009598759044
control,0.012948503800641881
control,0.015273837582781901
control,0.023367563131925485
gef,0.9578256751704703
control,0.010027391998782118
control,0.014227997737992656
gef,0.9725520652424846
gef,0.9864857538485232
control,0.03992379733142531
control,0.009300265644265733
gef,0.870165047870455
control,0.014269865560170809
control,0.014970897798567273
control,0.013812981502281824
control,0.015120173212496032
gef,0.9738422724166572
control,0.01423803894957643
control,0.008779513569059493
control,0.013650556534392119
control,0.01608591319470489
