Label,Predicted_Probability
osi,0.8893075608141062
osi,0.8684669458858911
osi,0.8834944890309766
osi,0.8117549924580076
control,0.13032034065138193
control,0.1216014405240885
control,0.2575669637444975
control,0.17335261635105098
control,0.6200265868769306
osi,0.8888612400442917
control,0.22013575542368952
control,0.16124285322368573
osi,0.8837887869494496
osi,0.8882420792052722
osi,0.8774129998667519
osi,0.8064987811187386
control,0.11656928585479887
control,0.09705366181635748
control,0.12194064536221223
osi,0.864223090067858
osi,0.8761393348771218
control,0.1833108055799197
control,0.15863118649197883
control,0.09943023587716451
osi,0.8815491483535144
osi,0.8801703290905731
control,0.09974732776768244
osi,0.8691616008119076
osi,0.8309260125587448
osi,0.7829648331674559
control,0.25949671433900867
control,0.1325706800116361
control,0.11536310551932778
control,0.10561324602960491
osi,0.8545389448613424
control,0.11917022075522923
osi,0.6786638886034726
control,0.09632765026636414
control,0.10139347601426951
osi,0.7269219877161827
control,0.2674487996771473
control,0.434807737822848
osi,0.8877334733857764
osi,0.8859754201262451
control,0.20034784366909358
control,0.09711182420539637
osi,0.8521077012104282
osi,0.8797060609486866
control,0.10083952332681712
osi,0.881560295377829
control,0.10150603318594056
osi,0.8854132277106428
osi,0.8827417099992845
osi,0.8762146439495666
osi,0.7942218073198701
osi,0.8780730520075816
osi,0.8795963206584888
osi,0.8863376326137813
osi,0.5933974925249264
osi,0.828854239862227
osi,0.8697453656978933
osi,0.800284450046496
control,0.09758375507410506
osi,0.8671929456224261
control,0.4632893297418291
osi,0.8391194962530217
control,0.10757416912925329
control,0.38628262992226525
control,0.13574302126239637
control,0.10766492611190097
control,0.2745534376680347
control,0.21821639934697545
osi,0.7875829691107544
control,0.09740566044559948
osi,0.7975856076998283
osi,0.8744917232447257
osi,0.8836483736486415
control,0.11298393062541343
control,0.11062964041384878
control,0.12883870014972593
control,0.45592214605415116
osi,0.7822388279793405
control,0.12042940862400646
control,0.15832421561750007
control,0.1372838543356036
control,0.3887536473831821
osi,0.7308551150320624
osi,0.8040876499581492
control,0.32982441504848004
control,0.25080172887297436
osi,0.7991399411202954
control,0.13001305233152008
control,0.12362794752222375
osi,0.8717695657789019
control,0.2171271600040549
control,0.16006943074384145
control,0.12363989670688069
osi,0.8877463485059132
osi,0.8863902568673154
control,0.17895337791577398
control,0.0920808044184391
control,0.6240387592353939
osi,0.8256205931848195
osi,0.744765439726337
osi,0.8715992366058828
control,0.12524355143339733
control,0.09816564720655693
control,0.0962796843073247
osi,0.8883510234958745
control,0.11926684587719642
osi,0.880217766373575
osi,0.7985919529126255
osi,0.8835497940394219
osi,0.6368209617016032
control,0.13951748358563554
osi,0.44564558607848903
control,0.11910619921265315
control,0.7187190930612699
control,0.19879875731351643
osi,0.7312930386663107
control,0.12912376332146447
control,0.11221576290558341
control,0.11142879485849962
control,0.7555706447001762
osi,0.710049230284583
osi,0.6493936827550888
osi,0.14308696701206927
osi,0.8880033227061286
control,0.3987737289770804
osi,0.8755520701334957
osi,0.8899441843885008
control,0.5417243351908239
control,0.11261059758728245
control,0.0978603823577435
control,0.5283127724186414
osi,0.6513573180082635
osi,0.8639337023482823
control,0.09942884734892453
osi,0.6653851209515734
control,0.10771860621431462
osi,0.2816068634937964
control,0.13692692149679622
osi,0.8879636345739426
osi,0.8711409392998739
osi,0.8727765745038445
control,0.2511496030858803
osi,0.5549980780329404
control,0.11924531771848094
control,0.10591657495751564
control,0.09792970926813785
control,0.13770046484984547
control,0.13761656338078754
osi,0.8870670426052492
control,0.12990844493657314
control,0.09564913005669595
control,0.10519917839940414
osi,0.67954437654302
osi,0.6966960759318812
control,0.12906157156820702
control,0.1312763691907877
osi,0.7649113752303613
osi,0.8787659556421306
control,0.09905575740768055
control,0.13543604915741897
control,0.264406037505258
osi,0.8535557081220858
osi,0.8759621804852878
osi,0.8820626314661073
osi,0.8536277094794731
